000000000060E000 E020200000000000 1C14000000000000 00000000021E0000 0040406020000000 0000001C1C000000 00080E0200000000 00008080C0800000 
000000000060E000 0000001C10100000 0000602060000000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 000080C080800000 
00000000060E0000 000000008080E000 0C040C0000000000 000080F000000000 0038600000000000 0000000070700000 0000020E08000000 F040000000000000 
00000000060E0000 000000008080E000 C040C00000000000 3C04000000000000 00380C0000000000 0000000070700000 0000020E08000000 000020F000000000 
00000000060E0000 0000404070000000 0030203000000000 0000808080C00000 000000000030E000 0C0C0C0000000000 0000020E08000000 F040000000000000 
00000000060E0000 3820200000000000 C040C00000000000 000000F080000000 0404060200000000 0000000000E0E000 0018080C00000000 0000000078100000 
000000000C1C0000 000000002020E000 0000007050000000 0000808080C00000 04040C0800000000 3838000000000000 C040600000000000 0000020602020000 
000000000C1C0000 0000000E02020000 0038280000000000 00000080F0000000 0000C07000000000 0000000000E0E000 0C04060000000000 F040000000000000 
0000000018380000 0008083800000000 0000000060406000 000000C080808000 0030E00000000000 0000000606060000 0C04060000000000 F040000000000000 
0000000018380000 0038080800000000 0000000060406000 000000C080808000 0000E03000000000 0000000606060000 0C04060000000000 F040000000000000 
0060E00000000000 0008083800000000 0000000602060000 F010000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
0060E00000000000 000000E080800000 0000000C080C0000 F010000000000000 000000000030E000 0C0C0C0000000000 0000001070400000 0000020206020000 
0060E00000000000 000000E080800000 0000000C080C0000 F010000000000000 0000001010302000 0C0C0C0000000000 000000006040C000 0000020206020000 
0000000000C0E000 00000002020E0000 0038280000000000 0000003C20000000 000000001C300000 0000C0C0C0000000 0C04060000000000 F040000000000000 
0000000000C0E000 0000000808380000 0038280000000000 00000080F0000000 0000C07000000000 0000000606060000 0C04060000000000 F040000000000000 
0000000000C0E000 0000002020380000 000000141C000000 0000020202060000 04040C0800000000 0000C0C0C0000000 0838200000000000 F040000000000000 
0000000000C0E000 0000002020380000 0038280000000000 0000001E02000000 000000001C060000 0000C0C0C0000000 0C04060000000000 F040000000000000 
0000000000C0E000 0000000E02020000 0038280000000000 00000000203C0000 000000301C000000 0000C0C0C0000000 0C04060000000000 F040000000000000 
0000000000C0E000 0038080800000000 0000000602060000 00000010F0000000 000000000C380000 0000E0E000000000 0C04060000000000 F040000000000000 
0000000000C0E000 0000001C10100000 0000C080C0000000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000206020200000 
0000000000C0E000 0000003820200000 0038280000000000 00000000021E0000 000000061C000000 0000C0C0C0000000 0C04060000000000 F040000000000000 
000000000C0E0000 000000008080E000 C040C00000000000 3C20000000000000 001C060000000000 0000000070700000 0000080E02000000 000020F000000000 
000000000C0E0000 000000008080E000 C040C00000000000 3C20000000000000 0004060202000000 0000000070700000 0018080C00000000 000020F000000000 
0000C0E000000000 000000008080E000 0038280000000000 0000000008780000 0000001870000000 0000000606060000 0C04060000000000 F040000000000000 
3038000000000000 000000008080E000 0C040C0000000000 00000000043C0000 000080C040400000 0000003838000000 C040600000000000 0000020602020000 
3038000000000000 00008080E0000000 0000000602060000 C040404000000000 0000203010100000 0000000000E0E000 0C04060000000000 000008080C080000 
000000000E060000 3820200000000000 C040C00000000000 000000808080C000 0404060200000000 0000007070000000 0018080C00000000 0000000000782000 
0000007030000000 0038080800000000 0000000000A0E000 3C04000000000000 00008080C0400000 0000060606000000 C040600000000000 00000000081E0000 
0000E06000000000 0000001C10100000 0000000060206000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000008080C08000 
001C0C0000000000 000000008080E000 0000000C080C0000 3C20000000000000 000080C040400000 0000003030300000 C040600000000000 0000020206020000 
1C0C000000000000 00000002020E0000 C040C00000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 2030202000000000 
1C0C000000000000 00000002020E0000 C040C00000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 2030202000000000 
1C0C000000000000 0000000070404000 C040C00000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 2030202000000000 
1C0C000000000000 00000E0808000000 C040C00000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 2030202000000000 
E060000000000000 000004041C000000 0000283800000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
E060000000000000 000000008080E000 1C14000000000000 0000060202020000 0008080C04000000 0000E0E000000000 0000001070400000 00000000083C0000 
E060000000000000 000000008080E000 0000000602060000 0000000040780000 1018080800000000 0000E0E000000000 0C04060000000000 000000103C000000 
000000001C180000 0008083800000000 0000000602060000 000000C080808000 0030E00000000000 0000000060606000 0C04060000000000 F040000000000000 
000000001C180000 00008080E0000000 0000000602060000 0000087800000000 0038600000000000 0000000000E0E000 0C04060000000000 F040000000000000 
000000001C180000 0038080800000000 0000000602060000 000000C080808000 0000E03000000000 0000000060606000 0C04060000000000 F040000000000000 
000000E0C0000000 3820200000000000 C040C00000000000 00000000021E0000 0404060200000000 0000000000E0E000 0018080C00000000 000000103C000000 
0000E0C000000000 0000001C10100000 00000000C080C000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000002020602000 
3830000000000000 000000002020E000 0000007050000000 0000808080C00000 040C080800000000 0000060606000000 C040600000000000 00000000081E0000 
3830000000000000 00000002020E0000 C040C00000000000 00000000F0100000 040C080800000000 0000000000E0E000 000006040C000000 000020F000000000 
3830000000000000 00000004041C0000 C040C00000000000 0000060202020000 040C080800000000 0000000000E0E000 000020E080000000 0000001078000000 
0000000020606000 00000002020E0000 C040C00000000000 2020206000000000 00000E1800000000 1C1C000000000000 000000041C100000 00000080C0808000 
0000000020606000 00000002020E0000 C040C00000000000 2020206000000000 0000081810100000 1C1C000000000000 000006040C000000 00000080C0808000 
0000000020606000 3808080000000000 C040C00000000000 00000000021E0000 0404060200000000 0000001C1C000000 0030206000000000 00000080C0808000 
