0C1C000000000000 000000002020E000 00000A0E00000000 0000301010100000 0040C08080000000 000000000E0E0000 0000006040C00000 F020000000000000 
0C1C000000000000 00008080E0000000 3020300000000000 C040404000000000 000008080C040000 0000000000E0E000 0000003010180000 0000020602020000 
0000000000C0E000 E020200000000000 0000007050000000 00000000203C0000 0040C08080000000 1C1C000000000000 000018080C000000 0000020602020000 
0038180000000000 000000008080E000 0000000C080C0000 3C04000000000000 000080C040400000 0000003030300000 C040600000000000 0000020206020000 
E060000000000000 0000E08080000000 1C14000000000000 000808080C000000 00000000301C0000 0000000000E0E000 0000107040000000 0000020602020000 
001C180000000000 000000008080E000 0000000C080C0000 3C20000000000000 000080C040400000 0000003030300000 C040600000000000 0000020206020000 
0038300000000000 000000002020E000 C040C00000000000 3C04000000000000 000008080C040000 000000C0C0C00000 0000003010180000 0000020602020000 
000000080C0C0000 000000E080800000 C040C00000000000 3C04000000000000 000000000030E000 0038380000000000 0000001070400000 0000020602020000 
000000080C0C0000 000000E080800000 C040C00000000000 3C04000000000000 0000001010302000 0038380000000000 000000006040C000 0000020602020000 
000000080C0C0000 0038202000000000 C040C00000000000 3C04000000000000 000000000030E000 000000C0C0C00000 0000181030000000 0000020602020000 
0000080C0C000000 3820200000000000 C040C00000000000 0000020202060000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0C0C080000000000 E020200000000000 0000000C080C0000 1010103000000000 0040C08080000000 0000000000E0E000 0000004070100000 0000020206020000 
