0000003070000000 00000002020E0000 000000C080C00000 F080000000000000 000000000030E000 0070700000000000 000006040C000000 080C080800000000 
0000000000C0E000 0020203800000000 00141C0000000000 7808000000000000 80C0404000000000 000000001C1C0000 00000080E0200000 0000020602020000 
0000000000C0E000 0000000E02020000 0030203000000000 7808000000000000 80C0404000000000 000000001C1C0000 00000080E0200000 00041E0000000000 
00000000181C0000 000000008080E000 E0A0000000000000 1810101000000000 0040602020000000 000C0C0C00000000 000000C040600000 0000020206020000 
000000C0E0000000 00000002020E0000 0070500000000000 F080000000000000 0000203010100000 0000000000E0E000 000006040C000000 080C080800000000 
000C0E0000000000 00000002020E0000 E0A0000000000000 0000003C04000000 004040C080000000 0000000000E0E000 1810300000000000 0000000078100000 
000C0E0000000000 0000404070000000 0000000602060000 000000808080C000 000000380C000000 E0E0000000000000 1810300000000000 0000000000782000 
000C0E0000000000 0040407000000000 E0A0000000000000 0000000878000000 0000000000386000 0000000606060000 1810300000000000 0000008080C08000 
181C000000000000 00000002020E0000 0000382800000000 000000808080C000 0000001010302000 E0E0000000000000 000006040C000000 0000404060400000 
181C000000000000 000004041C000000 00000000C080C000 0000020202060000 000070C000000000 E0E0000000000000 0000083820000000 0000000000782000 
181C000000000000 000000008080E000 E0A0000000000000 0000060202020000 0000380C00000000 000000001C1C0000 0000003020600000 004040C040000000 
C0E0000000000000 000000008080E000 0000003828000000 00000000101E0000 380C000000000000 0000060606000000 000000C040600000 0010780000000000 
0000001C0C000000 E020200000000000 0000000060206000 00000000101E0000 0004060202000000 1818180000000000 00C0406000000000 0000008080C08000 
7030000000000000 00000002020E0000 000000A0E0000000 0000301010100000 80C0404000000000 0000000000E0E000 000006040C000000 080C080800000000 
7030000000000000 00000004041C0000 000000A0E0000000 0000060202020000 80C0404000000000 0000000000E0E000 0000301018000000 080C080800000000 
0000000040C0C000 00000002020E0000 000000E0A0000000 F080000000000000 0000001010302000 0070700000000000 000006040C000000 080C080800000000 
0818180000000000 00002020E0000000 0000001C14000000 F080000000000000 0004060202000000 0000000000E0E000 006040C000000000 00000000081E0000 
0000001018180000 000000008080E000 E0A0000000000000 0000020202060000 0040602020000000 1818180000000000 000000C040600000 0004040C04000000 
0000001018180000 000000008080E000 E0A0000000000000 0000202020600000 0004060202000000 1818180000000000 0000000C04060000 004040C040000000 
00000080C0C00000 0040407000000000 E0A0000000000000 0000020202060000 000000000030E000 000C0C0C00000000 1810300000000000 000000003C080000 
0000203030000000 00000002020E0000 0070500000000000 F080000000000000 000000000030E000 000000C0C0C00000 000006040C000000 080C080800000000 
