000000000060E000 000002020E000000 E0A0000000000000 00000000101E0000 0040406020000000 000C0C0C00000000 1810300000000000 00008080C0800000 
000000000060E000 4040700000000000 00000000141C0000 808080C000000000 00040C0808000000 3838000000000000 00000020E0800000 0000020602020000 
00000000060E0000 000000008080E000 0000000050700000 808080C000000000 0040602020000000 001C1C0000000000 0000020E08000000 7820000000000000 
00000000060E0000 000000008080E000 0060406000000000 C080808000000000 380C000000000000 0000000070700000 0000020E08000000 00103C0000000000 
00000060E0000000 000002020E000000 7050000000000000 00000000101E0000 080C040400000000 0000000000E0E000 0020380800000000 8080C08000000000 
3070000000000000 00000002020E0000 C080C00000000000 00000000F0100000 000030E000000000 0000000000E0E000 000006040C000000 080C080800000000 
3070000000000000 0808380000000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 0004040C04000000 
3070000000000000 0808380000000000 C080C00000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 0004040C04000000 
00000000181C0000 001C040400000000 000000A0E0000000 7840000000000000 8080C04000000000 0000000000E0E000 0020380800000000 0000020206020000 
00000000181C0000 E080800000000000 0000382800000000 000000C080808000 080C040400000000 0000000060606000 1070400000000000 0000020206020000 
0000006070000000 000000008080E000 6020600000000000 0000000008780000 0004060202000000 1818180000000000 0000000C04060000 80C0808000000000 
0000006070000000 3820200000000000 0000000602060000 000000808080C000 001C060000000000 C0C0C00000000000 000018080C000000 0000000000782000 
000C0E0000000000 0000000E02020000 00000000C080C000 C080808000000000 3860000000000000 000000001C1C0000 0010704000000000 0000002020602000 
000C0E0000000000 0000000E02020000 00000000C080C000 C080808000000000 2060404000000000 000000001C1C0000 1810300000000000 0000002020602000 
000C0E0000000000 E080800000000000 0000002838000000 0060404040000000 0000000000386000 0000000606060000 1810300000000000 0000008080C08000 
000C0E0000000000 E080800000000000 0060406000000000 0000000878000000 0000000000386000 0000000606060000 1810300000000000 0000008080C08000 
181C000000000000 000004041C000000 0000382800000000 0000020202060000 0000000000386000 E0E0000000000000 0000C04060000000 0000008080C08000 
181C000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000006038000000 E0E0000000000000 0000000C04060000 0000000000782000 
181C000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 E0E0000000000000 0000000C04060000 0000F02000000000 
181C000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 C0C0C00000000000 0000000C04060000 2020302000000000 
181C000000000000 E080800000000000 00000000C080C000 0000060202020000 0000380C00000000 000000001C1C0000 006040C000000000 0000002020602000 
6070000000000000 8080E00000000000 1808180000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 0004040C04000000 
6070000000000000 8080E00000000000 1808180000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 0004040C04000000 
C0E0000000000000 000000008080E000 0000000050700000 0000060202020000 380C000000000000 0000000C0C0C0000 000080E020000000 0010780000000000 
000000000E060000 000000008080E000 0000602060000000 808080C000000000 380C000000000000 00000E0E00000000 4070100000000000 0000000010780000 
0000000038180000 000000008080E000 0000006040600000 7840000000000000 001C060000000000 0000000606060000 0020380800000000 8080C08000000000 
0000000038180000 000000008080E000 0000006040600000 7840000000000000 0004060202000000 0038380000000000 0000000C04060000 8080C08000000000 
0000000038180000 E020200000000000 0000000000A0E000 0000020202060000 00008080C0400000 1818180000000000 00C0406000000000 0004040C04000000 
0000000038180000 E020200000000000 0000000000A0E000 00C0808080000000 0004060202000000 1818180000000000 0000000C04060000 0000406040400000 
00001C0C00000000 000002020E000000 0000000060206000 00000000101E0000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0070300000000000 3808080000000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 0004040C04000000 
0070300000000000 3808080000000000 C080C00000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 0004040C04000000 
E060000000000000 00000002020E0000 000000C080C00000 0000000878000000 000000000030E000 1818180000000000 0080E02000000000 0004060404000000 
000000001C180000 000000008080E000 7050000000000000 0000020202060000 080C040400000000 0000006060600000 0020380800000000 8080C08000000000 
000000001C180000 000000008080E000 0000000602060000 7840000000000000 001C060000000000 0000006060600000 0020380800000000 8080C08000000000 
000000001C180000 000000008080E000 0000000602060000 0030202020000000 380C000000000000 C0C0C00000000000 000000C040600000 00001E0800000000 
0070600000000000 E080800000000000 1808180000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 0004040C04000000 
0070600000000000 E080800000000000 1808180000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 0004040C04000000 
00E0C00000000000 00000002020E0000 0000302030000000 F010000000000000 000000000030E000 000000C0C0C00000 000006040C000000 080C080800000000 
3830000000000000 00000002020E0000 000000C080C00000 0000000878000000 000000000030E000 C0C0C00000000000 0008382000000000 0004060404000000 
3830000000000000 00000002020E0000 000000C080C00000 0008080818000000 000000000030E000 C0C0C00000000000 0000302060000000 0004060404000000 
0000000020606000 00000004041C0000 0000180818000000 0000060202020000 380C000000000000 C0C0C00000000000 0030206000000000 00000080C0808000 
0000000206060000 002020E000000000 0000000000A0E000 00101E0000000000 380C000000000000 C0C0C00000000000 0000000C08180000 00000000F0400000 
000000040C0C0000 E080800000000000 0000302030000000 0000060202020000 000000000030E000 000000C0C0C00000 1070400000000000 080C080800000000 
0000000818180000 000000008080E000 3828000000000000 0000020202060000 0010302020000000 C0C0C00000000000 000000C040600000 00040C0404000000 
0000000818180000 00001C0404000000 0000000060206000 0000020202060000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0040C0C000000000 00000002020E0000 E0A0000000000000 00000000F0100000 1010302000000000 0000000000E0E000 000006040C000000 080C080800000000 
0000000406060000 8080E00000000000 00000E0A00000000 7840000000000000 000000000030E000 000000C0C0C00000 0000002038080000 003C100000000000 
0000000406060000 8080E00000000000 00000E0A00000000 7840000000000000 000000E030000000 00000000C0C0C000 0000000008382000 003C100000000000 
00000080C0C00000 000000002020E000 0000000A0E000000 00000000101E0000 380C000000000000 C0C0C00000000000 0030206000000000 00001E0400000000 
00000080C0C00000 E080800000000000 0060406000000000 0000020202060000 000000000030E000 000C0C0C00000000 1810300000000000 000000003C080000 
000080C0C0000000 00000002020E0000 0070500000000000 F080000000000000 0000202030100000 0000000000E0E000 000006040C000000 080C080800000000 
0004060600000000 000000008080E000 0000006040600000 7840000000000000 00000000301C0000 0038380000000000 000000080E020000 8080C08000000000 
0004060600000000 E020200000000000 0000000000A0E000 00000000021E0000 00008080C0400000 1818180000000000 00C0406000000000 000000083C000000 
0004060600000000 E020200000000000 0000000000A0E000 00C0808080000000 00000000301C0000 1818180000000000 000000080E020000 0000406040400000 
0080C0C000000000 3808080000000000 0000302030000000 0000020202060000 C070000000000000 00000000C0C0C000 0000000008382000 0004040C04000000 
080C0C0000000000 E080800000000000 0000000C080C0000 00000000F0100000 000030E000000000 0000000000E0E000 1070400000000000 0000020206020000 
080C0C0000000000 E080800000000000 0000000C080C0000 00000000F0100000 1010302000000000 0000000000E0E000 006040C000000000 0000020206020000 
80C0C00000000000 00000002020E0000 0000382800000000 000000C080808000 001C060000000000 0000000060606000 000000041C100000 7820000000000000 
80C0C00000000000 000000008080E000 0000302030000000 0000080808180000 001C060000000000 0000000606060000 000000C040600000 7820000000000000 
80C0C00000000000 000000008080E000 000C080C00000000 0000060202020000 0010302020000000 000000001C1C0000 000000C040600000 7820000000000000 
