1838000000000000 00000002020E0000 6040600000000000 808080C000000000 00000030E0000000 0000000000E0E000 000000041C100000 00041E0000000000 
0000000000C0E000 008080E000000000 0000000602060000 00000010F0000000 000000000C380000 3838000000000000 C040600000000000 00041E0000000000 
00000000181C0000 000000008080E000 00001C1400000000 0030202020000000 380C000000000000 C0C0C00000000000 000000C040600000 0000020206020000 
000C0E0000000000 00000002020E0000 000000141C000000 C080808000000000 3860000000000000 00000000C0C0C000 0010704000000000 0000002020302000 
000C0E0000000000 00000002020E0000 000000141C000000 C080808000000000 2060404000000000 00000000C0C0C000 1810300000000000 0000002020302000 
000C0E0000000000 00000002020E0000 0050700000000000 808080C000000000 00000030E0000000 0000000000E0E000 000000041C100000 7820000000000000 
000C0E0000000000 00000002020E0000 0000000060206000 7840000000000000 8080C04000000000 0030303000000000 000000041C100000 0000008080C08000 
000C0E0000000000 00008080E0000000 0000507000000000 00000000021E0000 000000061C000000 0000000000E0E000 80E0200000000000 7810000000000000 
000C0E0000000000 0000007040400000 0000000602060000 0000C08080800000 000000000030E000 E0E0000000000000 1810300000000000 000000003C080000 
000C0E0000000000 0000E08080000000 0000000602060000 1810101000000000 000000000030E000 E0E0000000000000 0000006040C00000 000000003C080000 
000C0E0000000000 E080800000000000 0000301030000000 000000808080C000 1870000000000000 0000000606060000 0000000008382000 0000406040400000 
181C000000000000 00000002020E0000 0000005070000000 0000808080C00000 000000000030E000 E0E0000000000000 000006040C000000 0000782000000000 
181C000000000000 00000002020E0000 6020600000000000 00000000F0100000 0000187000000000 0000000000E0E000 000006040C000000 80C0808000000000 
181C000000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 E0E0000000000000 000080E020000000 0000781000000000 
181C000000000000 0000E08080000000 00001C1400000000 0000020202060000 000000000030E000 E0E0000000000000 0000006040C00000 000000003C080000 
181C000000000000 0000E08080000000 0000000602060000 00001E1000000000 000000000030E000 E0E0000000000000 0000006040C00000 000000003C080000 
0000000038180000 0040407000000000 0000000000A0E000 F080000000000000 00008080C0400000 0000000606060000 0838200000000000 00041E0000000000 
0000000038180000 0000007040400000 0000000000A0E000 F080000000000000 0040C08080000000 0000000606060000 0838200000000000 00041E0000000000 
00000E0600000000 000010101C000000 0000000060206000 00000000021E0000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
3818000000000000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 000000C0C0C00000 0060203000000000 00041E0000000000 
3818000000000000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 000000C0C0C00000 0060203000000000 00041E0000000000 
3818000000000000 000000008080E000 0000000602060000 C080808000000000 000000000C380000 0060606000000000 0000001070400000 00041E0000000000 
3818000000000000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000000606060000 0060203000000000 00041E0000000000 
000000001C180000 000000008080E000 0000000602060000 00101E0000000000 380C000000000000 C0C0C00000000000 000000C040600000 0020203020000000 
000000001C180000 7040400000000000 0000000602060000 808080C000000000 00000030E0000000 0000000000E0E000 0838200000000000 00041E0000000000 
001C180000000000 00000002020E0000 C080C00000000000 00000000F0100000 3860000000000000 0000000000E0E000 000006040C000000 000020F000000000 
001C180000000000 00000004041C0000 C080C00000000000 0000060202020000 3860000000000000 0000000000E0E000 000020E080000000 0000001078000000 
0070600000000000 000000008080E000 0000006040600000 C080808000000000 380C000000000000 0000060606000000 0000181030000000 00000000081E0000 
0000000020606000 00000004041C0000 0000181018000000 0000060202020000 380C000000000000 C0C0C00000000000 0030206000000000 00000080C0808000 
0000000020606000 000002020E000000 00001C1400000000 00000000101E0000 380C000000000000 C0C0C00000000000 0030206000000000 00000080C0808000 
0000000206060000 0000000070404000 0030203000000000 000000C080808000 380C000000000000 C0C0C00000000000 0000000008382000 00001E0400000000 
0000001018180000 000000008080E000 3828000000000000 0000020202060000 0010302020000000 C0C0C00000000000 000000C040600000 00040C0404000000 
0000001018180000 00001C0404000000 0000000060206000 0000020202060000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
00000080C0C00000 000000002020E000 00141C0000000000 7808000000000000 0000C07000000000 000000001C1C0000 80E0200000000000 0000020602020000 
00000080C0C00000 000000002020E000 00141C0000000000 7808000000000000 8080C04000000000 000000001C1C0000 0060203000000000 0000020602020000 
0004060600000000 E020200000000000 0000000000A0E000 00000000021E0000 00008080C0400000 1818180000000000 00C0406000000000 000000103C000000 
0040606000000000 000000008080E000 0000000602060000 C080808000000000 000000000C380000 3838000000000000 0000001070400000 00041E0000000000 
80C0C00000000000 000000002020E000 00000C040C000000 0000020202060000 001C300000000000 000000C0C0C00000 0000003010180000 7820000000000000 
80C0C00000000000 001C101000000000 00000C040C000000 0000020202060000 0000000070180000 0000000000E0E000 000020E080000000 7820000000000000 
000000C0C0400000 00000002020E0000 0000000000A0E000 00101E0000000000 380C000000000000 C0C0C00000000000 000000041C100000 0020203020000000 
000000C0C0400000 000002020E000000 0000000000A0E000 00000000101E0000 380C000000000000 C0C0C00000000000 00101C0400000000 0020203020000000 
000000C0C0400000 000002020E000000 0000000000A0E000 00000000101E0000 080C040400000000 C0C0C00000000000 3010180000000000 0020203020000000 
0000060602000000 000000008080E000 0000181018000000 0030202020000000 380C000000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
000C0C0400000000 000002020E000000 0000000060206000 00000000101E0000 0000C07000000000 E0E0000000000000 1810300000000000 0000008080C08000 
3030200000000000 000000E080800000 0000181018000000 00000000003C2000 080C040400000000 C0C0C00000000000 000000006040C000 0000020206020000 
