00000000060E0000 0000001C10100000 0000000060206000 00001E0200000000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
000060E000000000 E080800000000000 000C040C00000000 00000000003C2000 1870000000000000 00000000C0C0C000 0000181030000000 0000020206020000 
0018380000000000 000000002020E000 C080C00000000000 0000020202060000 3860000000000000 000000C0C0C00000 0000003010180000 0004040C04000000 
1838000000000000 E080800000000000 0000001810180000 0000020202060000 004040C080000000 0000000000E0E000 0000302060000000 00040C0404000000 
3070000000000000 0000101070000000 C080C00000000000 0808080C00000000 0004060202000000 0000000000E0E000 000020E080000000 00000000041E0000 
3070000000000000 0808380000000000 C080C00000000000 000000808080C000 0004060202000000 0000007070000000 0000000C04060000 0000000000782000 
3070000000000000 000000008080E000 C080C00000000000 0808080C00000000 0004060202000000 0000303030000000 000000C040600000 00000000041E0000 
0000000000C0E000 00000002020E0000 000000A0E0000000 7840000000000000 8080C04000000000 0038380000000000 0000001810300000 0004060404000000 
0000000000C0E000 00000002020E0000 1808180000000000 00C0808080000000 E030000000000000 0000606060000000 0000001810300000 0004060404000000 
0000000000C0E000 0020203800000000 00000000141C0000 7840000000000000 8080C04000000000 001C1C0000000000 00000080E0200000 0000020602020000 
0000000000C0E000 0000003820200000 00000000141C0000 C080808000000000 3860000000000000 001C1C0000000000 00006040C0000000 0000020602020000 
0000000000C0E000 0038202000000000 0000001810180000 7840000000000000 8080C04000000000 0000000606060000 00000080E0200000 00041E0000000000 
000000C0E0000000 8080E00000000000 00000000141C0000 0000060202020000 380C000000000000 0000000000E0E000 4070100000000000 0000083C00000000 
000000C0E0000000 8080E00000000000 0000060206000000 00000000101E0000 380C000000000000 0000000000E0E000 4070100000000000 0000083C00000000 
000C0E0000000000 00000002020E0000 0000001C14000000 C080808000000000 3860000000000000 00000000C0C0C000 0010704000000000 0000002020302000 
000C0E0000000000 00000002020E0000 0000001C14000000 C080808000000000 2060404000000000 00000000C0C0C000 1810300000000000 0000002020302000 
000C0E0000000000 8080E00000000000 00000000C080C000 7840000000000000 000000E030000000 0000000606060000 0030101800000000 0000000000782000 
000C0E0000000000 E080800000000000 0060406000000000 000000808080C000 0000001870000000 0000000606060000 1810300000000000 0000000000782000 
00C0E00000000000 000000002020E000 1808180000000000 0000020202060000 E030000000000000 000000C0C0C00000 0000003010180000 0004040C04000000 
181C000000000000 000000002020E000 E0A0000000000000 0000060202020000 0000080C04040000 000000C0C0C00000 0000003010180000 0040F00000000000 
181C000000000000 00008080E0000000 00000000141C0000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
181C000000000000 00008080E0000000 0000060206000000 00000000101E0000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
181C000000000000 00000E0202000000 E0A0000000000000 000000F080000000 0000000070180000 0000000000E0E000 0000000C04060000 0040F00000000000 
181C000000000000 00000E0202000000 00000000C080C000 0000F01000000000 000000E030000000 E0E0000000000000 0000000C04060000 0000000000782000 
181C000000000000 00000E0202000000 00000000C080C000 C080808000000000 2060404000000000 0000303030000000 0000000C04060000 0000000000782000 
181C000000000000 0000701010000000 00000000C080C000 0000060202020000 0000080C04040000 E0E0000000000000 000080E020000000 0000000000782000 
181C000000000000 E080800000000000 00000000C080C000 0000060202020000 0000080C04040000 0000303030000000 006040C000000000 0000000000782000 
6070000000000000 8080E00000000000 1808180000000000 000000808080C000 0004060202000000 0000007070000000 0000000C04060000 0000000000782000 
C0E0000000000000 00008080E0000000 00000000141C0000 0000060202020000 380C000000000000 0000000000E0E000 0010704000000000 0000083C00000000 
C0E0000000000000 00008080E0000000 0000060206000000 00000000101E0000 380C000000000000 0000000000E0E000 0010704000000000 0000083C00000000 
C0E0000000000000 00008080E0000000 3010300000000000 0808080C00000000 0004060202000000 0000000000E0E000 0000407010000000 00000000041E0000 
C0E0000000000000 00000E0202000000 00000000C080C000 0010101030000000 380C000000000000 0000E0E000000000 0000000C04060000 0000000000782000 
C0E0000000000000 3808080000000000 00000000C080C000 0010101030000000 0004060202000000 0000E0E000000000 0000000C04060000 0000000000782000 
0000007030000000 000000008080E000 6020600000000000 0000000040780000 0004060202000000 1818180000000000 0000000C04060000 80C0808000000000 
0000007030000000 00000E0202000000 00000000C080C000 C080808000000000 380C000000000000 0070700000000000 0000000C04060000 0000000000782000 
0000007030000000 3808080000000000 00000000C080C000 C080808000000000 0004060202000000 0070700000000000 0000000C04060000 0000000000782000 
0000007030000000 7010100000000000 0000C080C0000000 0808080C00000000 0004060202000000 0000000000E0E000 80E0200000000000 00000000041E0000 
001C0C0000000000 3820200000000000 00000000C080C000 0000020202060000 000000E030000000 C0C0C00000000000 0000101C04000000 0000000000782000 
