0000060E00000000 000000008080E000 0000181018000000 0030202020000000 380C000000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0000000000C0E000 0000000808380000 0000000604060000 F080000000000000 0040C08080000000 0000007070000000 0838200000000000 00041E0000000000 
0000000000C0E000 0038202000000000 0000000604060000 7840000000000000 8080C04000000000 0000001818180000 00000080E0200000 00041E0000000000 
000000000C0E0000 0000001C10100000 0000000060206000 00001E0200000000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
000C0E0000000000 000000008080E000 0000000604060000 7840000000000000 0000206040400000 0000000038380000 0030101800000000 8080C08000000000 
000C0E0000000000 000000008080E000 0000000604060000 7840000000000000 0000101808080000 0000000070700000 0030206000000000 8080C08000000000 
000C0E0000000000 3820200000000000 0000000604060000 000000C080808000 0000002060404000 C0C0C00000000000 0000000008382000 0010101810000000 
000C0E0000000000 3820200000000000 0000000604060000 C080808000000000 0040406020000000 00000000C0C0C000 0000000008382000 0010101810000000 
000C0E0000000000 E080800000000000 0000000604060000 0060404040000000 0000000000386000 0000003838000000 1810300000000000 0000008080C08000 
181C000000000000 0000000070404000 0000000604060000 000000C080808000 00000E1800000000 E0E0000000000000 0000000008382000 0000F02000000000 
181C000000000000 0000000070404000 0000000604060000 000000C080808000 00000E1800000000 C0C0C00000000000 0000000008382000 2020302000000000 
181C000000000000 0000000070404000 0000000604060000 000000C080808000 0000E03000000000 E0E0000000000000 0000000008382000 00001E0800000000 
181C000000000000 00000E0808000000 0000000604060000 000000C080808000 0000000000386000 E0E0000000000000 0000001070400000 0000F02000000000 
181C000000000000 00000E0808000000 0000000604060000 000000C080808000 0000000000386000 C0C0C00000000000 0000001070400000 2020302000000000 
00000E0600000000 0070101000000000 0000002838000000 C080808000000000 380C000000000000 0000000000E0E000 00006040C0000000 00000000041E0000 
00000E0600000000 0070101000000000 C080C00000000000 0000000878000000 380C000000000000 0000000000E0E000 000020E080000000 00000000041E0000 
00000E0600000000 001C101000000000 0000002838000000 C080808000000000 3860000000000000 0000000000E0E000 00006040C0000000 00000000041E0000 
00000E0600000000 001C101000000000 C080C00000000000 0000000878000000 3860000000000000 0000000000E0E000 000020E080000000 00000000041E0000 
0000003830000000 000000008080E000 0000000604060000 0000000008780000 008080C040000000 3838000000000000 C040600000000000 00041E0000000000 
0000000020606000 00000E0808000000 0000000604060000 0000101010180000 380C000000000000 C0C0C00000000000 0030206000000000 00000080C0808000 
0000000040C0C000 0000000038202000 C080C00000000000 0000021E00000000 3860000000000000 001C1C0000000000 000020E080000000 00000000041E0000 
0000000818180000 000000008080E000 0000000604060000 00101E0000000000 380C000000000000 C0C0C00000000000 000000C040600000 0020203020000000 
0000000818180000 7040400000000000 0000000604060000 808080C000000000 00000030E0000000 0000000000E0E000 0838200000000000 00041E0000000000 
