00000000060E0000 000000008080E000 00141C0000000000 7808000000000000 0020604040000000 0000003030300000 0000020E08000000 80C0808000000000 
00000000060E0000 8080E00000000000 0000000000A0E000 000000F080000000 380C000000000000 00000E0E00000000 4070100000000000 0000000078100000 
00000000060E0000 0070404000000000 00000000C080C000 C080808000000000 380C000000000000 00000E0E00000000 0000301018000000 0000002020302000 
000000000C1C0000 0000000E02020000 0000000000A0E000 F080000000000000 0040C08080000000 0000007070000000 0838200000000000 00041E0000000000 
000000000C1C0000 E080800000000000 000C080C00000000 0000060202020000 1870000000000000 0000707000000000 0000000030206000 00000080C0808000 
0000001838000000 002020E000000000 00000000C080C000 00000000003C2000 380C000000000000 C0C0C00000000000 00101C0400000000 0000020206020000 
0000001838000000 002020E000000000 00000000C080C000 00000000003C2000 080C040400000000 C0C0C00000000000 3010180000000000 0000020206020000 
00000060E0000000 00000002020E0000 0000000000A0E000 C080808000000000 0000080818100000 3838000000000000 0040701000000000 0004060404000000 
1838000000000000 00000002020E0000 6040600000000000 808080C000000000 000000000030E000 0000001C1C000000 00000020E0800000 00041E0000000000 
1838000000000000 00000002020E0000 6040600000000000 808080C000000000 000000000030E000 0000181818000000 00000020E0800000 0004060404000000 
1838000000000000 E080800000000000 0000000000A0E000 0000020202060000 004040C080000000 0000001818180000 0000302060000000 00040C0404000000 
000000000C0E0000 3820200000000000 0000000060206000 000000C080808000 001C060000000000 C0C0C00000000000 0000080E02000000 0000103010100000 
000000000C0E0000 3820200000000000 0000000060206000 000000C080808000 0004060202000000 C0C0C00000000000 0018080C00000000 0000103010100000 
00000000181C0000 0020203800000000 0000000060206000 000000C080808000 380C000000000000 C0C0C00000000000 00101C0400000000 0000020206020000 
00000000181C0000 0020203800000000 0000000060206000 000000C080808000 080C040400000000 C0C0C00000000000 3010180000000000 0000020206020000 
00000000181C0000 E080800000000000 0000000060206000 000000C080808000 080C040400000000 0000383800000000 1070400000000000 0000020206020000 
0000003038000000 7010100000000000 0000000000A0E000 0808080C00000000 0004060202000000 0000C0C0C0000000 80E0200000000000 00000000041E0000 
000000C0E0000000 8080E00000000000 0000000000A0E000 0000060202020000 380C000000000000 000000001C1C0000 4070100000000000 0000083C00000000 
000C0E0000000000 00000002020E0000 0050700000000000 808080C000000000 000000000030E000 0000001C1C000000 00000020E0800000 7820000000000000 
000C0E0000000000 00000002020E0000 00000000C080C000 C080808000000000 3860000000000000 0000001C1C000000 0010704000000000 0000002020302000 
000C0E0000000000 00000002020E0000 00000000C080C000 C080808000000000 2060404000000000 0000001C1C000000 1810300000000000 0000002020302000 
000C0E0000000000 3820200000000000 00000000C080C000 C080808000000000 0040406020000000 0000000606060000 0000000008382000 0010101810000000 
181C000000000000 00000002020E0000 0000000000A0E000 808080C000000000 00000030E0000000 6060600000000000 000000041C100000 00001E0800000000 
181C000000000000 00000002020E0000 000000141C000000 808080C000000000 000000000030E000 6060600000000000 00000020E0800000 00001E0800000000 
181C000000000000 00000002020E0000 0000000060206000 000000C080808000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
181C000000000000 00000002020E0000 0000000060206000 000000C080808000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
181C000000000000 00000002020E0000 0000000060206000 000000C080808000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
181C000000000000 00000002020E0000 0000000060206000 000000C080808000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
181C000000000000 00000002020E0000 0000000060206000 000000C080808000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
181C000000000000 000000008080E000 6020600000000000 0000060202020000 0000080C04040000 0000000038380000 0000107040000000 80C0808000000000 
181C000000000000 00008080E0000000 0000000000A0E000 0000060202020000 80C0404000000000 000000001C1C0000 6020300000000000 0000083C00000000 
181C000000000000 00000E0202000000 00000000C080C000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002020302000 
181C000000000000 00000E0202000000 00000000C080C000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002020302000 
181C000000000000 00000E0808000000 E0A0000000000000 000000808080C000 0000004060202000 0000000606060000 0000003010180000 0040F00000000000 
181C000000000000 00001C1010000000 0000000C080C0000 808080C000000000 000000000030E000 6060600000000000 00000020E0800000 0000020206020000 
C0E0000000000000 00000002020E0000 0000000000A0E000 3010101000000000 0000202030100000 0000C0C0C0000000 000006040C000000 080C080800000000 
C0E0000000000000 00000002020E0000 3010300000000000 0000C08080800000 000000000030E000 0000007070000000 000006040C000000 080C080800000000 
C0E0000000000000 00008080E0000000 0000000000A0E000 0000060202020000 380C000000000000 000000001C1C0000 0010704000000000 0000083C00000000 
0000000070300000 000000008080E000 0000000C080C0000 808080C000000000 4040602000000000 3838000000000000 00041C1000000000 0000020206020000 
3818000000000000 002020E000000000 00000000C080C000 00000000003C2000 0000000C38000000 C0C0C00000000000 00041C1000000000 0000020206020000 
3818000000000000 002020E000000000 00000000C080C000 00000000003C2000 0004040C08000000 C0C0C00000000000 0000181030000000 0000020206020000 
3818000000000000 002020E000000000 0000000C080C0000 00000000F0800000 000000000030E000 C0C0C00000000000 00041C1000000000 0000020206020000 
3818000000000000 0000000E02020000 C080C00000000000 000000808080C000 0000004060202000 000000001C1C0000 0060203000000000 00041E0000000000 
E060000000000000 00000010101C0000 0000000060206000 000000C080808000 0004040C08000000 1818180000000000 0080E02000000000 0000020206020000 
0000000E0C000000 008080E000000000 00000000C080C000 00000000021E0000 0000001030202000 3838000000000000 C040600000000000 00041E0000000000 
0000007060000000 0000000E02020000 0000000000A0E000 F080000000000000 0040C08080000000 000000001C1C0000 0838200000000000 00041E0000000000 
000000E0C0000000 8080E00000000000 0000000000A0E000 00000000021E0000 380C000000000000 00000E0E00000000 4070100000000000 000000103C000000 
0000383000000000 00000008080E0000 0000000000A0E000 F080000000000000 0040C08080000000 0000060606000000 0000004070100000 083C000000000000 
0000706000000000 E080800000000000 0000000000A0E000 00000080F0000000 1870000000000000 0000060606000000 000C081800000000 00000000081E0000 
001C180000000000 00008080E0000000 0000000000A0E000 00000000101E0000 80C0404000000000 0000060606000000 0000203808000000 7820000000000000 
3830000000000000 00000010101C0000 0000000060206000 000000C080808000 0004040C08000000 C0C0C00000000000 0008382000000000 0000020206020000 
3830000000000000 4040700000000000 00000000C080C000 808080C000000000 00000000180E0000 0000060606000000 000C081800000000 0000002020302000 
E0C0000000000000 0004041C00000000 00000000C080C000 00000000003C2000 0000006038000000 1818180000000000 0020E08000000000 0000020206020000 
E0C0000000000000 000000008080E000 0000007050000000 00000000203C0000 0004040C08000000 1818180000000000 0020E08000000000 0000020206020000 
E0C0000000000000 00000010101C0000 00000000C080C000 0000006020202000 0004040C08000000 1818180000000000 0020E08000000000 0000020206020000 
000000040C0C0000 1010700000000000 00000000C080C000 0000060202020000 0000001010302000 E0E0000000000000 000080E020000000 080C080800000000 
0000000818180000 7040400000000000 0000000000A0E000 808080C000000000 00000030E0000000 0000000606060000 0838200000000000 00041E0000000000 
0000020606000000 00008080E0000000 0000000000A0E000 00000000101E0000 80C0404000000000 001C1C0000000000 0000203808000000 7820000000000000 
0000081818000000 1010700000000000 00000000C080C000 00000000003C2000 080C040400000000 E0E0000000000000 000080E020000000 0000020206020000 
0040C0C000000000 00000002020E0000 E0A0000000000000 00000000F0800000 000000000030E000 1818180000000000 0000203808000000 0004060404000000 
0040C0C000000000 0000000E02020000 0000000000A0E000 F080000000000000 00000030E0000000 000000001C1C0000 0838200000000000 00041E0000000000 
0000001018180000 0808380000000000 00000000C080C000 0000006020202000 0004060202000000 7070000000000000 0000000C04060000 8080C08000000000 
0000203030000000 0070404000000000 00000000C080C000 C080808000000000 380C000000000000 0000000606060000 0000000008382000 00001E0800000000 
0000203030000000 E080800000000000 00000000C080C000 00000000003C2000 0004040C08000000 1818180000000000 006040C000000000 0000020206020000 
0004060600000000 000000008080E000 0000602060000000 808080C000000000 0808181000000000 7070000000000000 000000080E020000 00000000103C0000 
0004060600000000 00000010101C0000 1808180000000000 000000808080C000 0000004060202000 C0C0C00000000000 000000080E020000 2030202000000000 
0004060600000000 00000010101C0000 6020600000000000 0000002020206000 00000040C0808000 1818180000000000 000000080E020000 80C0808000000000 
0004060600000000 00000010101C0000 C080C00000000000 000000808080C000 0000004060202000 1818180000000000 000000080E020000 2060202000000000 
0004060600000000 3808080000000000 0000000060206000 000000C080808000 C070000000000000 000000000E0E0000 0080E02000000000 0000101810100000 
0004060600000000 E080800000000000 0000000060206000 000000C080808000 0000203010100000 000000000E0E0000 1070400000000000 0808180800000000 
0080C0C000000000 3808080000000000 00000000C080C000 0000020202060000 C070000000000000 0000303030000000 0000000008382000 0004040C04000000 
080C0C0000000000 000000008080E000 7050000000000000 0000020202060000 0020206040000000 0000000038380000 0000101C04000000 8080C08000000000 
080C0C0000000000 0000701010000000 0000000C080C0000 808080C000000000 000000000030E000 7070000000000000 00000020E0800000 0000020206020000 
080C0C0000000000 7010100000000000 0000000C080C0000 0000C08080800000 000000000030E000 0000007070000000 80E0200000000000 0000020206020000 
80C0C00000000000 00000002020E0000 0000000060206000 000000C080808000 001C060000000000 0000383800000000 000000041C100000 7820000000000000 
80C0C00000000000 0000101070000000 0000000000A0E000 0000080808180000 001C060000000000 0000000606060000 000020E080000000 7820000000000000 
80C0C00000000000 0000380808000000 0000000060206000 000000C080808000 001C060000000000 0000000606060000 0000003010180000 7820000000000000 
80C0C00000000000 00000E0808000000 0000000060206000 000000C080808000 001C300000000000 0000000606060000 0000003010180000 7820000000000000 
80C0C00000000000 001C101000000000 0000000000A0E000 0000020202060000 0000000070180000 00000C0C0C000000 000020E080000000 7820000000000000 
