1838000000000000 E080800000000000 0000002838000000 0000020202060000 000000000030E000 000000C0C0C00000 0040701000000000 00040C0404000000 
3070000000000000 0808380000000000 C080C00000000000 000000F080000000 0004060202000000 0000000000E0E000 0000000C04060000 0000000078100000 
3070000000000000 000000008080E000 C080C00000000000 0000020202060000 080C040400000000 0000000070700000 000018080C000000 000020F000000000 
3070000000000000 000000008080E000 C080C00000000000 0000020202060000 080C040400000000 0000383800000000 000000C040600000 000000003C100000 
0000000000C0E000 00008080E0000000 0000507000000000 0000020202060000 000000001C300000 000C0C0C00000000 80E0200000000000 7810000000000000 
0000000000C0E000 0020203800000000 000000001C140000 7840000000000000 8080C04000000000 001C1C0000000000 00000080E0200000 0000020602020000 
0000000000C0E000 008080E000000000 0000181018000000 0000020202060000 00000000E0300000 3838000000000000 C040600000000000 0004040C04000000 
0000000000C0E000 0000003820200000 000000001C140000 C080808000000000 3860000000000000 001C1C0000000000 00006040C0000000 0000020602020000 
000000C0E0000000 8080E00000000000 000000001C140000 0000060202020000 380C000000000000 0000000000E0E000 4070100000000000 0000083C00000000 
000C0E0000000000 8080E00000000000 000000C080C00000 7840000000000000 000000000030E000 0000000606060000 0030101800000000 0000002078000000 
000C0E0000000000 0000007040400000 0000000602060000 0000C08080800000 000000000030E000 E0E0000000000000 1810300000000000 000000083C000000 
000C0E0000000000 0000E08080000000 0000000602060000 1810101000000000 000000000030E000 E0E0000000000000 0000006040C00000 000000083C000000 
181C000000000000 000000002020E000 E0A0000000000000 0000020202060000 00000C3800000000 000000C0C0C00000 000000041C100000 0040F00000000000 
181C000000000000 000004041C000000 E0A0000000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000083820000000 0040F00000000000 
181C000000000000 00008080E0000000 000000001C140000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
181C000000000000 00000E0202000000 0000705000000000 0000808080C00000 000000000030E000 E0E0000000000000 0000000C04060000 0000002078000000 
181C000000000000 00000E0202000000 000000C080C00000 0000F01000000000 000000000030E000 E0E0000000000000 0000000C04060000 0000002078000000 
181C000000000000 E020200000000000 0000000000A0E000 0000020202060000 00008080C0400000 00001C1C00000000 00C0406000000000 000000003C100000 
181C000000000000 E020200000000000 0000000000A0E000 0000020202060000 00008080C0400000 00000C0C0C000000 00C0406000000000 0000101030100000 
