00000000060E0000 000000008080E000 0000003010300000 C080808000000000 3860000000000000 001C1C0000000000 0000020E08000000 0000404060400000 
3070000000000000 000000E080800000 C080C00000000000 00000000003C2000 080C040400000000 0000181818000000 000000006040C000 0000020206020000 
0000000000C0E000 00000002020E0000 000000A0E0000000 0000101010300000 8080C04000000000 7070000000000000 000006040C000000 080C080800000000 
0000000000C0E000 0070101000000000 0000C080C0000000 F080000000000000 00000000180E0000 0000060606000000 0000006020300000 080C080800000000 
0000000000C0E000 0070101000000000 C080C00000000000 00000000043C0000 380C000000000000 000000E0E0000000 00000C0818000000 0000020602020000 
0000000000C0E000 001C101000000000 C080C00000000000 00000000043C0000 3860000000000000 000000E0E0000000 00000C0818000000 0000020602020000 
00000000181C0000 000000002020E000 E0A0000000000000 1810101000000000 0040C08080000000 000C0C0C00000000 0000006040C00000 0000020206020000 
00000000181C0000 000000008080E000 C080C00000000000 0000003C20000000 3860000000000000 001C1C0000000000 000000C040600000 0000020206020000 
0000000060700000 000000008080E000 0000000C080C0000 C080808000000000 3860000000000000 001C1C0000000000 0000407010000000 0000020206020000 
000000181C000000 000000E080800000 C080C00000000000 00000000003C2000 3860000000000000 001C1C0000000000 000000006040C000 0000020602020000 
181C000000000000 00000008080E0000 E0A0000000000000 0000808080C00000 000000000030E000 0000060606000000 0000181030000000 0040406040000000 
181C000000000000 E080800000000000 0000000A0E000000 00000000101E0000 00000030E0000000 0000000000E0E000 006040C000000000 00001E0400000000 
181C000000000000 E080800000000000 0000000C080C0000 00000000F0100000 00001C3000000000 0000000000E0E000 006040C000000000 0000020206020000 
6070000000000000 000000008080E000 1808180000000000 0000000008780000 0004060202000000 0000007070000000 0000000C04060000 8080C08000000000 
C0E0000000000000 00000002020E0000 0000C080C0000000 00101E0000000000 380C000000000000 0000000000E0E000 000000041C100000 0000007820000000 
C0E0000000000000 000002020E000000 0000C080C0000000 00000000101E0000 380C000000000000 0000000000E0E000 00101C0400000000 0000007820000000 
C0E0000000000000 000002020E000000 0000C080C0000000 00000000101E0000 080C040400000000 0000000000E0E000 3010180000000000 0000007820000000 
C0E0000000000000 00008080E0000000 0000000E0A000000 00101E0000000000 380C000000000000 0000000000E0E000 0000407010000000 00000000041E0000 
0000001C0C000000 E080800000000000 00000000C080C000 00000000101E0000 0004060202000000 1818180000000000 006040C000000000 0000002020602000 
000000E060000000 000000008080E000 3828000000000000 0000000008780000 0004060202000000 C0C0C00000000000 0000000C04060000 0010181010000000 
000000E060000000 000000008080E000 00000C040C000000 0000020202060000 380C000000000000 C0C0C00000000000 0030101800000000 0000000010780000 
00000E0600000000 000000008080E000 0030103000000000 00000000021E0000 380C000000000000 C0C0C00000000000 000000C040600000 000000083C000000 
00000E0600000000 00000010101C0000 000000A0E0000000 7840000000000000 8080C04000000000 0000000000E0E000 000000080E020000 003C100000000000 
0000000000706000 00000000E0808000 0000000C080C0000 C080808000000000 3860000000000000 001C1C0000000000 0000407010000000 0000020206020000 
0000001C18000000 000000E080800000 C080C00000000000 00000000003C2000 3860000000000000 001C1C0000000000 000000006040C000 0000020206020000 
0000000040C0C000 E080800000000000 000000E0A0000000 00000000003C2000 080C040400000000 0000181818000000 1070400000000000 0000020206020000 
0000000818180000 000000002020E000 C080C00000000000 0000020202060000 3860000000000000 000000C0C0C00000 0018103000000000 00040C0404000000 
0000000818180000 000000008080E000 3828000000000000 0000020202060000 0010103020000000 C0C0C00000000000 000000C040600000 00040C0404000000 
0000000080C0C000 3808080000000000 0030103000000000 0000020202060000 000000C070000000 C0C0C00000000000 0000000008382000 0004040C04000000 
0000000406060000 000000008080E000 00000E0A00000000 0000000008780000 380C000000000000 0000007070000000 4070100000000000 8080C08000000000 
000000080C0C0000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 3838000000000000 00041C1000000000 0000020602020000 
0000001018180000 000000002020E000 E0A0000000000000 0000020202060000 0040C08080000000 1818180000000000 0000006040C00000 0004040C04000000 
0000001018180000 000000002020E000 E0A0000000000000 0000808080C00000 0004060202000000 1818180000000000 0000000C04060000 0040406040000000 
0000001018180000 00008080E0000000 1808180000000000 0000020202060000 E030000000000000 0000000000E0E000 00C0406000000000 0004040C04000000 
0000001018180000 00000E0202000000 000000A0E0000000 7840000000000000 8080C04000000000 0000000000E0E000 0000000C04060000 003C100000000000 
0000001018180000 3808080000000000 000000A0E0000000 0000020202060000 8080C04000000000 0000000000E0E000 4070100000000000 0004040C04000000 
0000080C0C000000 00008080E0000000 001C140000000000 0000020202060000 80C0404000000000 0000000000E0E000 0000003010180000 7820000000000000 
0004060600000000 00000010101C0000 00000000C080C000 C080808000000000 2060404000000000 1818180000000000 000000080E020000 0000002020602000 
0004060600000000 E080800000000000 0000000000A0E000 00000000021E0000 000000380C000000 1818180000000000 006040C000000000 00000000F0400000 
0004060600000000 E080800000000000 00000000C080C000 00000000101E0000 000000180E000000 1818180000000000 006040C000000000 0000002020602000 
080C0C0000000000 000000002020E000 E0A0000000000000 1010101800000000 0040C08080000000 000000001C1C0000 0000006040C00000 0000020602020000 
80C0C00000000000 000000008080E000 000C080C00000000 0000060202020000 0010103020000000 000000001C1C0000 000000C040600000 7820000000000000 
0000000606020000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 3838000000000000 00000018080C0000 00041E0000000000 
1818080000000000 E080800000000000 0060406000000000 00000080F0000000 0004060202000000 0000000000E0E000 0000101C04000000 00000000081E0000 
C0C0400000000000 000000002020E000 00000000141C0000 0000808080C00000 00040C0808000000 3838000000000000 0000107040000000 0000020602020000 
C0C0400000000000 000000008080E000 0000000050700000 0000020202060000 0000101808080000 3838000000000000 000080E020000000 00040C0404000000 
C0C0400000000000 000000008080E000 0000002838000000 00000000043C0000 000080C040400000 3838000000000000 00041C1000000000 0000020602020000 
C0C0400000000000 00000E0808000000 00000000C080C000 0030101010000000 380C000000000000 0000000606060000 000080E020000000 0000000000782000 
00000000C0C08000 E080800000000000 0000001C14000000 0000002020206000 0004060202000000 1818180000000000 006040C000000000 00000000081E0000 
0000060604000000 000000008080E000 000000000A0E0000 0000087800000000 380C000000000000 0000000070700000 4070100000000000 8080C08000000000 
000C0C0800000000 000000002020E000 E0A0000000000000 1810101000000000 0040C08080000000 000000001C1C0000 0000006040C00000 0000020602020000 
1818100000000000 000000002020E000 E0A0000000000000 0000020202060000 0040C08080000000 0000001818180000 0000006040C00000 00040C0404000000 
1818100000000000 0000003808080000 E0A0000000000000 0000020202060000 0040C08080000000 0000000000E0E000 0000004070100000 00040C0404000000 
1818100000000000 E080800000000000 00000000141C0000 0000003020202000 00040C0808000000 00000000C0C0C000 006040C000000000 0000020602020000 
