00000000060E0000 8080E00000000000 0000000000E0A000 000000F080000000 380C000000000000 00000E0E00000000 4070100000000000 0000000078100000 
000000000C1C0000 0000000E02020000 0000000000E0A000 F080000000000000 0040C08080000000 0000007070000000 0838200000000000 00041E0000000000 
0000003070000000 3820200000000000 0000000602060000 000000C080808000 001C060000000000 C0C0C00000000000 000018080C000000 0000000000782000 
00000060E0000000 00000002020E0000 0000000000E0A000 C080808000000000 0000080818100000 3838000000000000 0040701000000000 0004060404000000 
000C1C0000000000 E080800000000000 0000001C14000000 0000020202060000 1870000000000000 0000606060000000 0000000008382000 0000008080C08000 
1838000000000000 E080800000000000 0000000000E0A000 0000020202060000 004040C080000000 0000001818180000 0000302060000000 00040C0404000000 
0000003038000000 7010100000000000 0000000000E0A000 0808080C00000000 0004060202000000 0000C0C0C0000000 80E0200000000000 00000000041E0000 
000000C0E0000000 8080E00000000000 0000000000E0A000 0000060202020000 380C000000000000 000000001C1C0000 4070100000000000 0000083C00000000 
181C000000000000 00000002020E0000 0000000000E0A000 808080C000000000 00000030E0000000 6060600000000000 000000041C100000 00001E0800000000 
181C000000000000 00008080E0000000 0000000000E0A000 0000060202020000 80C0404000000000 000000001C1C0000 6020300000000000 0000083C00000000 
181C000000000000 E080800000000000 0000302030000000 0060404040000000 00000E1800000000 0000000606060000 0000000008382000 0000008080C08000 
C0E0000000000000 00000002020E0000 0000000000E0A000 3010101000000000 0000202030100000 0000C0C0C0000000 000006040C000000 080C080800000000 
C0E0000000000000 00008080E0000000 0000000000E0A000 0000060202020000 380C000000000000 000000001C1C0000 0010704000000000 0000083C00000000 
3818000000000000 00000000E0808000 0000181018000000 C080808000000000 0004060202000000 0060606000000000 0000000C04060000 0000000000782000 
0000007060000000 0000000E02020000 0000000000E0A000 F080000000000000 0040C08080000000 000000001C1C0000 0838200000000000 00041E0000000000 
000000E0C0000000 8080E00000000000 0000000000E0A000 00000000021E0000 380C000000000000 00000E0E00000000 4070100000000000 000000103C000000 
0000383000000000 00000008080E0000 0000000000E0A000 F080000000000000 0040C08080000000 0000060606000000 0000004070100000 083C000000000000 
0000706000000000 E080800000000000 0000000000E0A000 00000080F0000000 1870000000000000 0000060606000000 000C081800000000 00000000081E0000 
001C180000000000 00008080E0000000 0000000000E0A000 00000000101E0000 80C0404000000000 0000060606000000 0000203808000000 7820000000000000 
3830000000000000 00000000E0808000 000C080C00000000 0000060202020000 000030E000000000 C0C0C00000000000 000000101C040000 0000000000782000 
0000000818180000 7040400000000000 0000000000E0A000 808080C000000000 00000030E0000000 0000000606060000 0838200000000000 00041E0000000000 
0000020606000000 00008080E0000000 0000000000E0A000 00000000101E0000 80C0404000000000 001C1C0000000000 0000203808000000 7820000000000000 
0040C0C000000000 0000000E02020000 0000000000E0A000 F080000000000000 00000030E0000000 000000001C1C0000 0838200000000000 00041E0000000000 
0040C0C000000000 00000000E0808000 E0A0000000000000 0000020202060000 000000301C000000 000C0C0C00000000 1810300000000000 0000000000782000 
0000080C0C000000 3820200000000000 001C140000000000 0000020202060000 0000004060202000 C0C0C00000000000 0000003010180000 0000008080C08000 
0040606000000000 00000000E0808000 0000181018000000 C080808000000000 0004060202000000 3838000000000000 0000000C04060000 0000000000782000 
80C0C00000000000 0000101070000000 0000000000E0A000 0000080808180000 001C060000000000 0000000606060000 000020E080000000 7820000000000000 
80C0C00000000000 001C101000000000 0000000000E0A000 0000020202060000 0000000070180000 00000C0C0C000000 000020E080000000 7820000000000000 
0000000060602000 00000002020E0000 0030203000000000 000000C080808000 380C000000000000 C0C0C00000000000 000000041C100000 00001E0800000000 
0000000060602000 3820200000000000 00000000141C0000 000000C080808000 00040C0808000000 C0C0C00000000000 0018103000000000 0000020602020000 
0000000060602000 3820200000000000 001C140000000000 000000C080808000 000008080C040000 C0C0C00000000000 0000003010180000 0000020602020000 
0000003030100000 00000002020E0000 0000000000E0A000 7808000000000000 0010180808000000 0000C0C0C0000000 80E0200000000000 0004060404000000 
0000003030100000 00000002020E0000 0000000000E0A000 F010000000000000 00E0300000000000 0000C0C0C0000000 000006040C000000 080C080800000000 
0000003030100000 7010100000000000 0000000000E0A000 0000020202060000 000004040C080000 0000C0C0C0000000 80E0200000000000 080C080800000000 
0000003030100000 7010100000000000 0000000000E0A000 0000020202060000 080C040400000000 0000C0C0C0000000 80E0200000000000 000008080C080000 
0000003030100000 7010100000000000 0000000000E0A000 00000808080C0000 080C040400000000 0000C0C0C0000000 80E0200000000000 0000020206020000 
1818080000000000 E080800000000000 0000000000E0A000 00000080F0000000 0004060202000000 0060606000000000 0000101C04000000 00000000081E0000 
00000000C0C08000 3820200000000000 0018101800000000 0000020202060000 000000E030000000 C0C0C00000000000 0000000008382000 00040C0404000000 
00000000C0C08000 7040400000000000 0000302030000000 808080C000000000 00000E1800000000 0000000606060000 0000000008382000 083C000000000000 
