0000003070000000 00000002020E0000 000000C080C00000 F010000000000000 000000000030E000 00E0E00000000000 000006040C000000 080C080800000000 
00000C1C00000000 000002020E000000 0000000060206000 00000000101E0000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
3070000000000000 00000002020E0000 C080C00000000000 000000C080808000 0000203010100000 0000000060606000 000006040C000000 080C080800000000 
0000000000C0E000 00E0808000000000 0000003020300000 F010000000000000 00000000180E0000 0000060606000000 00006040C0000000 080C080800000000 
00000000181C0000 E080800000000000 0000283800000000 000000C080808000 080C040400000000 0000000060606000 1070400000000000 0000020206020000 
181C000000000000 00000002020E0000 0000000060206000 2020206000000000 00000E1800000000 C0C0C00000000000 000000041C100000 0000008080C08000 
181C000000000000 00000002020E0000 0000000060206000 2020206000000000 0000081810100000 C0C0C00000000000 000006040C000000 0000008080C08000 
181C000000000000 00000002020E0000 6020600000000000 0000006020202000 00000E1800000000 00000000C0C0C000 000000041C100000 80C0808000000000 
181C000000000000 00000002020E0000 6020600000000000 0000006020202000 0000081810100000 00000000C0C0C000 000006040C000000 80C0808000000000 
181C000000000000 00000002020E0000 00000000C080C000 808080C000000000 00000E1800000000 6060600000000000 000000041C100000 0000002020602000 
181C000000000000 00000002020E0000 00000000C080C000 808080C000000000 0000081810100000 6060600000000000 000006040C000000 0000002020602000 
181C000000000000 00000002020E0000 C080C00000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 2060202000000000 
181C000000000000 00000002020E0000 C080C00000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 2060202000000000 
181C000000000000 000004041C000000 0000283800000000 0000020202060000 0000000000386000 E0E0000000000000 0000C04060000000 0000008080C08000 
181C000000000000 000000008080E000 00000C080C000000 2020203000000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020602020000 
181C000000000000 E020200000000000 0000000000A0E000 00000000021E0000 00008080C0400000 00000E0E00000000 00C0406000000000 000000103C000000 
181C000000000000 0000000070404000 C080C00000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 2060202000000000 
181C000000000000 00000E0808000000 C080C00000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 2060202000000000 
0000001C0C000000 00000E0202000000 0000000060206000 00000000101E0000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0000001C0C000000 3808080000000000 0000000060206000 00000000101E0000 0004060202000000 C0C0C00000000000 0030206000000000 0000008080C08000 
00000E0600000000 000000008080E000 0030203000000000 00000000021E0000 380C000000000000 C0C0C00000000000 000000C040600000 000000083C000000 
3818000000000000 00000002020E0000 C080C00000000000 000000C080808000 0000080818100000 0000000060606000 0060203000000000 0004060404000000 
0000000040C0C000 00000002020E0000 000000E0A0000000 F010000000000000 0000001010302000 00E0E00000000000 000006040C000000 080C080800000000 
0000081818000000 00000004041C0000 0000000060206000 0000060202020000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0000000080C0C000 00000002020E0000 0000602060000000 808080C000000000 0000001010302000 7070000000000000 000006040C000000 080C080800000000 
0000000080C0C000 3808080000000000 0030203000000000 0000020202060000 000000C070000000 C0C0C00000000000 0000000008382000 0004040C04000000 
0000001018180000 000000008080E000 0038280000000000 7840000000000000 0004060202000000 0000006060600000 0000000C04060000 8080C08000000000 
00000080C0C00000 000000002020E000 000C080C00000000 0000060202020000 0000C07000000000 000000001C1C0000 80E0200000000000 7810000000000000 
00000080C0C00000 000000002020E000 000C080C00000000 0000060202020000 8080C04000000000 000000001C1C0000 0060203000000000 7810000000000000 
0000080C0C000000 00000010101C0000 0000000060206000 0000060202020000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0004060600000000 3808080000000000 0000000060206000 00000000101E0000 000000180E000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0004060600000000 7040400000000000 00000000C080C000 808080C000000000 0000081810100000 000000000E0E0000 0838200000000000 0000002020602000 
080C0C0000000000 000000002020E000 00000000141C0000 F080000000000000 0070C00000000000 000000C0C0C00000 0000203808000000 0000020602020000 
080C0C0000000000 000000E080800000 0000000C080C0000 F010000000000000 000000000030E000 00E0E00000000000 0000001070400000 0000020206020000 
080C0C0000000000 000000E080800000 0000000C080C0000 F010000000000000 0000001010302000 00E0E00000000000 000000006040C000 0000020206020000 
080C0C0000000000 E080800000000000 0000000C080C0000 000000C080808000 0000203010100000 0000000060606000 1070400000000000 0000020206020000 
80C0C00000000000 00000002020E0000 0000283800000000 000000C080808000 001C060000000000 0000000060606000 000000041C100000 7820000000000000 
