00000000060E0000 000000008080E000 0000000050700000 7840000000000000 8080C04000000000 001C1C0000000000 0000020E08000000 0020203020000000 
000000000C1C0000 0000000E02020000 0000000000A0E000 00001E1000000000 380C000000000000 C0C0C00000000000 0030206000000000 00000000F0400000 
000000000C1C0000 0000000E02020000 C080C00000000000 00101E0000000000 380C000000000000 0000000000E0E000 0060203000000000 00000040F0000000 
0000001838000000 00001C0404000000 00000000C080C000 0000020202060000 380C000000000000 C0C0C00000000000 0030206000000000 0000000000782000 
1838000000000000 E080800000000000 00000000141C0000 0000006020202000 00040C0808000000 00000000C0C0C000 0040701000000000 0000020602020000 
1838000000000000 E080800000000000 0000000C080C0000 00404040C0000000 0000202030100000 0000000000E0E000 00041C1000000000 0000020206020000 
3070000000000000 000000008080E000 C080C00000000000 0808080C00000000 0004060202000000 0000006060600000 0000301018000000 00000000041E0000 
0000000000C0E000 00000002020E0000 0000C040C0000000 7808000000000000 0010180808000000 0000003030300000 80E0200000000000 0004060404000000 
0000000000C0E000 00000002020E0000 0000C040C0000000 F010000000000000 00E0300000000000 0000003030300000 000006040C000000 080C080800000000 
0000000000C0E000 0000000808380000 C080C00000000000 00101E0000000000 380C000000000000 0000000606060000 0060203000000000 00000040F0000000 
0000000000C0E000 000002020E000000 0000C040C0000000 00000000101E0000 0000103020200000 000C0C0C00000000 80E0200000000000 7810000000000000 
0000000000C0E000 00001C0404000000 0000001808180000 0000020202060000 380C000000000000 C0C0C00000000000 0030206000000000 00000000F0200000 
0000000000C0E000 7010100000000000 0000C040C0000000 0000020202060000 000004040C080000 0000003030300000 80E0200000000000 080C080800000000 
0000000000C0E000 7010100000000000 0000C040C0000000 0000020202060000 080C040400000000 0000003030300000 80E0200000000000 000008080C080000 
0000000000C0E000 7010100000000000 0000C040C0000000 00000808080C0000 080C040400000000 0000003030300000 80E0200000000000 0000020206020000 
0000003038000000 7010100000000000 0000C040C0000000 0808080C00000000 0004060202000000 0000000000E0E000 80E0200000000000 00000000041E0000 
000C0E0000000000 000000008080E000 0000000602060000 0000000040780000 0000C07000000000 E0E0000000000000 1810300000000000 000000083C000000 
000C0E0000000000 0000202038000000 00000000C080C000 7840000000000000 8080C04000000000 0000000606060000 0030101800000000 0000000000782000 
000C0E0000000000 8080E00000000000 00000000C080C000 7840000000000000 0000006038000000 0000000606060000 0030101800000000 0000000000782000 
000C0E0000000000 0000000E02020000 00000000C080C000 000000003C040000 0000C07000000000 E0E0000000000000 1810300000000000 0000000000782000 
181C000000000000 00000002020E0000 E0A0000000000000 0000006020202000 00000E1800000000 00000000C0C0C000 000000041C100000 0040F00000000000 
181C000000000000 00000002020E0000 E0A0000000000000 0000006020202000 0000081810100000 00000000C0C0C000 000006040C000000 0040F00000000000 
181C000000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 E0E0000000000000 0000083820000000 0000F04000000000 
181C000000000000 000000008080E000 E0A0000000000000 0000060202020000 0000380C00000000 000000001C1C0000 0000003020600000 0040C04040000000 
181C000000000000 000000008080E000 0000000602060000 2020206000000000 000000000C380000 C0C0C00000000000 0000001070400000 00001E0800000000 
181C000000000000 00000E0202000000 00000000C080C000 0000F01000000000 0000006038000000 E0E0000000000000 0000000C04060000 0000000000782000 
6070000000000000 00000002020E0000 1808180000000000 00000000F0100000 8080C04000000000 0000000000E0E000 0000203808000000 0004060404000000 
C0E0000000000000 00000002020E0000 0000C040C0000000 3010101000000000 0000202030100000 0000000000E0E000 000006040C000000 080C080800000000 
