000000000060E000 00000010101C0000 00000C080C000000 C080808000000000 380C000000000000 0070700000000000 00000020E0800000 0000020602020000 
000000000060E000 00000E0202000000 0000001C14000000 C080808000000000 380C000000000000 0070700000000000 00000020E0800000 00000000081E0000 
000000000060E000 3808080000000000 0000001C14000000 C080808000000000 0004060202000000 0070700000000000 00000020E0800000 00000000081E0000 
0000003070000000 000000008080E000 6020600000000000 0000000008780000 0004060202000000 1818180000000000 0000000C04060000 80C0808000000000 
0000003070000000 3820200000000000 0000000602060000 000000808080C000 001C060000000000 C0C0C00000000000 000018080C000000 0000000000782000 
0000000000C0E000 00000002020E0000 3828000000000000 00808080C0000000 0010180808000000 0000003030300000 C040600000000000 0004060404000000 
0000000000C0E000 00000002020E0000 0000C080C0000000 7808000000000000 0010180808000000 0000003030300000 80E0200000000000 0004060404000000 
0000000000C0E000 00000002020E0000 0000C080C0000000 F010000000000000 00E0300000000000 0000003030300000 000006040C000000 080C080800000000 
0000000000C0E000 000002020E000000 0000C080C0000000 00000000101E0000 0000103020200000 000C0C0C00000000 80E0200000000000 7810000000000000 
0000000000C0E000 7010100000000000 0000C080C0000000 0000020202060000 000004040C080000 0000003030300000 80E0200000000000 080C080800000000 
0000000000C0E000 7010100000000000 0000C080C0000000 0000020202060000 080C040400000000 0000003030300000 80E0200000000000 000008080C080000 
0000000000C0E000 7010100000000000 0000C080C0000000 00000808080C0000 080C040400000000 0000003030300000 80E0200000000000 0000020206020000 
0000003038000000 000000008080E000 6020600000000000 0000000040780000 0004060202000000 1818180000000000 0000000C04060000 80C0808000000000 
0000003038000000 00000E0202000000 00000000C080C000 C080808000000000 380C000000000000 0070700000000000 0000000C04060000 0000000000782000 
0000003038000000 3808080000000000 00000000C080C000 C080808000000000 0004060202000000 0070700000000000 0000000C04060000 0000000000782000 
0000003038000000 7010100000000000 0000C080C0000000 0808080C00000000 0004060202000000 0000000000E0E000 80E0200000000000 00000000041E0000 
000C0E0000000000 00000002020E0000 E0A0000000000000 0000003C04000000 0040C08080000000 0000000000E0E000 1810300000000000 0000000078100000 
181C000000000000 00000002020E0000 00000000C080C000 0000F08000000000 00000E1800000000 E0E0000000000000 000000041C100000 0000002020602000 
181C000000000000 00000002020E0000 00000000C080C000 0000F08000000000 0000081810100000 E0E0000000000000 000006040C000000 0000002020602000 
C0E0000000000000 00000002020E0000 0000C080C0000000 3010101000000000 0000202030100000 0000000000E0E000 000006040C000000 080C080800000000 
C0E0000000000000 00000E0808000000 0000000060206000 0010F00000000000 380C000000000000 0000000606060000 0000003010180000 0000008080C08000 
000000000E060000 0070101000000000 00000000C080C000 C080808000000000 380C000000000000 00000E0E00000000 0000602030000000 0000000000782000 
000000000E060000 001C101000000000 00000000C080C000 C080808000000000 3860000000000000 00000E0E00000000 0000602030000000 0000000000782000 
00000E0600000000 00000010101C0000 00000000C080C000 C080808000000000 380C000000000000 0070700000000000 000000080E020000 0000002020602000 
000000001C180000 0020203800000000 0000000060206000 0000020202060000 380C000000000000 C0C0C00000000000 00101C0400000000 0000008080C08000 
000000001C180000 0020203800000000 0000000060206000 0000020202060000 080C040400000000 C0C0C00000000000 3010180000000000 0000008080C08000 
000000001C180000 E080800000000000 0000000060206000 0000020202060000 080C040400000000 0000383800000000 1070400000000000 0000008080C08000 
00000E0C00000000 00000002020E0000 0030103000000000 00808080C0000000 380C000000000000 0000000000E0E000 C040600000000000 000000003C100000 
0000000020606000 0000000E02020000 C080C00000000000 00101E0000000000 380C000000000000 000000001C1C0000 0060203000000000 00000080C0808000 
000000040C0C0000 000000008080E000 0000283800000000 0000060202020000 380C000000000000 0000000070700000 4070100000000000 8080C08000000000 
0000002060600000 000000008080E000 00000000141C0000 C080808000000000 00040C0808000000 3838000000000000 0040701000000000 0000020602020000 
0000020606000000 3820200000000000 0000000060206000 00000000101E0000 00040C0808000000 C0C0C00000000000 0018103000000000 0000008080C08000 
000000080C0C0000 000000008080E000 0000000050700000 C080808000000000 0040602020000000 3838000000000000 00041C1000000000 0000020602020000 
0000001018180000 00000E0202000000 00000000C080C000 C080808000000000 380C000000000000 0070700000000000 0000000C04060000 0000002020602000 
0000001018180000 3808080000000000 00000000C080C000 C080808000000000 0004060202000000 0070700000000000 0000000C04060000 0000002020602000 
00000080C0C00000 3820200000000000 0018101800000000 0000020202060000 000000000030E000 C0C0C00000000000 0000002038080000 00040C0404000000 
0000080C0C000000 3820200000000000 0000000060206000 00000000101E0000 0004060202000000 C0C0C00000000000 0018103000000000 0000008080C08000 
0000000060602000 00000002020E0000 0030203000000000 000000808080C000 380C000000000000 C0C0C00000000000 000000041C100000 00001E0800000000 
0000000060602000 3820200000000000 00000000141C0000 000000808080C000 00040C0808000000 C0C0C00000000000 0018103000000000 0000020602020000 
0000000060602000 3820200000000000 001C140000000000 000000808080C000 000008080C040000 C0C0C00000000000 0000003010180000 0000020602020000 
0000000606020000 000000008080E000 0000000050700000 C080808000000000 0040602020000000 3838000000000000 00000018080C0000 00041E0000000000 
0000003030100000 00000002020E0000 0000000000A0E000 F080000000000000 00008080C0400000 0070700000000000 000006040C000000 080C080800000000 
0000003030100000 00000002020E0000 3828000000000000 00808080C0000000 0010180808000000 0000000000E0E000 C040600000000000 0004060404000000 
0000003030100000 00000002020E0000 0000C080C0000000 7808000000000000 0010180808000000 0000000000E0E000 80E0200000000000 0004060404000000 
0000003030100000 00000002020E0000 0000C080C0000000 F010000000000000 00E0300000000000 0000000000E0E000 000006040C000000 080C080800000000 
0000003030100000 7010100000000000 0000C080C0000000 0000020202060000 000004040C080000 0000000000E0E000 80E0200000000000 080C080800000000 
0000003030100000 7010100000000000 0000C080C0000000 0000020202060000 080C040400000000 0000000000E0E000 80E0200000000000 000008080C080000 
0000003030100000 7010100000000000 0000C080C0000000 00000808080C0000 080C040400000000 0000000000E0E000 80E0200000000000 0000020206020000 
0000060602000000 0000080838000000 0030103000000000 00808080C0000000 380C000000000000 0000000000E0E000 C040600000000000 00000000041E0000 
0000060604000000 0000000038202000 0000283800000000 00000000021E0000 380C000000000000 00000000C0C0C000 4070100000000000 8080C08000000000 
00C0C08000000000 00000002020E0000 1808180000000000 00000000F0100000 E030000000000000 0000000000E0E000 0000203808000000 0004060404000000 
1818100000000000 000000008080E000 0000E0A000000000 00000000043C0000 00040C0808000000 E0E0000000000000 0000001070400000 0000020602020000 
