00000000060E0000 000000008080E000 0060406000000000 C080808000000000 0404060200000000 0000000070700000 1810300000000000 0008080C08000000 
000000000C1C0000 0000000E02020000 C080C00000000000 00000080F0000000 0000386000000000 0000000000E0E000 0C04060000000000 1078000000000000 
000000000C1C0000 1C10100000000000 000C080C00000000 0000060202020000 0020206040000000 C0C0C00000000000 0000000030206000 0000008080C08000 
000C1C0000000000 008080E000000000 0000000C080C0000 00000000F0100000 1C30000000000000 0000000000E0E000 C040600000000000 0000020206020000 
0000000000C0E000 0000000808380000 C080C00000000000 00000080F0000000 0000386000000000 0000000606060000 0C04060000000000 1078000000000000 
0000000000C0E000 1C04040000000000 0000382800000000 4078000000000000 8080C04000000000 000000001C1C0000 00000080E0200000 0000020602020000 
00000000181C0000 000000002020E000 1808180000000000 0404040C00000000 C070000000000000 000000C0C0C00000 0080E02000000000 0000020206020000 
00000000181C0000 000000002020E000 C080C00000000000 0404040C00000000 1870000000000000 000000C0C0C00000 0008382000000000 0000020206020000 
00000000181C0000 000000008080E000 1C14000000000000 0000060202020000 0008080C04000000 C0C0C00000000000 000000C040600000 0020302020000000 
0060700000000000 00000E0202000000 00000000C080C000 C080808000000000 0000006038000000 1C1C000000000000 0000000C04060000 0000000000782000 
C0E0000000000000 000004041C000000 0000382800000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
C0E0000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000006038000000 1C1C000000000000 0000000C04060000 0000000000782000 
C0E0000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 1C1C000000000000 0000000C04060000 0000F02000000000 
1C0C000000000000 000000002020E000 0000000A0E000000 00000000101E0000 C070000000000000 000000C0C0C00000 0080E02000000000 00001E0400000000 
1C0C000000000000 008080E000000000 0000000C080C0000 00000000F0100000 00301C0000000000 0000000000E0E000 C040600000000000 0000020206020000 
1C0C000000000000 8080E00000000000 00000000C080C000 0000020202060000 000000E030000000 00000C0C0C000000 4070100000000000 0000000000782000 
1C0C000000000000 8080E00000000000 00000C080C000000 00000000003C2000 000000E030000000 00000000C0C0C000 4070100000000000 0000020602020000 
1C0C000000000000 00000E0202000000 00000000C080C000 C080808000000000 0000006038000000 0070700000000000 0000000C04060000 0000000000782000 
0000000000706000 1C04040000000000 00000A0E00000000 C080808000000000 00000040C0808000 000000000E0E0000 0000602030000000 0078100000000000 
0000000070600000 000000008080E000 0060406000000000 C080808000000000 040C080800000000 0000060606000000 1810300000000000 00000000081E0000 
0000000070600000 000000008080E000 C080C00000000000 0000080808180000 000030E000000000 0000000606060000 0C04060000000000 1078000000000000 
0000000818180000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 C0C0C00000000000 000000C040600000 0020302020000000 
0000000818180000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 1078000000000000 
00000040C0C00000 1C04040000000000 00000A0E00000000 C080808000000000 000000000030E000 000000000E0E0000 0000602030000000 0078100000000000 
00000080C0C00000 000000002020E000 C080C00000000000 00000000101E0000 0000386000000000 0000000E0E000000 0C04060000000000 1078000000000000 
0000080C0C000000 00000002020E0000 C080C00000000000 00000000F0100000 000030E000000000 0000000000E0E000 0C04060000000000 1078000000000000 
0000080C0C000000 1C04040000000000 C080C00000000000 0000020202060000 0000000070180000 0000000000E0E000 000020E080000000 0078100000000000 
0080C0C000000000 1C04040000000000 0000000C080C0000 00000000F0100000 C070000000000000 0000000000E0E000 0008382000000000 0000020206020000 
0000000060602000 0000000E02020000 C080C00000000000 000000808080C000 0000386000000000 000000001C1C0000 0C04060000000000 1078000000000000 
0000000606020000 0000080838000000 C080C00000000000 00000000003C2000 000030E000000000 00000000C0C0C000 0C04060000000000 1078000000000000 
0000000606020000 000000008080E000 C080C00000000000 00000808080C0000 000030E000000000 0000000070700000 0C04060000000000 1078000000000000 
0000000606020000 8080E00000000000 5070000000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0C04060000000000 0008180808000000 
0000000606020000 0000380808000000 C080C00000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0C04060000000000 1078000000000000 
0000060602000000 000000008080E000 0000302030000000 000C080808000000 1C30000000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0000060602000000 0000000038202000 0060406000000000 C080808000000000 040C080800000000 00000000C0C0C000 1810300000000000 00000000041E0000 
0000606020000000 000000008080E000 0000000050700000 C080808000000000 0000180E00000000 000000000E0E0000 0C04060000000000 1078000000000000 
0C0C040000000000 000000008080E000 0000000C080C0000 C080808000000000 0000386000000000 0000000070700000 1070400000000000 0000020206020000 
0C0C040000000000 000000008080E000 C080C00000000000 0060202020000000 1010180800000000 000000001C1C0000 000000C040600000 0000020602020000 
0C0C040000000000 8080E00000000000 5070000000000000 00000000003C2000 000000E030000000 00000000C0C0C000 000018080C000000 0000020602020000 
1818100000000000 000000008080E000 C080C00000000000 0060202020000000 04040C0800000000 000000001C1C0000 000000C040600000 0000020602020000 
