000C0E0000000000 1C10100000000000 C080C00000000000 0000004078000000 0000000000386000 0000000606060000 0060203000000000 0000008080C08000 
C0E0000000000000 00000002020E0000 0000005070000000 0000808080C00000 000000000030E000 1C1C000000000000 000006040C000000 0000782000000000 
C0E0000000000000 00000002020E0000 1C14000000000000 000000C080808000 0000E03000000000 0000000060606000 000000041C100000 00081E0000000000 
C0E0000000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 1C1C000000000000 000080E020000000 0000781000000000 
C0E0000000000000 000000008080E000 1810180000000000 0000020202060000 000000000C380000 0000E0E000000000 0000001070400000 040C040400000000 
C0E0000000000000 0000000070404000 1C14000000000000 000000C080808000 0000E03000000000 0000000606060000 0000000008382000 00081E0000000000 
C0E0000000000000 0000E08080000000 00001C1400000000 0000020202060000 000000000030E000 1C1C000000000000 0000006040C00000 000000003C080000 
C0E0000000000000 0000E08080000000 0000000602060000 00001E1000000000 000000000030E000 1C1C000000000000 0000006040C00000 000000003C080000 
1C0C000000000000 00000002020E0000 0000602060000000 00001E1000000000 C070000000000000 0000000000E0E000 000000041C100000 008080C080000000 
1C0C000000000000 00000002020E0000 0000602060000000 0000181010100000 C070000000000000 0000000000E0E000 000006040C000000 008080C080000000 
1C0C000000000000 00000002020E0000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 000006040C000000 0010181010000000 
1C0C000000000000 00000002020E0000 C080C00000000000 00000000F0100000 0070180000000000 0000000000E0E000 000006040C000000 000020F000000000 
1C0C000000000000 00000002020E0000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 000006040C000000 0010181010000000 
1C0C000000000000 00000004041C0000 C080C00000000000 0000060202020000 0070180000000000 0000000000E0E000 000020E080000000 0000001078000000 
1C0C000000000000 0000101070000000 00000C040C000000 0000020202060000 0000000000386000 C0C0C00000000000 0030206000000000 0000008080C08000 
1C0C000000000000 8080E00000000000 00000C040C000000 0000020202060000 0000000000386000 0000007070000000 4070100000000000 0000008080C08000 
0000383000000000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000383000000000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000383000000000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000000606060000 0C04060000000000 1078000000000000 
1C18000000000000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 000000C0C0C00000 0060203000000000 00041E0000000000 
1C18000000000000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 000000C0C0C00000 0060203000000000 00041E0000000000 
1C18000000000000 000000008080E000 0000000602060000 C080808000000000 000000000C380000 0060606000000000 0000001070400000 00041E0000000000 
1C18000000000000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000000606060000 0060203000000000 00041E0000000000 
0000000206060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 1C1C000000000000 0060203000000000 00001E0400000000 
0000000206060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 1818180000000000 0060203000000000 0404060400000000 
0000206060000000 000000008080E000 5070000000000000 0000000008780000 0008181010000000 0000000606060000 0C04060000000000 8080C08000000000 
0000000080C0C000 00001C0404000000 0000005070000000 0000020202060000 4060202000000000 1C1C000000000000 0000000008382000 8080C08000000000 
0000001018180000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 C0C0C00000000000 000000C040600000 0020302020000000 
0000001018180000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 1078000000000000 
1018180000000000 000000008080E000 0000005070000000 0000000008780000 4060202000000000 0000000606060000 0C04060000000000 8080C08000000000 
4060600000000000 00000002020E0000 1C14000000000000 808080C000000000 00000030E0000000 0000000000E0E000 000000041C100000 00081E0000000000 
4060600000000000 00000002020E0000 1C14000000000000 808080C000000000 0008181010000000 00000000C0C0C000 000006040C000000 0000002020302000 
0000003030100000 00000002020E0000 0000000000A0E000 C080808000000000 0060380000000000 1C1C000000000000 000006040C000000 00004040C0400000 
000C0C0400000000 1C10100000000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0060203000000000 000000003C080000 
1818080000000000 000000008080E000 000000141C000000 00000000021E0000 0404060200000000 C0C0C00000000000 000000C040600000 0020302020000000 
C0C0400000000000 00000002020E0000 0000000000A0E000 00001E1000000000 00008080C0400000 1C1C000000000000 000000041C100000 0020206020000000 
C0C0400000000000 00000002020E0000 0000000000A0E000 0000181010100000 00008080C0400000 1C1C000000000000 000006040C000000 0020206020000000 
0060604000000000 00000002020E0000 1C14000000000000 C080808000000000 00000030E0000000 0000000000E0E000 000000041C100000 00081E0000000000 
0060604000000000 00000002020E0000 1C14000000000000 C080808000000000 0008181010000000 00000000C0C0C000 000006040C000000 0000002020302000 
C0C0800000000000 000000008080E000 000000141C000000 00000000021E0000 0404060200000000 1818180000000000 000000C040600000 0020602020000000 
