00000000060E0000 000000008080E000 0060406000000000 C080808000000000 0404060200000000 0000000070700000 1810300000000000 0008081808000000 
00000000060E0000 0070101000000000 C080C00000000000 1808080800000000 0404060200000000 0000000000E0E000 000020E080000000 0000000078100000 
000000000C1C0000 000000008080E000 1C14000000000000 0000060202020000 0008081810000000 C0C0C00000000000 000000C040600000 0020302020000000 
1838000000000000 000000008080E000 0000382800000000 00000000021E0000 0404060200000000 C0C0C00000000000 000000C040600000 000000103C000000 
000000C0E0000000 1C10100000000000 C080C00000000000 0008080818000000 0004060202000000 0000000000E0E000 0060203000000000 00000000041E0000 
C0E0000000000000 000000002020E000 1C14000000000000 00000000101E0000 000000180E000000 000000C0C0C00000 00080E0200000000 0000F02000000000 
C0E0000000000000 000000002020E000 1C14000000000000 0000C08080800000 0000206040400000 000000000E0E0000 00080E0200000000 0000101810100000 
C0E0000000000000 000000008080E000 1C14000000000000 0000602020200000 000080C040400000 000000000E0E0000 00080E0200000000 0000101810100000 
C0E0000000000000 0000701010000000 00000000C080C000 0000060202020000 000008080C040000 1C1C000000000000 000080E020000000 0000000000782000 
C0E0000000000000 0000E02020000000 1C14000000000000 000000808080C000 0000004040602000 000000000E0E0000 00080E0200000000 0000101810100000 
C0E0000000000000 0000E08080000000 1C14000000000000 0000002020206000 0000004040C08000 000000000E0E0000 00080E0200000000 0000101810100000 
000000000E060000 8080E00000000000 5070000000000000 000000C080808000 0404060200000000 0000000060606000 0000003010180000 0808180800000000 
0000003818000000 8080E00000000000 5070000000000000 000000C080808000 0004060202000000 0000000060606000 0C08180000000000 00000000041E0000 
0000007030000000 0808380000000000 5070000000000000 00000000003C2000 0404060200000000 00000000C0C0C000 000000080E020000 8080C08000000000 
0000381800000000 00000002020E0000 C080C00000000000 000000203C000000 000000000030E000 000000C0C0C00000 0C04060000000000 1078000000000000 
1C0C000000000000 000000002020E000 00000E0A00000000 0000301010100000 C070000000000000 000000000E0E0000 0000006040C00000 0080C08080000000 
1C0C000000000000 00000002020E0000 C080C00000000000 00101E0000000000 000000000030E000 000000C0C0C00000 0060203000000000 000000083C000000 
1C0C000000000000 0000101070000000 00000C080C000000 0000020202060000 0000000000386000 C0C0C00000000000 0030206000000000 0000008080C08000 
1C0C000000000000 000000008080E000 00000000141C0000 0000060202020000 0010180808000000 C0C0C00000000000 000000C040600000 0020203020000000 
1C0C000000000000 000000008080E000 0000060206000000 00000000101E0000 0010180808000000 C0C0C00000000000 000000C040600000 0020203020000000 
1C0C000000000000 00000010101C0000 0000602060000000 00001E0200000000 C070000000000000 0000000000E0E000 000000080E020000 008080C080000000 
1C0C000000000000 00000010101C0000 0000602060000000 0000060202020000 C070000000000000 0000000000E0E000 000018080C000000 008080C080000000 
1C0C000000000000 8080E00000000000 00000C080C000000 0000020202060000 0000000000386000 0000007070000000 4070100000000000 0000008080C08000 
0000000000706000 00000002020E0000 5070000000000000 000808080C000000 00000040C0808000 0000303030000000 0C04060000000000 8080C08000000000 
0000000000706000 00000002020E0000 5070000000000000 000808080C000000 8080C04000000000 0000303030000000 0C04060000000000 00000080C0808000 
1C18000000000000 000000008080E000 C080C00000000000 0060202020000000 0004060202000000 0000181818000000 000000C040600000 00000000041E0000 
0000000206060000 000000002020E000 C080C00000000000 0000180808080000 0000203010100000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000000206060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000383800000000 0C04060000000000 1078000000000000 
0000000206060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 1C1C000000000000 0060203000000000 00001E0800000000 
0000000206060000 8080E00000000000 5070000000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008180808000000 
0000000206060000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 1078000000000000 
0000000206060000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000001818180000 0C04060000000000 1078000000000000 
00000040C0C00000 00000002020E0000 5070000000000000 000808080C000000 000000000030E000 0000303030000000 0C04060000000000 8080C08000000000 
1030300000000000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 0C0C0C0000000000 00000018080C0000 0000020206020000 
0000000040606000 8080E00000000000 5070000000000000 000000C080808000 0004060202000000 0000003838000000 0C08180000000000 00000000041E0000 
0000000080C0C000 0808380000000000 5070000000000000 00000000003C2000 0404060200000000 0000007070000000 000000080E020000 8080C08000000000 
4060600000000000 00000010101C0000 00000000C080C000 808080C000000000 0404060200000000 1818180000000000 000000080E020000 0000002020602000 
4060600000000000 1C10100000000000 0000060206000000 808080C000000000 00000000180E0000 00000000C0C0C000 000C081800000000 0000002020302000 
000000C0C0400000 00000002020E0000 0000000000A0E000 000808080C000000 1030202000000000 C0C0C00000000000 0C04060000000000 0000101030100000 
000000C0C0400000 00000002020E0000 0000000000A0E000 000808080C000000 0000202030100000 C0C0C00000000000 0C04060000000000 1030101000000000 
0018180800000000 1C04040000000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0060203000000000 000000003C080000 
0C0C040000000000 8080E00000000000 5070000000000000 0000020202060000 0000000000386000 0000007070000000 000018080C000000 0000008080C08000 
