0000000030700000 000000008080E000 0030103000000000 1808080800000000 008080C040000000 000000000E0E0000 C040600000000000 0404060400000000 
0000003070000000 8080E00000000000 000000C080C00000 1808080800000000 000000000030E000 000000000E0E0000 4070100000000000 0404060400000000 
0000307000000000 0000000038202000 5070000000000000 00000000021E0000 0008080C04000000 00000000C0C0C000 0C04060000000000 8080C08000000000 
0000000060700000 000000008080E000 0060406000000000 C080808000000000 0008081810000000 000000000E0E0000 1810300000000000 0404060400000000 
0000000060700000 000000008080E000 C080C00000000000 000000F010000000 0000380C00000000 000000000E0E0000 0C04060000000000 1078000000000000 
000000181C000000 000000002020E000 1808180000000000 00000000021E0000 C070000000000000 000000C0C0C00000 0080E02000000000 0404060400000000 
000000181C000000 000000002020E000 C080C00000000000 00000000021E0000 1870000000000000 000000C0C0C00000 0008382000000000 0404060400000000 
C0E0000000000000 000000002020E000 000000141C000000 00000000021E0000 1018080800000000 000000C0C0C00000 0C04060000000000 0000F02000000000 
C0E0000000000000 000000002020E000 1C14000000000000 00000000021E0000 0008081810000000 000000C0C0C00000 000006040C000000 0000F02000000000 
C0E0000000000000 1010700000000000 000000000A0E0000 0C08080800000000 0000001010302000 00000000C0C0C000 000080E020000000 0004060404000000 
000000000E060000 0070101000000000 C080C00000000000 1808080800000000 0000000070180000 0000000000E0E000 000020E080000000 0404060400000000 
0070300000000000 000000E080800000 C080C00000000000 1808080800000000 000000000030E000 000000000E0E0000 0000001070400000 0404060400000000 
0070300000000000 000000E080800000 C080C00000000000 1808080800000000 0000001010302000 000000000E0E0000 000000006040C000 0404060400000000 
1C0C000000000000 000000002020E000 000000141C000000 00000000021E0000 C070000000000000 000000C0C0C00000 0080E02000000000 00001E0800000000 
1C0C000000000000 000000008080E000 0000060406000000 00000000101E0000 0010180808000000 C0C0C00000000000 000000C040600000 0020203020000000 
0000000000706000 00000000E0808000 0060406000000000 C080808000000000 0008081810000000 000000000E0E0000 1810300000000000 0404060400000000 
0000000000706000 00000000E0808000 C080C00000000000 000000F010000000 0000380C00000000 000000000E0E0000 0C04060000000000 1078000000000000 
1C18000000000000 000000008080E000 C080C00000000000 00000000021E0000 0060380000000000 0000003838000000 000000C040600000 0004060404000000 
0000000040C0C000 8080E00000000000 000000E0A0000000 1808080800000000 0000001010302000 000000000E0E0000 4070100000000000 0404060400000000 
0008181800000000 008080E000000000 000000000A0E0000 00000000F0100000 1C30000000000000 0000000000E0E000 C040600000000000 0004060404000000 
1030300000000000 000000E080800000 000000000A0E0000 0C08080800000000 000000000030E000 C0C0C00000000000 0000001070400000 0004060404000000 
1030300000000000 000000E080800000 000000000A0E0000 0C08080800000000 0000001010302000 C0C0C00000000000 000000006040C000 0004060404000000 
0000000406060000 000000002020E000 C080C00000000000 0000180808080000 0000203010100000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000000406060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000383800000000 0C04060000000000 1078000000000000 
0000000406060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 1C1C000000000000 0060203000000000 00001E0800000000 
0000000406060000 8080E00000000000 5070000000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008180808000000 
0000000406060000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 1078000000000000 
0000000406060000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000001818180000 0C04060000000000 1078000000000000 
00000080C0C00000 000000002020E000 1808180000000000 00000000101E0000 000000180E000000 C0C0C00000000000 0030206000000000 0404060400000000 
00000080C0C00000 000000002020E000 C080C00000000000 00000000021E0000 0000386000000000 0000001C1C000000 0C04060000000000 1078000000000000 
00000080C0C00000 000000002020E000 C080C00000000000 00000000021E0000 0060380000000000 1C1C000000000000 000006040C000000 0000007810000000 
0040606000000000 000000008080E000 000000000A0E0000 C080808000000000 0008080C04000000 0000000070700000 0C04060000000000 1030101000000000 
4060600000000000 1C10100000000000 0000060406000000 808080C000000000 00000000180E0000 00000000C0C0C000 000C081800000000 0000002020302000 
0000000060602000 0000007010100000 C080C00000000000 000000808080C000 0000380C00000000 000000000E0E0000 0C04060000000000 1078000000000000 
0000000060602000 0000001C10100000 C080C00000000000 000000808080C000 0000386000000000 000000000E0E0000 0C04060000000000 1078000000000000 
000000C0C0400000 0000202038000000 0000000000A0E000 00000000021E0000 0008080C04000000 C0C0C00000000000 0C04060000000000 1030101000000000 
0000606020000000 00000010101C0000 1808180000000000 00808080C0000000 C070000000000000 0000000000E0E000 000000080E020000 0404060400000000 
C0C0400000000000 000000008080E000 1808180000000000 0030202020000000 000080C040400000 000000000E0E0000 0000001810300000 0404060400000000 
C0C0400000000000 00008080E0000000 1808180000000000 00000000101E0000 000000180E000000 0000000000E0E000 0030206000000000 0404060400000000 
C0C0400000000000 0000000038202000 0000A0E000000000 00000000021E0000 0008080C04000000 00000000C0C0C000 0C04060000000000 1030101000000000 
0000000030302000 0000007040400000 C080C00000000000 000000808080C000 0000380C00000000 000000000E0E0000 0C04060000000000 1078000000000000 
00000000C0C08000 002020E000000000 0000060406000000 1810101000000000 040C080800000000 C0C0C00000000000 0000000030206000 00000000081E0000 
0060604000000000 1C10100000000000 0000060406000000 C080808000000000 00000000180E0000 00000000C0C0C000 000C081800000000 0000002020302000 
1818100000000000 000000008080E000 C080C00000000000 0060202020000000 0000081810100000 000000000E0E0000 000000C040600000 0404060400000000 
