000000000060E000 0000000E02020000 1C14000000000000 C080808000000000 00004040C0800000 000000001C1C0000 0060203000000000 00081E0000000000 
00000000060E0000 000000008080E000 0000000050700000 808080C000000000 4040602000000000 0C0C0C0000000000 0000020E08000000 1030101000000000 
00000000060E0000 000000008080E000 5070000000000000 0000101010300000 0000206040400000 0C0C0C0000000000 0000020E08000000 8080C08000000000 
00000000060E0000 8080E00000000000 5070000000000000 000000808080C000 0000004040602000 0C0C0C0000000000 0000020E08000000 0000103010100000 
00000000060E0000 1C04040000000000 0038280000000000 000000808080C000 0000004040602000 C0C0C00000000000 0000020E08000000 0000103010100000 
000000000C1C0000 000000008080E000 C080C00000000000 0000060202020000 0060380000000000 1C1C000000000000 000000C040600000 0000003C10000000 
0000000018380000 000000008080E000 5070000000000000 0000020202060000 0000206040400000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
0000000C1C000000 8080E00000000000 5070000000000000 0000020202060000 0000000000386000 0C0C0C0000000000 0000107040000000 0000008080C08000 
0000000C1C000000 1C04040000000000 0038280000000000 0000020202060000 0000000000386000 C0C0C00000000000 0000107040000000 0000008080C08000 
000C1C0000000000 008080E000000000 00000000C080C000 0000020202060000 1C30000000000000 0000001C1C000000 C040600000000000 0000000000782000 
000C1C0000000000 0000007010100000 0000000C080C0000 00808080C0000000 1C30000000000000 0000000000E0E000 C040600000000000 0000020206020000 
1838000000000000 04041C0000000000 00000000141C0000 000000808080C000 0000004040602000 C0C0C00000000000 0000203808000000 0000020602020000 
1838000000000000 000000008080E000 0000006040600000 C080808000000000 04040C0800000000 000000001C1C0000 0040701000000000 0000020602020000 
00000000181C0000 000000008080E000 0000006040600000 C080808000000000 1C30000000000000 000C0C0C00000000 0040701000000000 0000020206020000 
00000000181C0000 000000008080E000 0000006040600000 C080808000000000 0000301C00000000 0C0C0C0000000000 1070400000000000 0000020206020000 
00000000181C0000 000000008080E000 C080C00000000000 0000043C00000000 0060380000000000 1C1C000000000000 000000C040600000 0000020206020000 
00000000181C0000 1C10100000000000 C080C00000000000 000000808080C000 0000004040602000 000C0C0C00000000 0060203000000000 0000020206020000 
0000607000000000 000000008080E000 0000000050700000 C080808000000000 0000180E00000000 000000000E0E0000 0C04060000000000 1078000000000000 
0060700000000000 00000E0202000000 00000000C080C000 C080808000000000 0000007018000000 1C1C000000000000 0000000C04060000 0000000000782000 
C0E0000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 1C1C000000000000 000000C040600000 00001E0400000000 
C0E0000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 1818180000000000 000000C040600000 0404060400000000 
C0E0000000000000 000000008080E000 1C14000000000000 00000000101E0000 0000E03000000000 0000000E0E000000 000000C040600000 00081E0000000000 
C0E0000000000000 000000008080E000 1C14000000000000 00000000101E0000 0000E03000000000 0000060606000000 000000C040600000 0008180808000000 
C0E0000000000000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 0000001818180000 000000C040600000 0000F02000000000 
C0E0000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000007018000000 1C1C000000000000 0000000C04060000 0000000000782000 
C0E0000000000000 0000001C10100000 1C14000000000000 000000808080C000 0000004040602000 000000000E0E0000 00080E0200000000 0000F02000000000 
C0E0000000000000 0000704040000000 1C14000000000000 0000808080C00000 000000000030E000 000000000E0E0000 00080E0200000000 0000003C10000000 
C0E0000000000000 0000E08080000000 1C14000000000000 0000001E10000000 000000000030E000 000000000E0E0000 0000006040C00000 00081E0000000000 
0038180000000000 1C04040000000000 00000000141C0000 000000808080C000 0000004040602000 C0C0C00000000000 0000203808000000 0000020602020000 
1C0C000000000000 00000002020E0000 0030203000000000 000000808080C000 0000004040602000 C0C0C00000000000 000000041C100000 00001E0800000000 
1C0C000000000000 000000008080E000 0000000E0A000000 00101E0000000000 0020203010000000 C0C0C00000000000 000000C040600000 00000000041E0000 
1C0C000000000000 000000008080E000 0030103000000000 0000020202060000 008080C040000000 00000C0C0C000000 C040600000000000 0000000010780000 
1C0C000000000000 000000008080E000 0030203000000000 00000000021E0000 000000061C000000 C0C0C00000000000 000000C040600000 00001E0800000000 
1C0C000000000000 008080E000000000 00000000C080C000 0000020202060000 00301C0000000000 0000001C1C000000 C040600000000000 0000000000782000 
1C0C000000000000 8080E00000000000 0000007050000000 0000020202060000 0000000000386000 00000C0C0C000000 4070100000000000 0000008080C08000 
1C0C000000000000 0000007010100000 0000000C080C0000 00808080C0000000 00301C0000000000 0000000000E0E000 C040600000000000 0000020206020000 
1C0C000000000000 00000E0202000000 00000000C080C000 C080808000000000 0000007018000000 0070700000000000 0000000C04060000 0000000000782000 
000000001C180000 000000008080E000 C080C00000000000 0000020202060000 1870000000000000 0000383800000000 000000C040600000 040C040400000000 
0000000E0C000000 000000008080E000 1C14000000000000 00000000021E0000 0020203010000000 C0C0C00000000000 000000C040600000 00081E0000000000 
0000383000000000 0000000E02020000 C080C00000000000 000000808080C000 0000004040602000 000000001C1C0000 0C04060000000000 1078000000000000 
1C18000000000000 0000000E02020000 C080C00000000000 000000808080C000 0000004040602000 000000001C1C0000 0060203000000000 00041E0000000000 
0000081818000000 000000008080E000 C080C00000000000 0000000040780000 000030E000000000 0000000606060000 0C04060000000000 1078000000000000 
0000000406060000 8080E00000000000 5070000000000000 000000F010000000 0404060200000000 00000000C0C0C000 0000000008382000 0808180800000000 
0080C0C000000000 1C04040000000000 00000000C080C000 0000020202060000 C070000000000000 0000001C1C000000 0008382000000000 0000000000782000 
1018180000000000 002020E000000000 00000000C080C000 0000001E02000000 000000001C060000 C0C0C00000000000 0C04060000000000 0000000000782000 
0000060602000000 0040407000000000 00000000C080C000 C080808000000000 000000001C060000 1C1C000000000000 0020380800000000 0000000000782000 
0000060602000000 1C10100000000000 00000000C080C000 C080808000000000 000000001C060000 0060606000000000 000C081800000000 0000000000782000 
0018180800000000 1C04040000000000 C080C00000000000 000000808080C000 0000004040602000 000000001C1C0000 0060203000000000 0000020602020000 
0C0C040000000000 000000008080E000 0000000C080C0000 0000181010100000 1030202000000000 C0C0C00000000000 000000C040600000 0000020206020000 
0C0C040000000000 0000380808000000 00000000141C0000 C080808000000000 00000070C0000000 0000000000E0E000 1070400000000000 0000020602020000 
00000000C0C08000 8080E00000000000 5070000000000000 000000F010000000 0000000000386000 0000000606060000 0C04060000000000 0008180808000000 
00000000C0C08000 0000000E02020000 1C14000000000000 C080808000000000 0000000000386000 0060606000000000 000000101C040000 00081E0000000000 
00000000C0C08000 0000380808000000 C080C00000000000 000000F010000000 0000000000386000 0000000606060000 0C04060000000000 1078000000000000 
0000060604000000 000000008080E000 000000000A0E0000 C080808000000000 0060380000000000 1C1C000000000000 0000001810300000 0000406040400000 
0000060604000000 000000008080E000 1C14000000000000 00000000021E0000 0020203010000000 C0C0C00000000000 000000C040600000 0008180808000000 
000C0C0800000000 000000008080E000 0000006040600000 C080808000000000 1C30000000000000 000000001C1C0000 0040701000000000 0000020602020000 
000C0C0800000000 1C10100000000000 C080C00000000000 000000808080C000 0000004040602000 000000001C1C0000 0060203000000000 0000020602020000 
0C0C080000000000 000000008080E000 0000000C040C0000 0000060202020000 1030202000000000 C0C0C00000000000 000000C040600000 0000101018100000 
C0C0800000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 1C1C000000000000 0020380800000000 000040F000000000 
C0C0800000000000 000000008080E000 0000003010300000 0000020202060000 000004040C080000 1C1C000000000000 0020380800000000 000040C040400000 
