000000000060E000 0000382020000000 0000000602060000 C080808000000000 00004040C0800000 0000001818180000 0C04060000000000 1078000000000000 
0000000000C0E000 0000101070000000 000C080C00000000 0000060202020000 1C30000000000000 C0C0C00000000000 000020E080000000 00000000083C0000 
000000C0E0000000 8080E00000000000 5070000000000000 00000000101E0000 0004060202000000 0000000000E0E000 0C08180000000000 0000003C08000000 
000000C0E0000000 0000380808000000 C080C00000000000 0000020202060000 1870000000000000 0000000000E0E000 0000003010180000 040C040400000000 
000000C0E0000000 1C10100000000000 C080C00000000000 00000000101E0000 0004060202000000 0000000000E0E000 0060203000000000 0008080C08000000 
0000181C00000000 1C04040000000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 0078200000000000 
0000181C00000000 1C04040000000000 C080C00000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 0078200000000000 
0000607000000000 000000008080E000 000000000A0E0000 C080808000000000 0000180E00000000 0000000070700000 0C04060000000000 1078000000000000 
000C0E0000000000 000000008080E000 0000302030000000 00000000021E0000 1C30000000000000 C0C0C00000000000 000000C040600000 0000001E08000000 
000C0E0000000000 000000008080E000 0000302030000000 0000001E02000000 1C30000000000000 C0C0C00000000000 000000C040600000 00000000081E0000 
C0E0000000000000 000000008080E000 0000000028380000 0000020202060000 000080C040400000 1C1C000000000000 0000041C10000000 0000782000000000 
C0E0000000000000 000000008080E000 0000000050700000 0000020202060000 0000040C08080000 1C1C000000000000 000080E020000000 0000781000000000 
C0E0000000000000 0008080E00000000 0000C080C0000000 00000000021E0000 0000006038000000 0000000000E0E000 0C04060000000000 1010301000000000 
C0E0000000000000 0000000070404000 0000000602060000 000000C080808000 00000E1800000000 1C1C000000000000 0000000008382000 0000F02000000000 
C0E0000000000000 0000000070404000 0000000602060000 000000C080808000 0000E03000000000 1C1C000000000000 0000000008382000 00001E0800000000 
C0E0000000000000 00000E0808000000 0000000602060000 000000C080808000 0000000000386000 1C1C000000000000 0000001070400000 0000F02000000000 
C0E0000000000000 0000E08080000000 1C14000000000000 0000060202020000 00000000301C0000 0000000000E0E000 0000107040000000 0008080C08000000 
0000000038180000 000000008080E000 C080C00000000000 0000020202060000 1870000000000000 0000383800000000 000000C040600000 040C040400000000 
1C0C000000000000 000000002020E000 000000000A0E0000 0000301010100000 C070000000000000 00000E0E00000000 0000006040C00000 0080C08080000000 
1C0C000000000000 8080E00000000000 0000000060206000 00000000021E0000 0000007018000000 00000E0E00000000 4070100000000000 0000008080C08000 
1C0C000000000000 00001C1010000000 0000602060000000 00000000021E0000 C070000000000000 0000000000E0E000 0000020E08000000 008080C080000000 
1C0C000000000000 00001C1010000000 0000602060000000 0000020202060000 C070000000000000 0000000000E0E000 0000000C08180000 008080C080000000 
0000383000000000 000000002020E000 C080C00000000000 00000000021E0000 0000000E18000000 000000C0C0C00000 0C04060000000000 1078000000000000 
1C18000000000000 000000002020E000 C080C00000000000 00000000021E0000 0000000E18000000 000000C0C0C00000 0060203000000000 00041E0000000000 
1C18000000000000 002020E000000000 00000000C080C000 0000020202060000 0000000C38000000 C0C0C00000000000 00041C1000000000 0000000000782000 
1C18000000000000 002020E000000000 00000000C080C000 0000020202060000 0004040C08000000 C0C0C00000000000 0000181030000000 0000000000782000 
1030300000000000 0008083800000000 0000000602060000 0000004078000000 0000000000386000 C0C0C00000000000 0C04060000000000 0000008080C08000 
1030300000000000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 0C0C0C0000000000 00000018080C0000 0000020602020000 
1030300000000000 000000008080E000 0000000602060000 0000000040780000 000000E030000000 C0C0C00000000000 0C04060000000000 0008081808000000 
1030300000000000 0008080E00000000 0000000060206000 00000000021E0000 0000007018000000 C0C0C00000000000 0C04060000000000 0000008080C08000 
0000000040606000 0008080E00000000 000000000A0E0000 000000C080808000 1030202000000000 C0C0C00000000000 0C04060000000000 0000101030100000 
0000000040606000 0008080E00000000 000000000A0E0000 000000C080808000 0000202030100000 C0C0C00000000000 0C04060000000000 1030101000000000 
0000000080C0C000 002020E000000000 1810180000000000 0000020202060000 0000001870000000 C0C0C00000000000 0000000008382000 040C040400000000 
0000000080C0C000 0020203800000000 1810180000000000 0000020202060000 000000C070000000 C0C0C00000000000 0000000008382000 040C040400000000 
0000000080C0C000 8080E00000000000 5070000000000000 0000020202060000 000000C070000000 0C0C0C0000000000 0000000008382000 0000103C00000000 
0000000080C0C000 1C04040000000000 0038280000000000 0000020202060000 000000C070000000 C0C0C00000000000 0000000008382000 0000103C00000000 
0000000080C0C000 1C10100000000000 0000005070000000 0000020202060000 4060202000000000 000C0C0C00000000 0000000008382000 8080C08000000000 
0004060600000000 000000008080E000 000000000A0E0000 0C08080800000000 1030202000000000 C0C0C00000000000 000000C040600000 0000101030100000 
0004060600000000 000000008080E000 000000000A0E0000 0C08080800000000 0000202030100000 C0C0C00000000000 000000C040600000 1030101000000000 
0004060600000000 000000008080E000 0000302030000000 00000000021E0000 1C30000000000000 C0C0C00000000000 000000C040600000 0008081808000000 
0020303000000000 000000008080E000 1C14000000000000 0000060202020000 00000000301C0000 C0C0C00000000000 000000C040600000 0008080C08000000 
