000000000060E000 8080E00000000000 5070000000000000 000000F080000000 0000000070180000 0000000606060000 0C04060000000000 0008180808000000 
000000000060E000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000606060000 0C04060000000000 1078000000000000 
00000000060E0000 8080E00000000000 5070000000000000 000010F000000000 000000000030E000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
00000000060E0000 1C04040000000000 0038280000000000 000010F000000000 000000000030E000 C0C0C00000000000 0000020E08000000 00000000F0400000 
0000381800000000 00000002020E0000 0060406000000000 C080808000000000 000000000030E000 1C1C000000000000 000006040C000000 00000000F0400000 
0000703000000000 0008080E00000000 5070000000000000 808080C000000000 000000000030E000 000000000E0E0000 0C04060000000000 00000000F0400000 
1C18000000000000 002020E000000000 00000000C040C000 00000000003C2000 0000000C38000000 C0C0C00000000000 00041C1000000000 0000020206020000 
1C18000000000000 002020E000000000 00000000C040C000 00000000003C2000 0004040C08000000 C0C0C00000000000 0000181030000000 0000020206020000 
0008181800000000 00000002020E0000 1C14000000000000 C080808000000000 000000000030E000 0060606000000000 000006040C000000 00000000F0400000 
4060600000000000 00000E0202000000 00000000C040C000 808080C000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002020302000 
4060600000000000 00000E0202000000 00000000C040C000 808080C000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002020302000 
4060600000000000 1C04040000000000 00000A0E00000000 808080C000000000 000000000030E000 000000000E0E0000 0018103000000000 00000000F0400000 
4060600000000000 1C10100000000000 00000000C040C000 808080C000000000 00000000180E0000 0000060606000000 000C081800000000 0000002020302000 
000000C0C0400000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 0000383800000000 0C04060000000000 1078000000000000 
000000C0C0400000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 1C1C000000000000 0060203000000000 00001E0800000000 
000000C0C0400000 000000002020E000 C080C00000000000 0000180808080000 0000203010100000 0000000606060000 0C04060000000000 1078000000000000 
000000C0C0400000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 0000383800000000 0C04060000000000 1078000000000000 
000000C0C0400000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 1C1C000000000000 0060203000000000 00001E0800000000 
000000C0C0400000 0000382020000000 C080C00000000000 0000001E10000000 000000000030E000 000000000E0E0000 0C04060000000000 1078000000000000 
000000C0C0400000 1C10100000000000 C080C00000000000 0000020202060000 000000000030E000 000C0C0C00000000 0060203000000000 000000003C080000 
0000000030302000 0008080E00000000 00000000C040C000 808080C000000000 4040602000000000 000000000E0E0000 0C04060000000000 1030101000000000 
0000000030302000 008080E000000000 00000000C040C000 0808080C00000000 0404060200000000 000000000E0E0000 C040600000000000 1030101000000000 
0000060604000000 0040407000000000 000000000A0E0000 C080808000000000 000000000030E000 1C1C000000000000 0020380800000000 00000000F0400000 
0000060604000000 1C10100000000000 000000000A0E0000 C080808000000000 000000000030E000 0060606000000000 000C081800000000 00000000F0400000 
0060604000000000 00000E0202000000 00000000C040C000 C080808000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002020302000 
0060604000000000 00000E0202000000 00000000C040C000 C080808000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002020302000 
0060604000000000 1C04040000000000 00000A0E00000000 C080808000000000 000000000030E000 000000000E0E0000 0018103000000000 00000000F0400000 
0060604000000000 1C10100000000000 00000000C040C000 C080808000000000 00000000180E0000 0000060606000000 000C081800000000 0000002020302000 
C0C0800000000000 0000001C04040000 00000000C040C000 0000060202020000 000000E030000000 1C1C000000000000 0000000008382000 0020780000000000 
