00000000060E0000 002020E000000000 0C040C0000000000 00000000F0800000 000000000030E000 C0C0C00000000000 0000020E08000000 1018101000000000 
00000000060E0000 0008080E00000000 0000000060206000 000000C080808000 1030202000000000 C0C0C00000000000 0C04060000000000 0000101018100000 
00000000060E0000 8080E00000000000 5070000000000000 000000808080C000 0000004060202000 0C0C0C0000000000 0000020E08000000 0000103010100000 
00000000060E0000 1C04040000000000 0038280000000000 000000808080C000 0000004060202000 C0C0C00000000000 0000020E08000000 0000103010100000 
0000003070000000 8080E00000000000 5070000000000000 000000C080808000 0000000000386000 0000000606060000 0C04060000000000 0008180808000000 
0000003070000000 0000380808000000 C080C00000000000 000000C080808000 0000000000386000 0000000606060000 0C04060000000000 1078000000000000 
0000307000000000 000000008080E000 5070000000000000 0008080818000000 0000000060380000 0000000606060000 0C04060000000000 8080C08000000000 
0000307000000000 0008080E00000000 5070000000000000 00000000F0800000 000000000030E000 000000000E0E0000 0C04060000000000 8080C08000000000 
0000307000000000 00000000E0808000 5070000000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 8080C08000000000 
1838000000000000 00000002020E0000 0000000060206000 000000C080808000 0000203010100000 C0C0C00000000000 000018080C000000 0404060400000000 
1838000000000000 04041C0000000000 00000000141C0000 000000808080C000 0000004060202000 C0C0C00000000000 0000203808000000 0000020602020000 
00000000181C0000 0004041C00000000 0000000060206000 000000C080808000 1C30000000000000 C0C0C00000000000 0008382000000000 0000020206020000 
00000000181C0000 0004041C00000000 0000000060206000 000000C080808000 1030202000000000 C0C0C00000000000 0C08180000000000 0000020206020000 
00000000181C0000 1C10100000000000 C080C00000000000 000000808080C000 0000004060202000 000C0C0C00000000 0060203000000000 0000020206020000 
0000607000000000 000000008080E000 0000180818000000 C080808000000000 0000000060380000 0000000606060000 0C04060000000000 1078000000000000 
0000607000000000 00000000E0808000 0000180818000000 C080808000000000 0000000000386000 0000000606060000 0C04060000000000 1078000000000000 
0060700000000000 0008083800000000 1C14000000000000 C080808000000000 00000040C0808000 0000060606000000 0000000030206000 00000000081E0000 
C0E0000000000000 000000002020E000 0000007050000000 0000C08080800000 040C080800000000 0000060606000000 1810300000000000 00000000081E0000 
C0E0000000000000 00000002020E0000 0000000060206000 000000C080808000 00000E1800000000 1C1C000000000000 000000041C100000 0000F02000000000 
C0E0000000000000 00000002020E0000 0000000060206000 000000C080808000 0000E03000000000 1C1C000000000000 000000041C100000 00001E0800000000 
C0E0000000000000 00000002020E0000 0000000060206000 000000C080808000 0000081810100000 1C1C000000000000 000006040C000000 0000F02000000000 
C0E0000000000000 0008083800000000 1C14000000000000 0000F08000000000 00000040C0808000 0000060606000000 0000000030206000 00000000081E0000 
C0E0000000000000 0008080E00000000 0000000000A0E000 00000000021E0000 1010302000000000 0000C0C0C0000000 0C04060000000000 000000103C000000 
C0E0000000000000 0000001C10100000 1C14000000000000 000000808080C000 0000004060202000 000000000E0E0000 00080E0200000000 0000F02000000000 
0000381800000000 000000E080800000 C080C00000000000 0000000078080000 000000000030E000 0000000606060000 0C04060000000000 1078000000000000 
0038180000000000 1C04040000000000 00000000141C0000 000000808080C000 0000004060202000 C0C0C00000000000 0000203808000000 0000020602020000 
1C0C000000000000 00000002020E0000 0030203000000000 000000808080C000 0000004060202000 C0C0C00000000000 000000041C100000 00001E0800000000 
1C0C000000000000 8080E00000000000 0000000060206000 000000C080808000 00000C3800000000 000000001C1C0000 4070100000000000 0000020602020000 
000000001C180000 000000002020E000 0000000602060000 C080808000000000 00004040C0800000 0000383800000000 0C04060000000000 1078000000000000 
000000001C180000 000000002020E000 0000000602060000 C080808000000000 00004040C0800000 1C1C000000000000 0060203000000000 00001E0800000000 
000000001C180000 000000008080E000 0000000602060000 C080808000000000 0000404060200000 0000383800000000 0C04060000000000 1078000000000000 
000000001C180000 000000008080E000 0000000602060000 C080808000000000 0000404060200000 1C1C000000000000 0060203000000000 00001E0800000000 
0000383000000000 0000000E02020000 C080C00000000000 000000808080C000 0000004060202000 000000001C1C0000 0C04060000000000 1078000000000000 
0038300000000000 1C04040000000000 0000000060206000 000000C080808000 000008080C040000 C0C0C00000000000 0000003010180000 0000020602020000 
1C18000000000000 002020E000000000 00000000C080C000 00000000003C2000 0000000C38000000 C0C0C00000000000 00041C1000000000 0000020206020000 
1C18000000000000 002020E000000000 00000000C080C000 00000000003C2000 0004040C08000000 C0C0C00000000000 0000181030000000 0000020206020000 
1C18000000000000 002020E000000000 0000000C080C0000 00000000F0800000 000000000030E000 C0C0C00000000000 00041C1000000000 0000020206020000 
1C18000000000000 0000000E02020000 C080C00000000000 000000808080C000 0000004060202000 000000001C1C0000 0060203000000000 00041E0000000000 
0000000206060000 000000008080E000 0030103000000000 1808080800000000 008080C040000000 0000000038380000 C040600000000000 0404060400000000 
0000000818180000 000000002020E000 1C14000000000000 C080808000000000 00004040C0800000 0000000606060000 0060203000000000 00081E0000000000 
0000000818180000 000000008080E000 1C14000000000000 C080808000000000 0000404060200000 0000000606060000 0060203000000000 00081E0000000000 
0008181800000000 8080E00000000000 5070000000000000 000000C080808000 0000000000386000 0000000606060000 0C04060000000000 0000002078000000 
0008181800000000 1C04040000000000 0000000060206000 000000C080808000 C070000000000000 000000001C1C0000 0080E02000000000 0000020602020000 
1030300000000000 00000002020E0000 0000000000A0E000 000000F080000000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000000078100000 
1030300000000000 000000008080E000 0000000028380000 C080808000000000 0008081810000000 0000000606060000 0C04060000000000 0040406040000000 
0000000406060000 8080E00000000000 5070000000000000 000000808080C000 0404060200000000 0000007070000000 0000000008382000 0808180800000000 
000000080C0C0000 0000701010000000 5070000000000000 808080C000000000 000000000030E000 0C0C0C0000000000 00000020E0800000 0000020602020000 
0000001018180000 000000002020E000 0000382800000000 C080808000000000 00004040C0800000 0000000606060000 0C04060000000000 1078000000000000 
0000001018180000 000000008080E000 0000382800000000 C080808000000000 0000404060200000 0000000606060000 0C04060000000000 1078000000000000 
1018180000000000 002020E000000000 000000000A0E0000 00000000F0800000 000000000030E000 C0C0C00000000000 0C04060000000000 0000001E04000000 
4060600000000000 00000002020E0000 0000000000A0E000 808080C000000000 00000030E0000000 1C1C000000000000 000000041C100000 00001E0800000000 
4060600000000000 00000002020E0000 000000141C000000 808080C000000000 000000000030E000 1C1C000000000000 00000020E0800000 00001E0800000000 
4060600000000000 00000002020E0000 1C14000000000000 808080C000000000 000000000030E000 0000001C1C000000 00000020E0800000 00081E0000000000 
4060600000000000 00000E0202000000 00000000C080C000 808080C000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002020302000 
4060600000000000 00000E0202000000 00000000C080C000 808080C000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002020302000 
4060600000000000 00001C1010000000 0000000C080C0000 808080C000000000 000000000030E000 1C1C000000000000 00000020E0800000 0000020206020000 
4060600000000000 1C10100000000000 00000000C080C000 808080C000000000 00000000180E0000 0000060606000000 000C081800000000 0000002020302000 
0000000606020000 002020E000000000 1C14000000000000 00000000F0800000 000000000030E000 C0C0C00000000000 00000018080C0000 00081E0000000000 
0000000606020000 00000010101C0000 0000000060206000 000000C080808000 1030202000000000 C0C0C00000000000 0C04060000000000 0008180808000000 
0000060602000000 000000002020E000 0000180818000000 C080808000000000 00004040C0800000 1C1C000000000000 0060203000000000 00000000041E0000 
0000060602000000 0000101070000000 0000000000A0E000 000C080808000000 1C30000000000000 C0C0C00000000000 000020E080000000 00000000041E0000 
0000060602000000 000000008080E000 0000180818000000 C080808000000000 0000404060200000 1C1C000000000000 0060203000000000 00000000041E0000 
0018180800000000 1C04040000000000 C080C00000000000 000000808080C000 0000004060202000 000000001C1C0000 0060203000000000 0000020602020000 
0C0C040000000000 00000010101C0000 0000000060206000 000000C080808000 1030202000000000 C0C0C00000000000 000018080C000000 0000020602020000 
0C0C040000000000 008080E000000000 00000A0E00000000 00000000F0800000 000000000030E000 000000000E0E0000 C040600000000000 1030101000000000 
C0C0400000000000 000000002020E000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 0030206000000000 00008080C0800000 
C0C0400000000000 000000008080E000 0000A0E000000000 0008080818000000 0000000060380000 0000000606060000 0C04060000000000 1030101000000000 
C0C0400000000000 0008080E00000000 0000A0E000000000 00000000F0800000 000000000030E000 000000000E0E0000 0C04060000000000 1030101000000000 
C0C0400000000000 00000000E0808000 0000A0E000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 1030101000000000 
0000000030302000 0008080E00000000 00000000C080C000 808080C000000000 4040602000000000 000000000E0E0000 0C04060000000000 1030101000000000 
0000000030302000 008080E000000000 00000000C080C000 0808080C00000000 0404060200000000 000000000E0E0000 C040600000000000 1030101000000000 
0000001818100000 00000002020E0000 0000000060206000 000000C080808000 1C30000000000000 C0C0C00000000000 0008382000000000 0004060404000000 
0000001818100000 00000002020E0000 0000000060206000 000000C080808000 1030202000000000 C0C0C00000000000 0C08180000000000 0004060404000000 
000000C0C0800000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 0000383800000000 0C04060000000000 1078000000000000 
000000C0C0800000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 1C1C000000000000 0060203000000000 00001E0800000000 
000000C0C0800000 000000002020E000 C080C00000000000 0000180808080000 0000203010100000 0000000606060000 0C04060000000000 1078000000000000 
000000C0C0800000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 0000383800000000 0C04060000000000 1078000000000000 
000000C0C0800000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 1C1C000000000000 0060203000000000 00001E0800000000 
