00000000060E0000 000000008080E000 5070000000000000 0808080C00000000 0404060200000000 0000006060600000 0000301018000000 8080C08000000000 
00000000060E0000 1C04040000000000 C080C00000000000 00000080F0000000 0000187000000000 0000000000E0E000 0000020E08000000 0078200000000000 
000C1C0000000000 008080E000000000 0000000000A0E000 0000021E00000000 1C30000000000000 000000000E0E0000 C040600000000000 00000000F0400000 
000C1C0000000000 008080E000000000 0000000C080C0000 00000010F0000000 1C30000000000000 0000000000E0E000 C040600000000000 0000020206020000 
000000000C0E0000 8080E00000000000 5070000000000000 000000C080808000 0004060202000000 0000000060606000 0C08180000000000 0000003C10000000 
000000181C000000 00000002020E0000 1808180000000000 000000C080808000 C070000000000000 0000000060606000 0080E02000000000 0404060400000000 
000000181C000000 00000002020E0000 C080C00000000000 000000C080808000 1870000000000000 0000000060606000 0008382000000000 0404060400000000 
000C0E0000000000 008080E000000000 0000000000A0E000 0000101E00000000 1C30000000000000 000000000E0E0000 C040600000000000 00000000F0400000 
C0E0000000000000 00000002020E0000 0000000000A0E000 1810101000000000 040C080800000000 0000E0E000000000 000006040C000000 00000000F0400000 
C0E0000000000000 00000002020E0000 000000141C000000 000000C080808000 1018080800000000 0000000060606000 0C04060000000000 0000F02000000000 
C0E0000000000000 00000002020E0000 0000E0A000000000 1810101000000000 040C080800000000 0000000000E0E000 000006040C000000 00000040F0000000 
C0E0000000000000 00000002020E0000 1C14000000000000 000000C080808000 0008081810000000 0000000060606000 000006040C000000 0000F02000000000 
C0E0000000000000 1C04040000000000 0000000000A0E000 0000020202060000 00008080C0400000 0000707000000000 0018080C00000000 000000003C080000 
C0E0000000000000 0000E08080000000 0000000C080C0000 1010103000000000 0000004040C08000 0C0C0C0000000000 0000000030206000 0000020206020000 
C0E0000000000000 1C10100000000000 0000000000A0E000 0000020202060000 000004040C080000 0000E0E000000000 000C081800000000 00000000F0400000 
C0E0000000000000 1C10100000000000 0000E0A000000000 0000020202060000 000004040C080000 0000000000E0E000 000C081800000000 00000040F0000000 
0000001C0C000000 00000002020E0000 C080C00000000000 00000080F0000000 0000386000000000 0000000000E0E000 0C04060000000000 1078000000000000 
1C0C000000000000 00000002020E0000 000000141C000000 000000C080808000 C070000000000000 0000000060606000 0080E02000000000 00001E0800000000 
1C0C000000000000 00000002020E0000 C080C00000000000 00000080F0000000 0070180000000000 0000000000E0E000 000006040C000000 0000207800000000 
1C0C000000000000 008080E000000000 0000000000A0E000 0000021E00000000 00301C0000000000 000000000E0E0000 C040600000000000 00000000F0400000 
1C0C000000000000 008080E000000000 0000000C080C0000 00000010F0000000 00301C0000000000 0000000000E0E000 C040600000000000 0000020206020000 
1C0C000000000000 8080E00000000000 0000000060206000 0000087800000000 00000000180E0000 0000060606000000 4070100000000000 0000008080C08000 
1C0C000000000000 8080E00000000000 0000060206000000 000000C080808000 00000000180E0000 0000000060606000 4070100000000000 0000083C00000000 
1C0C000000000000 00001C1010000000 0000000C080C0000 000000C080808000 C070000000000000 0000000060606000 0080E02000000000 0000020206020000 
0000003830000000 00000002020E0000 0000000000A0E000 C080808000000000 0060380000000000 1C1C000000000000 000006040C000000 00004040C0400000 
0000383000000000 000000008080E000 000C040C00000000 0000020202060000 1C30000000000000 C0C0C00000000000 000000C040600000 000000003C080000 
000000040C0C0000 000000008080E000 1C14000000000000 0000060202020000 0008081810000000 C0C0C00000000000 000000C040600000 0020302020000000 
0008181800000000 00000002020E0000 0000000000A0E000 0000000078400000 1C30000000000000 C0C0C00000000000 000020E080000000 0004060404000000 
1030300000000000 0008083800000000 0000000602060000 000000808080C000 0000004040602000 C0C0C00000000000 0C04060000000000 000000003C080000 
0000000040606000 00000002020E0000 000000141C000000 000000C080808000 1018080800000000 C0C0C00000000000 0C04060000000000 0020302020000000 
0000000040606000 00000002020E0000 1C14000000000000 000000C080808000 0008081810000000 C0C0C00000000000 000006040C000000 0020302020000000 
0000000040606000 1C10100000000000 C080C00000000000 000000C080808000 00000000380C0000 000C0C0C00000000 0060203000000000 0000020206020000 
00000080C0C00000 000000002020E000 C080C00000000000 0000001E10000000 0000386000000000 000000000E0E0000 0C04060000000000 1078000000000000 
0000080C0C000000 00000002020E0000 C080C00000000000 00000010F0000000 000030E000000000 0000000000E0E000 0C04060000000000 1078000000000000 
0000080C0C000000 00000002020E0000 C080C00000000000 000000808080C000 0000004040602000 0000303030000000 0C04060000000000 1078000000000000 
0080C0C000000000 1C04040000000000 0000000000A0E000 0000021E00000000 C070000000000000 000000000E0E0000 0008382000000000 00000000F0400000 
0080C0C000000000 1C04040000000000 0000000C080C0000 00000010F0000000 C070000000000000 0000000000E0E000 0008382000000000 0000020206020000 
1018180000000000 0020203800000000 0000000602060000 000000808080C000 0000004040602000 C0C0C00000000000 0C04060000000000 000000003C080000 
4060600000000000 00000E0202000000 00000000C080C000 808080C000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002020602000 
4060600000000000 00000E0202000000 00000000C080C000 808080C000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002020602000 
4060600000000000 1C10100000000000 00000000C080C000 808080C000000000 00000000180E0000 0000060606000000 000C081800000000 0000002020602000 
0000000060602000 00000002020E0000 C080C00000000000 000000808080C000 0000386000000000 0000001C1C000000 0C04060000000000 1078000000000000 
0000000060602000 00000002020E0000 C080C00000000000 000000808080C000 0060380000000000 1C1C000000000000 000006040C000000 0000007810000000 
0000000060602000 1C04040000000000 0000000C080C0000 000000808080C000 0008181010000000 C0C0C00000000000 0030206000000000 0000020206020000 
0000001818080000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 C0C0C00000000000 000000C040600000 0020302020000000 
0000001818080000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 1078000000000000 
000000C0C0400000 0004041C00000000 0000000000A0E000 0000020202060000 1C30000000000000 C0C0C00000000000 0008382000000000 000000003C080000 
000000C0C0400000 0004041C00000000 0000000000A0E000 0000020202060000 1030202000000000 C0C0C00000000000 0C08180000000000 000000003C080000 
0000000C0C080000 1C04040000000000 0000005070000000 0000020202060000 C070000000000000 0000000000E0E000 0008382000000000 0080C08080000000 
0000000C0C080000 1C04040000000000 0000000060206000 0000020202060000 0008181010000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0000060604000000 4040700000000000 000000000A0E0000 808080C000000000 1C30000000000000 0000000000E0E000 000C081800000000 00000020F0000000 
0000060604000000 4040700000000000 000000000A0E0000 808080C000000000 1C30000000000000 00000000C0C0C000 000C081800000000 0000002030202000 
0060604000000000 00000E0202000000 00000000C080C000 C080808000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002020602000 
0060604000000000 00000E0202000000 00000000C080C000 C080808000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002020602000 
0060604000000000 1C10100000000000 00000000C080C000 C080808000000000 00000000180E0000 0000060606000000 000C081800000000 0000002020602000 
0C0C080000000000 00000002020E0000 5070000000000000 808080C000000000 0000701800000000 0000000000E0E000 000006040C000000 00000020F0000000 
0C0C080000000000 00000002020E0000 5070000000000000 808080C000000000 0000701800000000 00000000C0C0C000 000006040C000000 0000002030202000 
0C0C080000000000 000000008080E000 0000141C00000000 0000020202060000 1030202000000000 C0C0C00000000000 000000C040600000 000000003C080000 
C0C0800000000000 000000008080E000 0000000038280000 0000020202060000 1030202000000000 0C0C0C0000000000 0000101C04000000 000040C040400000 
C0C0800000000000 000000008080E000 1C14000000000000 0000060202020000 0008181010000000 0000000C0C0C0000 000000C040600000 0020602020000000 
C0C0800000000000 000000008080E000 0000060206000000 0000003C20000000 00000000180E0000 1C1C000000000000 000000C040600000 0020780000000000 
