0000183800000000 000000008080E000 0000604060000000 C080808000000000 0000000018700000 0000000606060000 0C04060000000000 1078000000000000 
1838000000000000 000000008080E000 000000001C140000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020602020000 
0000000000C0E000 8080E00000000000 5070000000000000 000000F010000000 00000000E0300000 0000000606060000 0C04060000000000 0008180808000000 
0000000000C0E000 0000000E02020000 1C14000000000000 C080808000000000 00000000E0300000 0060606000000000 000000101C040000 00081E0000000000 
0000000000C0E000 0000380808000000 C080C00000000000 000000F010000000 00000000E0300000 0000000606060000 0C04060000000000 1078000000000000 
0000000000C0E000 1C04040000000000 000000001C140000 4078000000000000 8080C04000000000 0000383800000000 00000080E0200000 0000020602020000 
0000003038000000 8080E00000000000 5070000000000000 0000020202060000 000000000030E000 000000C0C0C00000 0C08180000000000 0004040C04000000 
C0E0000000000000 1010700000000000 0000000000A0E000 0000020202060000 00008080C0400000 0C0C0C0000000000 000000041C100000 0000007820000000 
C0E0000000000000 0000404070000000 1C14000000000000 0000808080C00000 000000000030E000 0000000606060000 0000203808000000 00081E0000000000 
C0E0000000000000 0000000E02020000 1C14000000000000 0000808080C00000 000000000030E000 0000606060000000 000000101C040000 00081E0000000000 
C0E0000000000000 00000E0202000000 0000705000000000 0000808080C00000 000000000030E000 1C1C000000000000 0000000C04060000 0000002078000000 
C0E0000000000000 00000E0202000000 000000C080C00000 0000F01000000000 000000000030E000 1C1C000000000000 0000000C04060000 0000002078000000 
C0E0000000000000 1C04040000000000 0000000000A0E000 0000020202060000 00008080C0400000 0000707000000000 0018080C00000000 000000003C100000 
C0E0000000000000 0000E08080000000 00001C1400000000 0000020202060000 000000000030E000 1C1C000000000000 0000006040C00000 000000083C000000 
C0E0000000000000 0000E08080000000 0000000602060000 00001E1000000000 000000000030E000 1C1C000000000000 0000006040C00000 000000083C000000 
C0E0000000000000 0000E08080000000 1810180000000000 0000020202060000 000000380C000000 0000000000E0E000 0000004070100000 040C040400000000 
000000000E060000 0000001C10100000 1C14000000000000 000000808080C000 0000004040602000 C0C0C00000000000 00080E0200000000 0020302020000000 
000000000E060000 0000382020000000 C080C00000000000 0000001E10000000 000000000030E000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000381800000000 000000E080800000 C080C00000000000 0000000078400000 000000000030E000 0000000606060000 0C04060000000000 1078000000000000 
1C0C000000000000 000000002020E000 00000C040C000000 0000020202060000 C070000000000000 000000C0C0C00000 0080E02000000000 0000101810100000 
1C0C000000000000 8080E00000000000 000000001C140000 000000C080808000 00000C3800000000 0000000060606000 4070100000000000 0000020602020000 
1C0C000000000000 0000001C04040000 C080C00000000000 0000060202020000 0070180000000000 0000000000E0E000 000020E080000000 0000000078100000 
1C0C000000000000 0070101000000000 C080C00000000000 0000060202020000 0000080C04040000 0000000000E0E000 000020E080000000 0000000078100000 
0000000000706000 0000202038000000 5070000000000000 0000020202060000 00000040C0808000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
0000000000706000 0000202038000000 5070000000000000 0000020202060000 8080C04000000000 0C0C0C0000000000 0000101C04000000 00000080C0808000 
0000000000706000 8080E00000000000 5070000000000000 0000020202060000 0000006038000000 0C0C0C0000000000 0000101C04000000 00000080C0808000 
0000000000706000 1C04040000000000 0038280000000000 0000020202060000 0000006038000000 C0C0C00000000000 0000101C04000000 00000080C0808000 
0000000038300000 000000008080E000 5070000000000000 0000020202060000 0000206040400000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
00000000E0C00000 8080E00000000000 5070000000000000 000000F010000000 000000000030E000 0000000606060000 0C04060000000000 0008180808000000 
00000000E0C00000 0000000E02020000 1C14000000000000 C080808000000000 000000000030E000 0060606000000000 000000101C040000 00081E0000000000 
00000000E0C00000 0000380808000000 C080C00000000000 000000F010000000 000000000030E000 0000000606060000 0C04060000000000 1078000000000000 
0000383000000000 000000008080E000 000C040C00000000 0000020202060000 1C30000000000000 C0C0C00000000000 000000C040600000 000000003C100000 
0000383000000000 0000000E02020000 C080C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 0C04060000000000 1078000000000000 
0038300000000000 1C04040000000000 000000001C140000 000000808080C000 0000004040602000 C0C0C00000000000 0000083820000000 0000020602020000 
1C18000000000000 0000000E02020000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 000000101C040000 00041E0000000000 
