1838000000000000 000000E080800000 0000000060406000 00000000043C0000 04040C0800000000 C0C0C00000000000 0000301018000000 0000020602020000 
0000003038000000 8080E00000000000 5070000000000000 0000020202060000 0000000000386000 000000C0C0C00000 0C08180000000000 0004040C04000000 
C0E0000000000000 00000002020E0000 0000382800000000 0000C08080800000 0000001010302000 1C1C000000000000 000006040C000000 0000004060404000 
C0E0000000000000 00000004041C0000 1C14000000000000 0000060202020000 0000E03000000000 000000C0C0C00000 0000000030206000 0008180808000000 
C0E0000000000000 1010700000000000 0000001C14000000 0000020202060000 0000002060404000 0C0C0C0000000000 0000000008382000 000080C080800000 
C0E0000000000000 00000008080E0000 1C14000000000000 0000C08080800000 0000001010302000 0000060606000000 0008382000000000 0000004060404000 
C0E0000000000000 0000404070000000 1C14000000000000 0000808080C00000 0000000000386000 0000000606060000 0000203808000000 00081E0000000000 
C0E0000000000000 0000000E02020000 1C14000000000000 0000808080C00000 0000000000386000 0000606060000000 000000101C040000 00081E0000000000 
C0E0000000000000 00000E0202000000 0000705000000000 0000808080C00000 0000000000386000 1C1C000000000000 0000000C04060000 0000002078000000 
C0E0000000000000 00000E0202000000 000000C080C00000 0000F01000000000 0000000000386000 1C1C000000000000 0000000C04060000 0000002078000000 
C0E0000000000000 0000007040400000 0000060206000000 0000C08080800000 0000380C00000000 1C1C000000000000 0000000030206000 00000000081E0000 
C0E0000000000000 0000E08080000000 00001C1400000000 0000020202060000 0000000000386000 1C1C000000000000 0000006040C00000 000000083C000000 
C0E0000000000000 0000E08080000000 0000000602060000 00001E1000000000 0000000000386000 1C1C000000000000 0000006040C00000 000000083C000000 
0000000000E06000 8080E00000000000 5070000000000000 000000F080000000 0000000070180000 0000000606060000 0C04060000000000 0008180808000000 
0000000000E06000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000606060000 0C04060000000000 1078000000000000 
000000000E060000 0000382020000000 C080C00000000000 0000001E10000000 0000000000386000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000000E06000000 8080E00000000000 5070000000000000 0000002020206000 0008181010000000 000000C0C0C00000 0C04060000000000 00000000081E0000 
0000381800000000 000000E080800000 C080C00000000000 00000000021E0000 000000061C000000 0000000060606000 0C04060000000000 1078000000000000 
0000381800000000 000000E080800000 C080C00000000000 0000000078400000 0000000000386000 0000000606060000 0C04060000000000 1078000000000000 
1C0C000000000000 0000101070000000 00000C080C000000 00000000003C2000 0000008080C04000 C0C0C00000000000 0030206000000000 0000020602020000 
1C0C000000000000 8080E00000000000 00000C080C000000 00000000003C2000 0000008080C04000 0000007070000000 4070100000000000 0000020602020000 
00000000E0C00000 8080E00000000000 5070000000000000 000000F010000000 0000000000386000 0000000606060000 0C04060000000000 0008180808000000 
00000000E0C00000 0000000E02020000 1C14000000000000 C080808000000000 0000000000386000 0060606000000000 000000101C040000 00081E0000000000 
00000000E0C00000 0000380808000000 C080C00000000000 000000F010000000 0000000000386000 0000000606060000 0C04060000000000 1078000000000000 
0000001C18000000 8080E00000000000 5070000000000000 0000002020206000 0004060202000000 000000C0C0C00000 0C08180000000000 00000000041E0000 
0000383000000000 0000000E02020000 C080C00000000000 000000003C040000 0000000000386000 000000C0C0C00000 0C04060000000000 1078000000000000 
1C18000000000000 0000000E02020000 000000C080C00000 0020202060000000 0000000000386000 C0C0C00000000000 000000101C040000 00041E0000000000 
1C18000000000000 0000000E02020000 C080C00000000000 000000003C040000 0000000000386000 000000C0C0C00000 0060203000000000 00041E0000000000 
1C18000000000000 0000000E02020000 C080C00000000000 0060202020000000 0000000000386000 000000C0C0C00000 000000101C040000 00041E0000000000 
0000000020606000 0000000E02020000 1C14000000000000 C080808000000000 00004040C0800000 000000001C1C0000 0060203000000000 00081E0000000000 
00000040C0C00000 0000202038000000 5070000000000000 0000020202060000 0000000000386000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
00000040C0C00000 00001C0404000000 0000001808180000 0000020202060000 4060202000000000 1C1C000000000000 0000000030206000 8080C08000000000 
00000080C0C00000 1C10100000000000 000C080C00000000 0000060202020000 0000000000386000 C0C0C00000000000 000000101C040000 0020206020000000 
0000000606020000 8080E00000000000 5070000000000000 00000000003C2000 0000008080C04000 0000007070000000 0C04060000000000 0008180808000000 
0000000606020000 0000380808000000 C080C00000000000 00000000003C2000 0000008080C04000 0000007070000000 0C04060000000000 1078000000000000 
000C0C0400000000 1C10100000000000 C080C00000000000 0000020202060000 0000000000386000 000000C0C0C00000 0060203000000000 000000083C000000 
0018180800000000 1C04040000000000 000000C080C00000 0020202060000000 0000000000386000 C0C0C00000000000 000000101C040000 0000020602020000 
0018180800000000 1C04040000000000 C080C00000000000 000000003C040000 0000000000386000 000000C0C0C00000 0060203000000000 0000020602020000 
0018180800000000 1C04040000000000 C080C00000000000 0060202020000000 0000000000386000 000000C0C0C00000 000000101C040000 0000020602020000 
0C0C040000000000 8080E00000000000 5070000000000000 00000000003C2000 0000008080C04000 0000007070000000 000018080C000000 0000020602020000 
C0C0400000000000 0008080E00000000 0000000060406000 0000101010300000 1030202000000000 000000000E0E0000 0C04060000000000 000080C080800000 
C0C0400000000000 1C04040000000000 0000001C14000000 0000020202060000 0000002060404000 0038380000000000 0000000008382000 000080C080800000 
000C0C0800000000 000000E080800000 0000000060406000 00000000043C0000 1C30000000000000 C0C0C00000000000 0000301018000000 0000020602020000 
000C0C0800000000 1C10100000000000 000000C080C00000 0020202060000000 0000000000386000 C0C0C00000000000 000000101C040000 0000020602020000 
000C0C0800000000 1C10100000000000 C080C00000000000 000000003C040000 0000000000386000 000000C0C0C00000 0060203000000000 0000020602020000 
000C0C0800000000 1C10100000000000 C080C00000000000 0060202020000000 0000000000386000 000000C0C0C00000 000000101C040000 0000020602020000 
C0C0800000000000 000000E080800000 0000000060406000 0000020202060000 000000000C380000 1C1C000000000000 0000041C10000000 0020780000000000 
C0C0800000000000 000000E080800000 0000000060406000 0000020202060000 000004040C080000 1C1C000000000000 0000001810300000 0020780000000000 
C0C0800000000000 1C10100000000000 000C080C00000000 0000060202020000 0000000000386000 000000C0C0C00000 000000101C040000 0020602020000000 
