000000000060E000 000000E080800000 0000000602060000 000808080C000000 0000000070180000 C0C0C00000000000 0C04060000000000 1030101000000000 
00000000060E0000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 0C0C0C0000000000 0000020E08000000 1030101000000000 
000000000C1C0000 0000000E02020000 5070000000000000 0000006020202000 0008181010000000 00000000C0C0C000 0C04060000000000 8080C08000000000 
000000000C1C0000 0000000E02020000 C080C00000000000 00000080F0000000 0000187000000000 0000000000E0E000 0C04060000000000 1078000000000000 
0000000030700000 000000008080E000 5070000000000000 0808080C00000000 0404060200000000 000000000E0E0000 0000107040000000 8080C08000000000 
0000183800000000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000183800000000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 000000C0C0C00000 0C04060000000000 1078000000000000 
0000183800000000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000000606060000 0C04060000000000 1078000000000000 
0000000000C0E000 0000000808380000 C080C00000000000 00000080F0000000 0000187000000000 0000000606060000 0C04060000000000 1078000000000000 
0000000000C0E000 000002020E000000 5070000000000000 00000000101E0000 8080C04000000000 0C0C0C0000000000 00000080E0200000 0000103C00000000 
0000000000C0E000 1C04040000000000 00000A0E00000000 4078000000000000 8080C04000000000 000000000E0E0000 00000080E0200000 0000103010100000 
0000000000C0E000 1C04040000000000 00000A0E00000000 C080808000000000 00000000E0300000 000000000E0E0000 0000407010000000 0078100000000000 
000000000C0E0000 0000001C10100000 5070000000000000 0000006020202000 0004060202000000 00000000C0C0C000 0C08180000000000 8080C08000000000 
0000000060700000 000000008080E000 C080C00000000000 000000F010000000 0000180E00000000 000000000E0E0000 0C04060000000000 1078000000000000 
0000181C00000000 00000002020E0000 C080C00000000000 000000203C000000 000000000030E000 000000C0C0C00000 0C04060000000000 1078000000000000 
C0E0000000000000 0000404070000000 1C14000000000000 0000808080C00000 000000000030E000 000000000E0E0000 00080E0200000000 0000103C00000000 
0000001C0C000000 000000008080E000 5070000000000000 00000000101E0000 0004060202000000 0000006060600000 0C08180000000000 8080C08000000000 
1C0C000000000000 00000E0202000000 0030103000000000 0000004078000000 0000000000386000 C0C0C00000000000 0000000C04060000 0000008080C08000 
0000000000706000 00000000E0808000 C080C00000000000 000000F010000000 0000180E00000000 000000000E0E0000 0C04060000000000 1078000000000000 
00000000E0C00000 1C04040000000000 00000A0E00000000 C080808000000000 000000000030E000 000000000E0E0000 0000407010000000 0078100000000000 
0000000E0C000000 000000008080E000 5070000000000000 00000000021E0000 0008181010000000 0000006060600000 0C04060000000000 8080C08000000000 
0000000206060000 0070101000000000 C080C00000000000 1808080800000000 000000000030E000 000000C0C0C00000 0000002038080000 0404060400000000 
0000000206060000 0070101000000000 C080C00000000000 1808080800000000 000000E030000000 00000000C0C0C000 0000000008382000 0404060400000000 
0000020606000000 1C04040000000000 000000A0E0000000 00000000101E0000 8080C04000000000 0000000000E0E000 4070100000000000 0008081808000000 
0008181800000000 000000008080E000 5070000000000000 00000000021E0000 000000061C000000 0000006060600000 0C04060000000000 8080C08000000000 
0008181800000000 000000008080E000 5070000000000000 0000000040780000 0000006038000000 0000000606060000 0C04060000000000 8080C08000000000 
00000080C0C00000 000000002020E000 C080C00000000000 00000000101E0000 0000187000000000 0000000E0E000000 0C04060000000000 1078000000000000 
0004060600000000 000000008080E000 5070000000000000 00000000101E0000 000000180E000000 0000006060600000 0C08180000000000 8080C08000000000 
0000000060602000 0008080E00000000 5070000000000000 000000808080C000 8080C04000000000 000000000E0E0000 0C04060000000000 0000103010100000 
0000000060602000 0000000E02020000 C080C00000000000 000000808080C000 0000187000000000 000000001C1C0000 0C04060000000000 1078000000000000 
0000000060602000 0000007010100000 C080C00000000000 000000808080C000 0000180E00000000 000000000E0E0000 0C04060000000000 1078000000000000 
0000181808000000 000000008080E000 C080C00000000000 0000000040780000 000000E030000000 0000000606060000 0C04060000000000 1078000000000000 
0C0C040000000000 000000008080E000 0000000C080C0000 C080808000000000 0000187000000000 0000000070700000 1070400000000000 0000020206020000 
C0C0400000000000 000000008080E000 0000000050700000 0808080C00000000 0404060200000000 000000000E0E0000 000080E020000000 1030101000000000 
C0C0400000000000 000010101C000000 00000000C080C000 0000020202060000 1C30000000000000 000C0C0C00000000 000080E020000000 0000000000782000 
0000000030302000 0000007040400000 C080C00000000000 000000808080C000 0000180E00000000 000000000E0E0000 0C04060000000000 1078000000000000 
00000000C0C08000 0000080838000000 0000507000000000 C080808000000000 0000000000386000 0000000606060000 0C04060000000000 1078000000000000 
00000000C0C08000 0000080838000000 0060406000000000 C080808000000000 0000000000386000 0000000606060000 0C04060000000000 1018101000000000 
00000000C0C08000 0000080838000000 C080C00000000000 000010F000000000 0000000000386000 0000000606060000 0C04060000000000 1078000000000000 
