000000000060E000 002020E000000000 1C14000000000000 00000000F0800000 0000001C06000000 C0C0C00000000000 00080E0200000000 00000000081E0000 
000000000C1C0000 1C04040000000000 C080C00000000000 0078080000000000 0000001870000000 0000000000E0E000 000020E080000000 0000020602020000 
0000000000C0E000 1C04040000000000 00000A0E00000000 C080808000000000 00000000E0300000 000000000E0E0000 0000407010000000 0078200000000000 
0000000000C0E000 1C04040000000000 0000283800000000 4078000000000000 8080C04000000000 000000001C1C0000 00000080E0200000 0000020602020000 
00000000181C0000 000000002020E000 C080C00000000000 0C04040400000000 1018080800000000 000000C0C0C00000 0060203000000000 0000020206020000 
00000000181C0000 000000008080E000 1C14000000000000 0000060202020000 0008080C04000000 C0C0C00000000000 000000C040600000 0020203020000000 
000C0E0000000000 008080E000000000 000000000A0E0000 00000000F0100000 1C30000000000000 0000000000E0E000 C040600000000000 0000001E04000000 
000C0E0000000000 008080E000000000 0000000E0A000000 00000010F0000000 1C30000000000000 0000000000E0E000 C040600000000000 00000000041E0000 
C0E0000000000000 000004041C000000 0000283800000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
C0E0000000000000 000000008080E000 1C14000000000000 0000060202020000 0008080C04000000 0000E0E000000000 0000001070400000 00000000083C0000 
C0E0000000000000 000000008080E000 0000000602060000 0000000040780000 1018080800000000 0000E0E000000000 0C04060000000000 000000103C000000 
000000000E060000 0008080E00000000 0000005070000000 000000808080C000 1030202000000000 C0C0C00000000000 0C04060000000000 0000000000782000 
1C0C000000000000 00000010101C0000 00000C080C000000 000000C080808000 C070000000000000 0000000060606000 0080E02000000000 0000020602020000 
1C0C000000000000 00000E0202000000 0000001C14000000 000000C080808000 C070000000000000 0000000060606000 0080E02000000000 00000000081E0000 
1C0C000000000000 00000E0202000000 0030203000000000 0000004078000000 0000000000386000 C0C0C00000000000 0000000C04060000 0000008080C08000 
1C0C000000000000 00000E0808000000 0000005070000000 000000808080C000 C070000000000000 0000000606060000 0080E02000000000 0000000000782000 
