00000000060E0000 000000008080E000 0000003010300000 C080808000000000 0060380000000000 1C1C000000000000 0000020E08000000 0000404060400000 
00000000181C0000 000000008080E000 000C080C00000000 C080808000000000 1C30000000000000 0000006060600000 0040701000000000 0000020206020000 
00000000181C0000 000000008080E000 C080C00000000000 0000003C20000000 0060380000000000 1C1C000000000000 000000C040600000 0000020206020000 
0000000060700000 000000008080E000 0000000C080C0000 C080808000000000 0060380000000000 1C1C000000000000 0000407010000000 0000020206020000 
000000181C000000 000000E080800000 C080C00000000000 00000000003C2000 0060380000000000 1C1C000000000000 000000006040C000 0000020602020000 
C0E0000000000000 0000E08080000000 1C14000000000000 000808080C000000 00000000301C0000 0000000000E0E000 0000107040000000 0000020602020000 
000000001C0C0000 1C10100000000000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 000C081800000000 0000020602020000 
000000001C0C0000 1C10100000000000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 000C081800000000 0000020602020000 
1C0C000000000000 000000002020E000 00000A0E00000000 0000301010100000 C070000000000000 000000000E0E0000 0000006040C00000 0080C08080000000 
1C0C000000000000 000000002020E000 0000000C080C0000 0000181010100000 C070000000000000 000000C0C0C00000 0080E02000000000 0000020206020000 
0000000000706000 00000000E0808000 0000000C080C0000 C080808000000000 0060380000000000 1C1C000000000000 0000407010000000 0000020206020000 
0000001C18000000 000000E080800000 C080C00000000000 00000000003C2000 0060380000000000 1C1C000000000000 000000006040C000 0000020206020000 
0000001018180000 000000008080E000 1C14000000000000 0000020202060000 0008080C04000000 C0C0C00000000000 000000C040600000 0020302020000000 
0020303000000000 000000008080E000 1C14000000000000 000808080C000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020602020000 
0000303020000000 000000008080E000 00000000141C0000 000C080808000000 1C30000000000000 C0C0C00000000000 000000C040600000 0000020602020000 
0C0C080000000000 000000008080E000 5070000000000000 0000020202060000 0000206040400000 0000000038380000 0000101C04000000 8080C08000000000 
