00000000060E0000 1C04040000000000 00000A0E00000000 4078000000000000 8080C04000000000 00000000C0C0C000 0000301018000000 0000002020302000 
00000000060E0000 1C04040000000000 C080C00000000000 00000000F0100000 0000187000000000 0000000000E0E000 0000020E08000000 0078200000000000 
000000000C1C0000 0000000E02020000 C080C00000000000 00000010F0000000 0000386000000000 0000000000E0E000 0C04060000000000 1078000000000000 
0000001838000000 000000008080E000 C080C00000000000 0000000040780000 0000386000000000 0000000606060000 0C04060000000000 1078000000000000 
0000000000C0E000 0000000808380000 C080C00000000000 00000010F0000000 0000386000000000 0000000606060000 0C04060000000000 1078000000000000 
0000000000C0E000 8080E00000000000 5070000000000000 0000020202060000 00000070C0000000 0000000038380000 0C08180000000000 0004040C04000000 
0000000000C0E000 1C10100000000000 C080C00000000000 0000020202060000 000000000C380000 000C0C0C00000000 0060203000000000 00000040F0000000 
000000000C0E0000 000000008080E000 C080C00000000000 0000001E02000000 0000386000000000 0000000070700000 0C04060000000000 1078000000000000 
0000000030380000 000000008080E000 0000000602060000 000808080C000000 0000206040400000 C0C0C00000000000 0C04060000000000 1030101000000000 
0000000060700000 000000008080E000 C080C00000000000 0000001E10000000 0000386000000000 000000000E0E0000 0C04060000000000 1078000000000000 
C0E0000000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 1C1C000000000000 0000083820000000 0000F04000000000 
C0E0000000000000 000000008080E000 0000005070000000 0000000008780000 1018080800000000 0000000606060000 0C04060000000000 0000F02000000000 
C0E0000000000000 0008080E00000000 0000C040C0000000 00000000021E0000 1010302000000000 0000000000E0E000 0C04060000000000 000000103C000000 
C0E0000000000000 00000E0202000000 00000000C080C000 0000F01000000000 0000006038000000 1C1C000000000000 0000000C04060000 0000000000782000 
000000000E060000 000000008080E000 5070000000000000 0000021E00000000 8080C04000000000 0C0C0C0000000000 0000302060000000 0000000010780000 
0000000038180000 8080E00000000000 5070000000000000 0000020202060000 00000070C0000000 0000000000E0E000 0C08180000000000 0004040C04000000 
0000000E06000000 8080E00000000000 5070000000000000 0000006020202000 0008181010000000 00000000C0C0C000 0C04060000000000 00000000081E0000 
0000001C0C000000 00000002020E0000 C080C00000000000 00000000F0100000 0000386000000000 0000000000E0E000 0C04060000000000 1078000000000000 
0000001C0C000000 000000008080E000 5070000000000000 0000020202060000 8080C04000000000 0C0C0C0000000000 0000302060000000 0000000010780000 
0000007030000000 8080E00000000000 5070000000000000 00000000003C2000 0004040C08000000 00000000C0C0C000 0C08180000000000 0000020206020000 
0000381800000000 000000008080E000 C080C00000000000 00000000021E0000 000000061C000000 0000006060600000 0C04060000000000 1078000000000000 
0000381800000000 000000008080E000 C080C00000000000 0000000040780000 0000006038000000 0000000606060000 0C04060000000000 1078000000000000 
1C0C000000000000 00000002020E0000 C080C00000000000 00000000F0100000 0070180000000000 0000000000E0E000 000006040C000000 0000207800000000 
