000000000060E000 E020200000000000 141C000000000000 00000000021E0000 000000061C000000 00C0C0C000000000 00000020E0800000 00001E0800000000 
000000000060E000 000000E080800000 00A0E00000000000 0000020202060000 0000000070180000 00000C0C0C000000 041C100000000000 F040000000000000 
00000000060E0000 04041C0000000000 0060206000000000 00000000F0100000 7018000000000000 0000000000E0E000 0000020E08000000 8080C08000000000 
00000000060E0000 000000008080E000 0000000050700000 F080000000000000 0404060200000000 0070700000000000 000080E020000000 0008080C08000000 
00000000060E0000 000000E080800000 00A0E00000000000 0000000078400000 000000000030E000 00000E0E00000000 041C100000000000 F040000000000000 
000000000C1C0000 E080800000000000 141C000000000000 0000060202020000 0000380C00000000 0000000000E0E000 006040C000000000 00000020F0000000 
000000000C1C0000 E080800000000000 141C000000000000 0000060202020000 0000380C00000000 00000000C0C0C000 006040C000000000 0000002030202000 
0000000030700000 000000008080E000 3020300000000000 C080808000000000 0404060200000000 000000000E0E0000 0018080C00000000 0040406040000000 
0060E00000000000 00000E0808000000 00000000C080C000 F080000000000000 000000E030000000 0000000606060000 041C100000000000 0000000000782000 
0000000000C0E000 000002020E000000 0000382800000000 00000000101E0000 8080C04000000000 7070000000000000 00000080E0200000 040C040400000000 
0000000000C0E000 04041C0000000000 0000002838000000 00000000043C0000 7018000000000000 0000C0C0C0000000 80E0200000000000 0000020602020000 
0000000000C0E000 E080800000000000 141C000000000000 00000000021E0000 000000061C000000 0060606000000000 00000080E0200000 00001E0800000000 
0000C0E000000000 04041C0000000000 0000000C080C0000 00000000F0100000 7018000000000000 0000000000E0E000 80E0200000000000 0000020206020000 
000000000E060000 000000008080E000 00A0E00000000000 0000000040780000 000000E030000000 00000E0E00000000 041C100000000000 F040000000000000 
000000000E060000 000000008080E000 141C000000000000 C080808000000000 2060404000000000 00000E0E00000000 0000302060000000 0000000010780000 
000000000E060000 000000008080E000 0000302030000000 0000000040780000 0404060200000000 00C0C0C000000000 0018080C00000000 F020000000000000 
000000001C0C0000 E080800000000000 141C000000000000 0000060202020000 0000380C00000000 00000000C0C0C000 006040C000000000 0000002020302000 
0000000038180000 000000008080E000 141C000000000000 0000060202020000 0000080C04040000 E0E0000000000000 000000C040600000 0000F02000000000 
0000000038180000 000000008080E000 141C000000000000 0000060202020000 0000080C04040000 C0C0C00000000000 000000C040600000 2020302000000000 
0000000038180000 00000E0202000000 141C000000000000 000000808080C000 0000004040602000 E0E0000000000000 0000000C04060000 0000F02000000000 
