000000000060E000 7010100000000000 0000007050000000 0000C08080800000 040C080800000000 0000060606000000 80E0200000000000 00000000081E0000 
000000000060E000 0000001C10100000 0028380000000000 F010000000000000 0404060200000000 000000000E0E0000 00C0406000000000 00008080C0800000 
000000060E000000 000000008080E000 141C000000000000 00000000101E0000 00000E1800000000 E0E0000000000000 000000C040600000 0000F02000000000 
000000060E000000 000000008080E000 141C000000000000 00000000101E0000 00000E1800000000 C0C0C00000000000 000000C040600000 2020302000000000 
000000060E000000 000000008080E000 141C000000000000 00000000101E0000 0000E03000000000 E0E0000000000000 000000C040600000 00001E0800000000 
0060E00000000000 00000E0808000000 0000007050000000 F080000000000000 0000000000386000 0000000606060000 041C100000000000 0000008080C08000 
3070000000000000 0000001C10100000 0000000000A0E000 C080808000000000 0404060200000000 000000000E0E0000 0008382000000000 00004040C0400000 
0000000000C0E000 0000704040000000 0000003010300000 00C0808080000000 0404060200000000 000000000E0E0000 0018080C00000000 F020000000000000 
0000C0E000000000 04041C0000000000 00000000C080C000 0000020202060000 7018000000000000 0000001C1C000000 80E0200000000000 0000000000782000 
00C0E00000000000 000000008080E000 0000000050700000 000010F000000000 0404060200000000 000000000E0E0000 0018080C00000000 F020000000000000 
3038000000000000 04041C0000000000 00000000141C0000 000000808080C000 0000004040602000 C0C0C00000000000 0000203808000000 0000020602020000 
3038000000000000 000000008080E000 0000006040600000 C080808000000000 04040C0800000000 000000001C1C0000 0040701000000000 0000020602020000 
000000000E060000 7040400000000000 00000000C080C000 808080C000000000 0020203010000000 00000E0E00000000 041C100000000000 0000000000782000 
00000E0600000000 000000008080E000 141C000000000000 00000000101E0000 000000180E000000 E0E0000000000000 000000C040600000 0000F02000000000 
00000E0600000000 000000008080E000 141C000000000000 00000000101E0000 000000180E000000 C0C0C00000000000 000000C040600000 2020302000000000 
00000E0600000000 00000010101C0000 141C000000000000 000000808080C000 0000004040602000 E0E0000000000000 000000080E020000 0000F02000000000 
00000E0600000000 00000010101C0000 141C000000000000 000000808080C000 0000004040602000 C0C0C00000000000 000000080E020000 2020302000000000 
0000703000000000 000000008080E000 141C000000000000 00000000043C0000 000080C040400000 E0E0000000000000 00000C0818000000 0000020602020000 
E060000000000000 000000008080E000 141C000000000000 0080F00000000000 00000C3800000000 000000001C1C0000 000000C040600000 0000020602020000 
0000000000706000 00000E0202000000 141C000000000000 2020206000000000 00000000180E0000 C0C0C00000000000 0000101C04000000 00000080C0808000 
0000000000706000 00000E0202000000 141C000000000000 2020206000000000 0000101018080000 C0C0C00000000000 0000000C04060000 00000080C0808000 
0000000000706000 E080800000000000 141C000000000000 0000060202020000 0060380000000000 0000000C0C0C0000 0000407010000000 00000080C0808000 
0000001C18000000 00000E0202000000 0000000000A0E000 F080000000000000 00008080C0400000 0060606000000000 041C100000000000 00000000041E0000 
000000E0C0000000 000010101C000000 00A0E00000000000 00000000021E0000 0404060200000000 0000000000E0E000 0018080C00000000 F040000000000000 
7060000000000000 000000008080E000 0000006040600000 0000301010100000 0404060200000000 000000000E0E0000 0018080C00000000 8080C08000000000 
7060000000000000 8080E00000000000 0000007050000000 0000020202060000 0000000000386000 00000C0C0C000000 041C100000000000 0000008080C08000 
E0C0000000000000 000000008080E000 141C000000000000 00000000021E0000 000000301C000000 00000E0E00000000 000000C040600000 0020F00000000000 
E0C0000000000000 000000008080E000 141C000000000000 0000000040780000 0000007018000000 0000000606060000 0020E08000000000 00001E0800000000 
E0C0000000000000 00000E0808000000 141C000000000000 000000808080C000 0000004040602000 0000000606060000 0000003010180000 0020F00000000000 
0000000206060000 0000007010100000 0000C080C0000000 0000180808080000 7018000000000000 0000000000E0E000 80E0200000000000 0404060400000000 
0000000206060000 0070404000000000 0000000000A0E000 F080000000000000 00008080C0400000 0000001818180000 0008382000000000 0404060400000000 
000000040C0C0000 000000008080E000 141C000000000000 0000060202020000 0000081810100000 E0E0000000000000 000000C040600000 0000F02000000000 
000000040C0C0000 000000008080E000 141C000000000000 0000060202020000 0000081810100000 C0C0C00000000000 000000C040600000 2020302000000000 
000000040C0C0000 000000008080E000 141C000000000000 0000060202020000 000080C040400000 E0E0000000000000 0000001810300000 0000782000000000 
000040C0C0000000 00000002020E0000 00E0A00000000000 F010000000000000 040C080800000000 0000000000E0E000 000006040C000000 0000103010100000 
000040C0C0000000 E080800000000000 141C000000000000 00000000021E0000 000000061C000000 0000000000E0E000 0060203000000000 00001E0800000000 
0020606000000000 04041C0000000000 0000001C14000000 0000020202060000 7018000000000000 00000000C0C0C000 0000000008382000 80C0808000000000 
0040C0C000000000 00000E0808000000 00000000C080C000 F080000000000000 0020203010000000 0000000606060000 041C100000000000 0000000000782000 
040C0C0000000000 000000008080E000 00000000141C0000 3020202000000000 0010101808000000 C0C0C00000000000 000000C040600000 0000020602020000 
040C0C0000000000 7010100000000000 0000000000A0E000 0000407800000000 00008080C0400000 000000001C1C0000 80E0200000000000 0000020602020000 
040C0C0000000000 E020200000000000 0000000000A0E000 1010101800000000 00008080C0400000 000000001C1C0000 00C0406000000000 0000020602020000 
040C0C0000000000 E080800000000000 00000000C080C000 0000020202060000 000030E000000000 0000001C1C000000 1070400000000000 0000000000782000 
040C0C0000000000 E080800000000000 00000000C080C000 0000020202060000 1010302000000000 0000001C1C000000 006040C000000000 0000000000782000 
2060600000000000 00000002020E0000 141C000000000000 C080808000000000 00000070C0000000 0000000000E0E000 000000041C100000 00001E0800000000 
0000000040606000 00000002020E0000 141C000000000000 000000C080808000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
0000000040606000 00000002020E0000 141C000000000000 000000C080808000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
0000000040606000 00000002020E0000 141C000000000000 000000C080808000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
0000000040606000 00000002020E0000 141C000000000000 000000C080808000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
0000000040606000 00000002020E0000 141C000000000000 000000C080808000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
0000000406060000 00E0808000000000 0000000000A0E000 F010000000000000 0404060200000000 0000001818180000 0008382000000000 00004040C0400000 
000000080C0C0000 E080800000000000 141C000000000000 00003C2000000000 0000001010302000 00000000C0C0C000 006040C000000000 0000020602020000 
0000001018180000 000000008080E000 141C000000000000 0000060202020000 0000080C04040000 E0E0000000000000 000000C040600000 0000F02000000000 
0000001018180000 000000008080E000 141C000000000000 0000060202020000 0000080C04040000 C0C0C00000000000 000000C040600000 2020302000000000 
0000001018180000 00000E0202000000 141C000000000000 000000808080C000 0000004040602000 E0E0000000000000 0000000C04060000 0000F02000000000 
0000001018180000 00000E0202000000 141C000000000000 000000808080C000 0000004040602000 C0C0C00000000000 0000000C04060000 2020302000000000 
0080C0C000000000 00000002020E0000 0000382800000000 043C000000000000 0000001010302000 00000000C0C0C000 000006040C000000 F040000000000000 
1018180000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 E0E0000000000000 000000C040600000 0404060400000000 
1018180000000000 000000008080E000 C080C00000000000 00000000021E0000 0404060200000000 0000001C1C000000 000000C040600000 2060202000000000 
000000C0C0400000 00000002020E0000 0000000000A0E000 F010000000000000 040C080800000000 00E0E00000000000 000006040C000000 0000103010100000 
0000060602000000 000000008080E000 0000283800000000 0000000040780000 000000001C060000 00C0C0C000000000 041C100000000000 F020000000000000 
00000000C0C08000 000004041C000000 0000283800000000 0000020202060000 0000000000386000 00C0C0C000000000 041C100000000000 F020000000000000 
00000000C0C08000 00000E0808000000 00A0E00000000000 000000F010000000 0000000000386000 0000000606060000 041C100000000000 F040000000000000 
0000060604000000 000000008080E000 000000000A0E0000 F010000000000000 040C080800000000 00E0E00000000000 000000C040600000 0000103010100000 
0000060604000000 000000008080E000 0000006040600000 00000000021E0000 040C080800000000 7070000000000000 0000301018000000 8080C08000000000 
0000060604000000 00E0808000000000 000000000A0E0000 F010000000000000 040C080800000000 0000000000E0E000 00006040C0000000 0000103010100000 
00000C0C08000000 00000010101C0000 0000000000A0E000 F080000000000000 00008080C0400000 0060606000000000 041C100000000000 0000020206020000 
00C0C08000000000 000000008080E000 0000006040600000 0000301010100000 0404060200000000 000000000E0E0000 0018080C00000000 F020000000000000 
