00000000060E0000 0000101070000000 000000C080C00000 043C000000000000 000000000030E000 00000E0E00000000 0080E02000000000 F040000000000000 
00000000060E0000 000000008080E000 00A0E00000000000 000010F000000000 0404060200000000 0000000070700000 0018080C00000000 F040000000000000 
0000307000000000 E080800000000000 0000000060206000 00000000101E0000 040C080800000000 0000060606000000 1070400000000000 0000008080C08000 
0018380000000000 00008080E0000000 0000001C14000000 00000000021E0000 0404060200000000 0000000000E0E000 00C0406000000000 F020000000000000 
0060E00000000000 000000002020E000 00000000141C0000 F080000000000000 00000C3800000000 000000C0C0C00000 041C100000000000 0000020602020000 
0060E00000000000 000000002020E000 00000000141C0000 F080000000000000 04040C0800000000 000000C0C0C00000 0018103000000000 0000020602020000 
0000000000C0E000 0010107000000000 00A0E00000000000 00000000101E0000 040C080800000000 0000060606000000 00000080E0200000 F040000000000000 
0000000000C0E000 E020200000000000 141C000000000000 00C0808080000000 0000000060380000 0000000606060000 0000407010000000 00001E0800000000 
0000000000C0E000 E020200000000000 141C000000000000 00C0808080000000 0000404060200000 0000000606060000 0000003010180000 00001E0800000000 
0000000000C0E000 E080800000000000 0060406000000000 00000000101E0000 040C080800000000 0000060606000000 00000080E0200000 1010301000000000 
0000006070000000 00000E0202000000 141C000000000000 0000F01000000000 0000000000386000 E0E0000000000000 0000000C04060000 0000008080C08000 
0000006070000000 00000E0202000000 141C000000000000 000000808080C000 2020301000000000 C0C0C00000000000 0000000C04060000 0000000000782000 
3038000000000000 000000008080E000 00000000141C0000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020602020000 
00001C0C00000000 000000008080E000 141C000000000000 2020203000000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020206020000 
0038180000000000 000000002020E000 0000001C14000000 00000000021E0000 0404060200000000 000000C0C0C00000 0080E02000000000 F040000000000000 
E060000000000000 00000004041C0000 141C000000000000 0000060202020000 0000004040C08000 0000383800000000 0000000030206000 0080C08080000000 
E060000000000000 00000004041C0000 141C000000000000 0000060202020000 0080C04040000000 0000383800000000 0000000030206000 0000008080C08000 
E060000000000000 00000E0202000000 141C000000000000 0080F00000000000 0000000000386000 0000007070000000 0000000C04060000 0000008080C08000 
E060000000000000 00000E0202000000 141C000000000000 000000808080C000 0080C04040000000 0000303030000000 0000000C04060000 0000000000782000 
00001C1800000000 000000008080E000 141C000000000000 00000000043C0000 000080C040400000 E0E0000000000000 0000602030000000 0000020602020000 
7060000000000000 000000008080E000 0000602060000000 808080C000000000 00000E1800000000 0000000606060000 041C100000000000 0000000010780000 
7060000000000000 8080E00000000000 00000000141C0000 000000C080808000 00000C3800000000 0000000060606000 041C100000000000 0000020602020000 
7060000000000000 8080E00000000000 00000000141C0000 000000C080808000 04040C0800000000 0000000060606000 0018103000000000 0000020602020000 
E0C0000000000000 000000002020E000 141C000000000000 0000808080C00000 0020604040000000 0000000606060000 0000003010180000 00001E0800000000 
E0C0000000000000 000000002020E000 141C000000000000 0000060202020000 0000080C04040000 000000C0C0C00000 0000003010180000 0020F00000000000 
E0C0000000000000 00000E0202000000 141C000000000000 000000F080000000 0000000070180000 0000000000E0E000 0000000C04060000 0020F00000000000 
