000000000060E000 000000E080800000 3020300000000000 00000000021E0000 0404060200000000 C0C0C00000000000 0018080C00000000 0000001078000000 
0060E00000000000 000000002020E000 000000000A0E0000 F080000000000000 0404060200000000 000000C0C0C00000 0018080C00000000 0000103010100000 
0060E00000000000 00000E0808000000 0000000602060000 F080000000000000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
3070000000000000 0000101070000000 C080C00000000000 00000000021E0000 0404060200000000 0000000000E0E000 000020E080000000 0008080C08000000 
3070000000000000 000000008080E000 C080C00000000000 00000000021E0000 0404060200000000 0000303030000000 000000C040600000 0008080C08000000 
0000000000C0E000 00002020E0000000 000000000A0E0000 0000101010300000 0404060200000000 00C0C0C000000000 0018080C00000000 F020000000000000 
0000000000C0E000 04041C0000000000 0000000028380000 0000020202060000 7018000000000000 0000C0C0C0000000 80E0200000000000 0000003C10000000 
0000000000C0E000 00008080E0000000 141C000000000000 0000060202020000 0000380C00000000 E0E0000000000000 0000407010000000 00000000083C0000 
0000000000C0E000 E020200000000000 141C000000000000 00000000021E0000 00001C3000000000 00C0C0C000000000 0000020E08000000 00000000F0200000 
0000000000C0E000 E020200000000000 141C000000000000 0000020202060000 00001C3000000000 00C0C0C000000000 0000000C08180000 00000000F0200000 
0000000000C0E000 0000704040000000 000000000A0E0000 00C0808080000000 0404060200000000 0000003030300000 0018080C00000000 F020000000000000 
00000000181C0000 00008080E0000000 141C000000000000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
0000181C00000000 000000008080E000 141C000000000000 0000060202020000 000080C040400000 E0E0000000000000 0000602030000000 00000000083C0000 
0000607000000000 00000E0808000000 0000000602060000 00C0808080000000 0000000070180000 0000000000E0E000 041C100000000000 F020000000000000 
0000C0E000000000 000000008080E000 141C000000000000 0000060202020000 0000380C00000000 E0E0000000000000 0000001070400000 00000000083C0000 
00C0E00000000000 000000008080E000 000000000A0E0000 000010F000000000 0404060200000000 0000000070700000 0018080C00000000 F020000000000000 
00C0E00000000000 00000E0808000000 0000000602060000 000000F080000000 0000000070180000 0000000000E0E000 041C100000000000 F020000000000000 
C0E0000000000000 00008080E0000000 3010300000000000 00000000021E0000 0404060200000000 0000000000E0E000 0000407010000000 0008080C08000000 
0000007030000000 7010100000000000 0000C080C0000000 00000000021E0000 0404060200000000 0000000000E0E000 80E0200000000000 0008080C08000000 
00000E0600000000 0000000038202000 00C080C000000000 00000000021E0000 0000603800000000 00000000C0C0C000 041C100000000000 F020000000000000 
0000703000000000 000000008080E000 141C000000000000 00000000203C0000 000080C040400000 E0E0000000000000 00000C0818000000 0000020602020000 
0000703000000000 0000000038202000 00C080C000000000 00000000021E0000 0404060200000000 00000000C0C0C000 0018080C00000000 F020000000000000 
0038180000000000 0000001C10100000 000000000A0E0000 000000C080808000 0404060200000000 0000000060606000 0080E02000000000 F040000000000000 
0000000000706000 E080800000000000 141C000000000000 0000020202060000 0000040C08080000 0060606000000000 0000181030000000 00000080C0808000 
