000000000060E000 04041C0000000000 0000000C080C0000 0000C08080800000 7018000000000000 0000007070000000 80E0200000000000 0000020206020000 
000000000060E000 00000008080E0000 141C000000000000 6020202000000000 00004040C0800000 0000060606000000 0000181030000000 80C0808000000000 
000000000060E000 00000008080E0000 141C000000000000 6020202000000000 80C0404000000000 0000060606000000 0000181030000000 00008080C0800000 
000000000060E000 00000008080E0000 141C000000000000 C080808000000000 00004040C0800000 0000060606000000 0000181030000000 2060202000000000 
000000000060E000 E020200000000000 141C000000000000 00001E0200000000 0000001C30000000 000000000E0E0000 00C0406000000000 00008080C0800000 
000000000060E000 000000E080800000 00A0E00000000000 0000000078080000 00000E1800000000 0000000606060000 041C100000000000 F040000000000000 
000000000060E000 E080800000000000 141C000000000000 0000000078080000 000040C080800000 0000000606060000 0060203000000000 00001E0800000000 
00000000060E0000 04041C0000000000 0060206000000000 00000010F0000000 7018000000000000 0000000000E0E000 0000020E08000000 8080C08000000000 
00000000060E0000 0000000038202000 00A0E00000000000 000010F000000000 0404060200000000 00000000C0C0C000 0018080C00000000 F040000000000000 
00000000060E0000 0000E08080000000 141C000000000000 00001E0200000000 0000004040C08000 E0E0000000000000 0000000030206000 0000003C08000000 
0060E00000000000 000000002020E000 0000060206000000 F080000000000000 00000000180E0000 000000C0C0C00000 041C100000000000 0000083C00000000 
3070000000000000 00000002020E0000 0000000000A0E000 C080808000000000 040C080800000000 0000707000000000 000006040C000000 00000000F0400000 
3070000000000000 00000002020E0000 0000000000A0E000 C080808000000000 040C080800000000 0000303030000000 000006040C000000 00004040C0400000 
3070000000000000 00000002020E0000 0000705000000000 C080808000000000 040C080800000000 0000000000E0E000 000006040C000000 00000020F0000000 
3070000000000000 00000002020E0000 0000705000000000 C080808000000000 040C080800000000 00000000C0C0C000 000006040C000000 0000002030202000 
0000000000C0E000 00000002020E0000 141C000000000000 C080808000000000 2060404000000000 0000383800000000 000006040C000000 00000000F0200000 
0000000000C0E000 0040407000000000 3020300000000000 C080808000000000 0404060200000000 000000000E0E0000 0018080C00000000 00000000F0200000 
0000000000C0E000 2020380000000000 141C000000000000 0000020202060000 000004040C080000 C0C0C00000000000 00000080E0200000 0000007810000000 
0000000000C0E000 00000E0202000000 141C000000000000 0000003C04000000 00000000180E0000 E0E0000000000000 00000080E0200000 0000F04000000000 
0000000000C0E000 E080800000000000 141C000000000000 0000020202060000 000004040C080000 0000383800000000 006040C000000000 00000000F0200000 
000000C0E0000000 00000E0202000000 00A0E00000000000 0000003C04000000 00000000180E0000 0000000000E0E000 041C100000000000 F040000000000000 
0000181C00000000 000000002020E000 0000060206000000 043C000000000000 00000000180E0000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000C0E000000000 04041C0000000000 0000000000A0E000 0000021E00000000 7018000000000000 000000000E0E0000 80E0200000000000 00000000F0400000 
0000C0E000000000 04041C0000000000 0000000C080C0000 00000010F0000000 7018000000000000 0000000000E0E000 80E0200000000000 0000020206020000 
C0E0000000000000 00000002020E0000 0000000000A0E000 3010101000000000 040C080800000000 0000E0E000000000 000006040C000000 00000000F0400000 
C0E0000000000000 00000002020E0000 0000E0A000000000 3010101000000000 040C080800000000 0000000000E0E000 000006040C000000 00000040F0000000 
000000001C0C0000 00008080E0000000 141C000000000000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
0000007030000000 00000002020E0000 0050700000000000 00808080C0000000 040C080800000000 0000000000E0E000 000006040C000000 F020000000000000 
00001C0C00000000 000000008080E000 141C000000000000 0000020202060000 0000E03000000000 E0E0000000000000 000000C040600000 000000003C080000 
00001C0C00000000 000000008080E000 141C000000000000 2020203000000000 00000000380C0000 C0C0C00000000000 000000C040600000 0000020206020000 
