000000000060E000 00000002020E0000 141C000000000000 0000C08080800000 000000380C000000 E0E0000000000000 0000004070100000 00001E0400000000 
000000000060E000 00000E0202000000 141C000000000000 0000C08080800000 0000000C38000000 E0E0000000000000 0000107040000000 00000000041E0000 
00000000060E0000 00008080E0000000 0060406000000000 F080000000000000 0404060200000000 0000000000E0E000 0018080C00000000 0000101018100000 
00000000060E0000 00001C1010000000 141C000000000000 C080808000000000 2060404000000000 00000000C0C0C000 0000020E08000000 0000002020302000 
00000000060E0000 E080800000000000 141C000000000000 00001E1000000000 0000000E18000000 00000000C0C0C000 006040C000000000 0000002020302000 
000000060E000000 E080800000000000 141C000000000000 00000000101E0000 00000030E0000000 0000000000E0E000 006040C000000000 00001E0800000000 
0000183800000000 000004041C000000 141C000000000000 0000020202060000 0000000000386000 E0E0000000000000 0000C04060000000 0000008080C08000 
3070000000000000 00000002020E0000 C080C00000000000 000000C080808000 040C080800000000 0000000060606000 000006040C000000 0000103010100000 
0000000000C0E000 E080800000000000 141C000000000000 00001E0200000000 00000000E0300000 000000000E0E0000 006040C000000000 0000003C10000000 
0000000000C0E000 E080800000000000 141C000000000000 0000020202060000 000000000C380000 00001C1C00000000 006040C000000000 00000020F0000000 
0000000E06000000 E080800000000000 141C000000000000 00001E1000000000 00000000180E0000 00000000C0C0C000 006040C000000000 0000002020302000 
0000003818000000 00001C0404000000 141C000000000000 0000020202060000 0000000000386000 E0E0000000000000 0000C04060000000 0000008080C08000 
7030000000000000 00000002020E0000 0000507000000000 00000000F0100000 040C080800000000 0000000000E0E000 000006040C000000 80C0808000000000 
00000000E0C00000 E080800000000000 141C000000000000 00001E0200000000 000000000030E000 000000000E0E0000 006040C000000000 0000003C10000000 
040C0C0000000000 000000002020E000 E0A0000000000000 1010101800000000 0040C08080000000 000000001C1C0000 0000006040C00000 0000020602020000 
000000080C0C0000 E080800000000000 141C000000000000 00000000F0100000 00001C3000000000 0000000000E0E000 006040C000000000 0000020602020000 
0080C0C000000000 00000002020E0000 0030103000000000 00000000F0100000 040C080800000000 0000000000E0E000 000006040C000000 F040000000000000 
1018180000000000 E080800000000000 0000000A0E000000 00000000101E0000 00000030E0000000 0000000000E0E000 006040C000000000 0404060400000000 
1018180000000000 E080800000000000 00000000C080C000 00000000021E0000 0404060200000000 0000001C1C000000 006040C000000000 0000002020602000 
0000000060602000 00000002020E0000 141C000000000000 000000808080C000 0000C07000000000 E0E0000000000000 000000041C100000 00001E0800000000 
00000C0C04000000 E080800000000000 141C000000000000 0000020202060000 0000101018080000 00000000C0C0C000 006040C000000000 0000002020302000 
0000C0C040000000 000000008080E000 141C000000000000 00000000021E0000 000000061C000000 E0E0000000000000 0000003020600000 00001E0800000000 
0018180800000000 00008080E0000000 000000141C000000 00000000021E0000 0404060200000000 0000000000E0E000 00C0406000000000 F020000000000000 
00C0C04000000000 000010101C000000 000000A0E0000000 00000000021E0000 0404060200000000 0000000000E0E000 0018080C00000000 F020000000000000 
00000000C0C08000 00E0808000000000 0000507000000000 F010000000000000 040C080800000000 0000060606000000 0000000030206000 00000000081E0000 
00000000C0C08000 7040400000000000 0030103000000000 808080C000000000 040C080800000000 0000060606000000 0000000030206000 00000000081E0000 
0000060604000000 E080800000000000 000000000A0E0000 000000C080808000 040C080800000000 0000000060606000 1070400000000000 0000103010100000 
0000181810000000 00000002020E0000 141C000000000000 C080808000000000 2060404000000000 00000000C0C0C000 000006040C000000 0000002020302000 
0000181810000000 E080800000000000 141C000000000000 0000020202060000 000004040C080000 00000000C0C0C000 006040C000000000 0000002020302000 
6060400000000000 00000002020E0000 141C000000000000 808080C000000000 00000030E0000000 0000000000E0E000 000000041C100000 00001E0800000000 
6060400000000000 00000E0202000000 141C000000000000 808080C000000000 00000000180E0000 00000000C0C0C000 0000101C04000000 0000002020302000 
6060400000000000 00000E0202000000 141C000000000000 808080C000000000 0000101018080000 00000000C0C0C000 0000000C04060000 0000002020302000 
