00000000060E0000 0000001010700000 00000000C080C000 F080000000000000 0404060200000000 0070700000000000 000080E020000000 0008080C08000000 
00000000060E0000 00000000E0808000 0028380000000000 F010000000000000 0404060200000000 00C0C0C000000000 0000000010704000 0000003C08000000 
00000000060E0000 7040400000000000 00000000C080C000 808080C000000000 0000000018700000 00000E0E00000000 041C100000000000 0020203020000000 
0000000018380000 00001C0404000000 141C000000000000 0000020202060000 0000603800000000 E0E0000000000000 000000006040C000 000080C080800000 
000000060E000000 000000E020200000 00A0E00000000000 00000000101E0000 00000E1800000000 00000000C0C0C000 041C100000000000 F040000000000000 
0000003070000000 00000002020E0000 141C000000000000 0000780800000000 000000000070C000 E0E0000000000000 000006040C000000 000080C080800000 
00000C1C00000000 000002020E000000 141C000000000000 00000000101E0000 0000406020200000 00000000C0C0C000 6020300000000000 80C0808000000000 
0018380000000000 00000000E0808000 000000000A0E0000 0000003C04000000 0404060200000000 00C0C0C000000000 0000000010704000 F020000000000000 
000000181C000000 00000002020E0000 0028380000000000 F010000000000000 000000000070C000 00C0C0C000000000 00000020E0800000 0404060400000000 
000000181C000000 00000002020E0000 141C000000000000 808080C000000000 000000000070C000 6060600000000000 00000020E0800000 00001E0400000000 
0000181C00000000 E080800000000000 0000602060000000 000000C080808000 0404060200000000 000000000E0E0000 0000000010704000 1078000000000000 
0000C0E000000000 04041C0000000000 00000000C080C000 0000020202060000 7018000000000000 0000001C1C000000 80E0200000000000 0000000020780000 
0060700000000000 00000002020E0000 0018081800000000 F080000000000000 000000001C300000 00000000C0C0C000 000080E020000000 0404060400000000 
3038000000000000 4040700000000000 00000000C080C000 808080C000000000 04040C0800000000 000000001C1C0000 0000003020600000 0000020602020000 
000000000E060000 000000E020200000 00A0E00000000000 0000101010180000 0404060200000000 00000000C0C0C000 0018080C00000000 F040000000000000 
000000000E060000 7040400000000000 00000000C080C000 808080C000000000 0020203010000000 00000E0E00000000 041C100000000000 0000000020780000 
0000001C0C000000 00000E0202000000 141C000000000000 00000000101E0000 0000406020200000 00000000C0C0C000 6020300000000000 80C0808000000000 
0000007030000000 00000002020E0000 141C000000000000 0000780800000000 000000000070C000 E0E0000000000000 000006040C000000 00008080C0800000 
00000E0600000000 000000E020200000 00A0E00000000000 00000000101E0000 000000180E000000 00000000C0C0C000 041C100000000000 F040000000000000 
0000703000000000 00000E0202000000 141C000000000000 0000000078080000 000000000070C000 E0E0000000000000 0000000C04060000 000080C080800000 
E060000000000000 0000004040700000 141C000000000000 000000808080C000 00000000380C0000 00001C1C00000000 0080E02000000000 0000020206020000 
0000000000E0C000 00000002020E0000 141C000000000000 808080C000000000 00000030E0000000 6060600000000000 000000041C100000 00001E0800000000 
0000000000E0C000 000010101C000000 00A0E00000000000 00000000021E0000 0404060200000000 000000E0E0000000 0018080C00000000 F040000000000000 
0000000000E0C000 00008080E0000000 141C000000000000 0000060202020000 80C0404000000000 000000001C1C0000 6020300000000000 0000083C00000000 
0000000000E0C000 00000E0808000000 00A0E00000000000 000000F080000000 0000000070180000 0000000606060000 041C100000000000 F040000000000000 
000000001C180000 E020200000000000 00000000C080C000 0000020202060000 1010180800000000 00C0C0C000000000 0000003020600000 040C040400000000 
0000003830000000 00000002020E0000 141C000000000000 0000784000000000 000000000070C000 E0E0000000000000 000006040C000000 00008080C0800000 
0000E0C000000000 000002020E000000 00000000C080C000 00000000101E0000 1010180800000000 E0E0000000000000 0000003020600000 040C040400000000 
0038300000000000 7040400000000000 00000000C080C000 808080C000000000 04040C0800000000 000000001C1C0000 0000003020600000 0000020602020000 
7060000000000000 8080E00000000000 0000006040600000 000000808080C000 0404060200000000 000000000E0E0000 0018080C00000000 0000101030100000 
E0C0000000000000 00000002020E0000 141C000000000000 000000808080C000 00000E1800000000 0000006060600000 000000041C100000 0020F00000000000 
E0C0000000000000 00000002020E0000 141C000000000000 000000808080C000 0000081810100000 0000006060600000 000006040C000000 0020F00000000000 
E0C0000000000000 0000004040700000 141C000000000000 000000808080C000 00000E1800000000 0000000606060000 0000002038080000 0020F00000000000 
E0C0000000000000 0000004040700000 141C000000000000 000000808080C000 00000000180E0000 0000060606000000 0000083820000000 0020F00000000000 
E0C0000000000000 00000000E0808000 141C000000000000 0000000000784000 0000007018000000 0000000606060000 0020E08000000000 00001E0800000000 
0000000206060000 1010700000000000 00000000C080C000 0000000008780000 0008081810000000 E0E0000000000000 000080E020000000 0404060400000000 
0000000206060000 0000701010000000 00000000C080C000 0000000008780000 1018080800000000 E0E0000000000000 000080E020000000 0404060400000000 
0000000206060000 E080800000000000 00000000C080C000 0000000008780000 1018080800000000 0000303030000000 006040C000000000 0404060400000000 
000000040C0C0000 1010700000000000 0000003010300000 0000060202020000 040C080800000000 E0E0000000000000 000000006040C000 000080C080800000 
000000040C0C0000 000000E020200000 00A0E00000000000 0000060202020000 0000081810100000 00000000C0C0C000 041C100000000000 F040000000000000 
0000002060600000 00000002020E0000 141C000000000000 000000808080C000 00000E1800000000 E0E0000000000000 000000041C100000 0000F04000000000 
0000002060600000 00000002020E0000 141C000000000000 000000808080C000 0000081810100000 E0E0000000000000 000006040C000000 0000F04000000000 
0000081818000000 00000004041C0000 141C000000000000 0000060202020000 0000406020200000 00000000C0C0C000 6020300000000000 80C0808000000000 
0000103030000000 0000004040700000 00A0E00000000000 000000808080C000 0404060200000000 000000000E0E0000 0018080C00000000 F040000000000000 
0040C0C000000000 0000001010700000 00000000C080C000 F080000000000000 0404060200000000 000000000E0E0000 0018080C00000000 0020302020000000 
0040C0C000000000 00000000E0808000 0038280000000000 F080000000000000 0404060200000000 000000000E0E0000 0000000010704000 0000103C00000000 
0040C0C000000000 00000E0808000000 00000000C080C000 F080000000000000 0020203010000000 0000000606060000 041C100000000000 0000000020780000 
040C0C0000000000 0000001010700000 0000000C080C0000 000000808080C000 1010302000000000 E0E0000000000000 0000C04060000000 0000020206020000 
040C0C0000000000 0000001010700000 0000000C080C0000 000000808080C000 8080C04000000000 7070000000000000 0000302060000000 0000020206020000 
040C0C0000000000 0010101C00000000 00C080C000000000 0000020202060000 000000000C380000 00000000C0C0C000 0000602030000000 F020000000000000 
