00000000060E0000 E020200000000000 141C000000000000 0000808080C00000 000000000030E000 00000E0E00000000 00C0406000000000 0000001078000000 
000000000C1C0000 0000E08080000000 141C000000000000 0000060202020000 0000004040C08000 E0E0000000000000 0000000030206000 0000083C00000000 
00000C1C00000000 0000E08080000000 141C000000000000 0000020202060000 000000000030E000 E0E0000000000000 0000006040C00000 000000003C080000 
0060E00000000000 000000008080E000 0000000050700000 F080000000000000 0404060200000000 000000000E0E0000 0018080C00000000 000000F020000000 
0060E00000000000 0000007010100000 0000000060206000 F080000000000000 0404060200000000 000000000E0E0000 0018080C00000000 0000008080C08000 
3070000000000000 00000002020E0000 C080C00000000000 00000000F0100000 040C080800000000 0000000000E0E000 000006040C000000 000020F000000000 
3070000000000000 00000004041C0000 C080C00000000000 0000060202020000 040C080800000000 0000000000E0E000 000020E080000000 0000001078000000 
0000000000C0E000 000002020E000000 0000283800000000 00000000101E0000 8080C04000000000 7070000000000000 00000080E0200000 040C040400000000 
0000000000C0E000 E020200000000000 141C000000000000 00000000043C0000 00000030E0000000 00C0C0C000000000 00000C0818000000 0000020602020000 
0000000060700000 000000008080E000 00A0E00000000000 000000F010000000 0404060200000000 000000000E0E0000 0018080C00000000 F040000000000000 
000000C0E0000000 0038080800000000 000000141C000000 00000000021E0000 0404060200000000 0000000000E0E000 0080E02000000000 F040000000000000 
00000E0600000000 000000008080E000 141C000000000000 00000000021E0000 0000E03000000000 E0E0000000000000 000000C040600000 000000083C000000 
0000000000706000 00000000E0808000 00A0E00000000000 000000F010000000 0404060200000000 000000000E0E0000 0018080C00000000 F040000000000000 
000000001C180000 000000002020E000 0000000602060000 043C000000000000 00000E1800000000 000000C0C0C00000 0080E02000000000 F040000000000000 
E0C0000000000000 00000E0808000000 141C000000000000 000000808080C000 0020203010000000 0000000606060000 0000C04060000000 0000000000782000 
0000000020606000 00000002020E0000 141C000000000000 2020206000000000 00000E1800000000 C0C0C00000000000 000000041C100000 00000080C0808000 
0000000020606000 00000002020E0000 141C000000000000 2020206000000000 0000081810100000 C0C0C00000000000 000006040C000000 00000080C0808000 
0000000206060000 000000002020E000 0038280000000000 F080000000000000 0040C08080000000 0000001818180000 0000006040C00000 0404060400000000 
0000000206060000 0000003808080000 0038280000000000 F080000000000000 0040C08080000000 0000000000E0E000 0000004070100000 0404060400000000 
0040C0C000000000 000000008080E000 0000000050700000 F080000000000000 0404060200000000 000000000E0E0000 0018080C00000000 0020203020000000 
040C0C0000000000 000000002020E000 00000000141C0000 F080000000000000 0070C00000000000 000000C0C0C00000 0000203808000000 0000020602020000 
040C0C0000000000 000000E080800000 0000000C080C0000 F010000000000000 000000000030E000 00E0E00000000000 0000001070400000 0000020206020000 
040C0C0000000000 000000E080800000 0000000C080C0000 F010000000000000 0000001010302000 00E0E00000000000 000000006040C000 0000020206020000 
040C0C0000000000 E080800000000000 0000000C080C0000 000000C080808000 0000203010100000 0000000060606000 1070400000000000 0000020206020000 
0000000080C0C000 00000002020E0000 141C000000000000 808080C000000000 00000E1800000000 6060600000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000002020E0000 141C000000000000 808080C000000000 0000081810100000 6060600000000000 000006040C000000 0000002060202000 
0000000080C0C000 0000404070000000 141C000000000000 6020202000000000 00000E1800000000 0000000606060000 0000000008382000 80C0808000000000 
0000000080C0C000 0000404070000000 141C000000000000 C080808000000000 00000E1800000000 0000000606060000 0000000008382000 2060202000000000 
0000000080C0C000 E080800000000000 141C000000000000 0020202030000000 00000E1800000000 0000000606060000 0000000008382000 004040C040000000 
0000000406060000 000000002020E000 00A0E00000000000 0018080808000000 0404060200000000 000000C0C0C00000 0000003010180000 F040000000000000 
00000080C0C00000 000000002020E000 00E0A00000000000 F010000000000000 040C080800000000 0000060606000000 0000407010000000 00000000081E0000 
0080C0C000000000 00000002020E0000 0030203000000000 00000000F0100000 040C080800000000 0000000000E0E000 000006040C000000 F040000000000000 
0000000060602000 0000007010100000 00A0E00000000000 000000808080C000 0404060200000000 000000000E0E0000 0018080C00000000 F040000000000000 
6060200000000000 00000002020E0000 141C000000000000 0000006020202000 00000E1800000000 00000000C0C0C000 000000041C100000 8080C08000000000 
6060200000000000 00000002020E0000 141C000000000000 0000006020202000 0000081810100000 00000000C0C0C000 000006040C000000 8080C08000000000 
0000000030302000 00000002020E0000 00E0A00000000000 F010000000000000 040C080800000000 00000000C0C0C000 000006040C000000 000040F000000000 
0000000030302000 0000007040400000 00A0E00000000000 000000808080C000 0404060200000000 000000000E0E0000 0018080C00000000 F040000000000000 
00000000C0C08000 7040400000000000 0030203000000000 808080C000000000 040C080800000000 0000060606000000 0000000030206000 00000000081E0000 
0000060604000000 000000002020E000 000000000A0E0000 043C000000000000 0000081810100000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000060604000000 E080800000000000 000000000A0E0000 00000000F0100000 040C080800000000 0000000000E0E000 1070400000000000 000020F000000000 
00000C0C08000000 000000008080E000 141C000000000000 2020203000000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020206020000 
0000C0C080000000 00E0202000000000 0000000000A0E000 F010000000000000 040C080800000000 0000060606000000 0000001070400000 00000000081E0000 
C0C0800000000000 00000002020E0000 141C000000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 2020602000000000 
C0C0800000000000 00000002020E0000 141C000000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 2020602000000000 
C0C0800000000000 00000002020E0000 0018081800000000 000000203C000000 000000000030E000 000000C0C0C00000 3020600000000000 0404060400000000 
C0C0800000000000 0000000070404000 141C000000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 2020602000000000 
C0C0800000000000 00000E0808000000 141C000000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 2020602000000000 
