00000000060E0000 E080800000000000 000000A0E0000000 0000301010100000 0404060200000000 0000000000E0E000 1070400000000000 0008080C08000000 
0000000000C0E000 00000002020E0000 0050700000000000 00808080C0000000 040C080800000000 0000003030300000 000006040C000000 F020000000000000 
0000000000C0E000 04041C0000000000 0000C080C0000000 00000000043C0000 7018000000000000 0000003838000000 80E0200000000000 0000020602020000 
0000000000C0E000 00008080E0000000 141C000000000000 0000020202060000 000000000C380000 E0E0000000000000 0000041C10000000 0000782000000000 
0000000000C0E000 00008080E0000000 141C000000000000 0000020202060000 000004040C080000 E0E0000000000000 0000001810300000 0000782000000000 
00000000181C0000 04041C0000000000 0000C080C0000000 0000003C20000000 7018000000000000 0000000000E0E000 80E0200000000000 0000020206020000 
00C0E00000000000 000010101C000000 000000A0E0000000 00000000021E0000 0404060200000000 0000000000E0E000 0018080C00000000 F020000000000000 
E060000000000000 0000101070000000 141C000000000000 0000020202060000 0000000000386000 00000C0C0C000000 0080E02000000000 0000008080C08000 
E060000000000000 00001C0404000000 141C000000000000 0000020202060000 0000000070180000 0000000000E0E000 0000203808000000 0080C08080000000 
000000001C180000 1010700000000000 0000000000A0E000 0000020202060000 00008080C0400000 E0E0000000000000 0000083820000000 040C040400000000 
00E0C00000000000 0000001C10100000 0000000060206000 F010000000000000 0404060200000000 000000000E0E0000 0008382000000000 0000008080C08000 
7060000000000000 000000008080E000 0000283800000000 0000020202060000 000004040C080000 0000000070700000 041C100000000000 8080C08000000000 
7060000000000000 8080E00000000000 0000000060206000 00000000021E0000 000000301C000000 00000E0E00000000 041C100000000000 0000008080C08000 
E0C0000000000000 00000002020E0000 141C000000000000 00000000F0100000 000000380C000000 0000000000E0E000 0020E08000000000 00001E0400000000 
E0C0000000000000 00000002020E0000 0000E0A000000000 00000000F0100000 040C080800000000 0000000000E0E000 000006040C000000 1030101000000000 
2060600000000000 00000002020E0000 141C000000000000 C080808000000000 00000030E0000000 0000000000E0E000 000000041C100000 00001E0800000000 
2060600000000000 00000E0202000000 141C000000000000 C080808000000000 00000000180E0000 00000000C0C0C000 0000101C04000000 0000002020302000 
2060600000000000 00000E0202000000 141C000000000000 C080808000000000 0000101018080000 00000000C0C0C000 0000000C04060000 0000002020302000 
0000000080C0C000 00000002020E0000 141C000000000000 0000F08000000000 00000E1800000000 E0E0000000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000002020E0000 141C000000000000 0000F08000000000 0000081810100000 E0E0000000000000 000006040C000000 0000002060202000 
00000080C0C00000 000000002020E000 00A0E00000000000 00000000021E0000 000000301C000000 00000E0E00000000 041C100000000000 F040000000000000 
0020303000000000 00000002020E0000 7050000000000000 00000000F0100000 040C080800000000 0000000000E0E000 000006040C000000 8080C08000000000 
0000000060602000 00000002020E0000 141C000000000000 000000808080C000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
0000000060602000 00000002020E0000 141C000000000000 000000808080C000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
0000000060602000 00000002020E0000 141C000000000000 000000808080C000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
0000000060602000 00000002020E0000 141C000000000000 000000808080C000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
0000000060602000 00000002020E0000 141C000000000000 000000808080C000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
0000003030100000 00000002020E0000 0050700000000000 00808080C0000000 040C080800000000 0000000000E0E000 000006040C000000 F020000000000000 
C0C0400000000000 000002020E000000 0000000000A0E000 00000000101E0000 00008080C0400000 3030300000000000 0000083820000000 040C040400000000 
0000000030302000 00000002020E0000 6020600000000000 1010103000000000 040C080800000000 00000000C0C0C000 000006040C000000 80C0808000000000 
00000000C0C08000 0070101000000000 0000E0A000000000 F080000000000000 040C080800000000 0000060606000000 0000000030206000 00000000081E0000 
0000060604000000 7010100000000000 000000000A0E0000 00000000F0100000 040C080800000000 0000000000E0E000 0060203000000000 8080C08000000000 
00C0C08000000000 000000008080E000 0000283800000000 0000020202060000 000004040C080000 0000000070700000 041C100000000000 F020000000000000 
