000000000060E000 E020200000000000 00C040C000000000 1810101000000000 04040C0800000000 000000001C1C0000 00000020E0800000 0000020602020000 
00000000060E0000 000000008080E000 0C040C0000000000 F010000000000000 00E0300000000000 0000000070700000 0000020E08000000 000040F000000000 
00000000060E0000 000000008080E000 0C040C0000000000 F010000000000000 00E0300000000000 0000003030300000 0000020E08000000 000040C040400000 
00000000060E0000 0000202038000000 0070500000000000 F080000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000081E00000000 
000000000C1C0000 000000008080E000 1C14000000000000 0000060202020000 0000001C30000000 E0E0000000000000 000000C040600000 0000782000000000 
000000000C1C0000 0040407000000000 E0A0000000000000 00000080F0000000 04040C0800000000 0000000000E0E000 1810300000000000 0000020602020000 
0000000030700000 000000008080E000 0030203000000000 F080000000000000 0000180E00000000 000000000E0E0000 0C04060000000000 004040C040000000 
0000003070000000 00000E0808000000 1C14000000000000 000000808080C000 80C0404000000000 0000000606060000 6020300000000000 0000000000782000 
000060E000000000 000000008080E000 000000000A0E0000 F080000000000000 0070180000000000 0000000070700000 0C04060000000000 0000001E04000000 
000060E000000000 000000008080E000 0000000602060000 0000000040780000 1010180800000000 E0E0000000000000 0C04060000000000 000000103C000000 
0000000000C0E000 1010700000000000 0000000602060000 000000F010000000 00000000E0300000 E0E0000000000000 0C04060000000000 000008080C080000 
0000000000C0E000 E020200000000000 00C040C000000000 1010103000000000 00000000E0300000 0000000606060000 0C04060000000000 0000080818080000 
0000607000000000 0000000E02020000 0000000060206000 F080000000000000 0070180000000000 000000001C1C0000 0C04060000000000 0000008080C08000 
0000001C0C000000 000000008080E000 1C14000000000000 0000060202020000 00000000301C0000 E0E0000000000000 000000C040600000 0000782000000000 
00000E0600000000 0000704040000000 1C14000000000000 00000000021E0000 000000380C000000 E0E0000000000000 0000000030206000 0000008080C08000 
0000703000000000 00000E0202000000 1C14000000000000 0000004078000000 0000000000386000 E0E0000000000000 0000000C04060000 0000008080C08000 
00E0600000000000 000000008080E000 0000000050700000 F010000000000000 0000180E00000000 000000000E0E0000 0C04060000000000 000000F020000000 
00E0600000000000 0000000E02020000 0000000060206000 F010000000000000 0000187000000000 000000001C1C0000 0C04060000000000 0000008080C08000 
00E0600000000000 0000007010100000 0000000060206000 F010000000000000 0000180E00000000 000000000E0E0000 0C04060000000000 0000008080C08000 
