00000000060E0000 000000002020E000 000000C040C00000 3C04000000000000 C070000000000000 00000E0E00000000 0080E02000000000 0000101018100000 
00000000060E0000 7040400000000000 0030203000000000 808080C000000000 0000180E00000000 0000000000E0E000 0C04060000000000 0000000078100000 
00000000060E0000 E080800000000000 0C040C0000000000 0000021E00000000 000030E000000000 0000000000E0E000 1070400000000000 0000000078100000 
00000000060E0000 E080800000000000 0C040C0000000000 0000021E00000000 1010302000000000 0000000000E0E000 006040C000000000 0000000078100000 
00000000060E0000 E080800000000000 1810180000000000 0000203C00000000 0404060200000000 0000000000E0E000 006040C000000000 0000000078100000 
000000000C1C0000 008080E000000000 00141C0000000000 3C20000000000000 0000001870000000 0000000000E0E000 C040600000000000 0000020602020000 
000000000C1C0000 E080800000000000 1C14000000000000 00003C2000000000 0000001870000000 0000000000E0E000 006040C000000000 0000020602020000 
3070000000000000 000000002020E000 0C040C0000000000 C080808000000000 0000701800000000 000000001C1C0000 0000006040C00000 0000020602020000 
0000000000C0E000 00000E0202000000 1C14000000000000 C080808000000000 2020301000000000 0000000038380000 0000000C04060000 0040406040000000 
0000000000C0E000 0000003820200000 00141C0000000000 3C20000000000000 008080C040000000 000000001C1C0000 C040600000000000 0000020602020000 
0000000000C0E000 E080800000000000 1C14000000000000 0000020202060000 000004040C080000 0000003030300000 0020380800000000 004040C040000000 
0000000000C0E000 E080800000000000 0C040C0000000000 0000020202060000 1030202000000000 0000000038380000 0000101C04000000 004040C040000000 
0000000000C0E000 E080800000000000 1810180000000000 00000000021E0000 0404060200000000 0000001C1C000000 006040C000000000 0000202060200000 
00000000181C0000 000000002020E000 000000C040C00000 3C04000000000000 C070000000000000 00001C1C00000000 0080E02000000000 0000020206020000 
00000000181C0000 1010700000000000 0000000000A0E000 0C04040400000000 000080C040400000 E0E0000000000000 0000083820000000 0000020206020000 
00000000181C0000 E080800000000000 1C14000000000000 00003C0400000000 0000003860000000 0000000000E0E000 006040C000000000 0000020206020000 
C0E0000000000000 0000E02020000000 000000C040C00000 3010101000000000 000000000030E000 0000000606060000 0C04060000000000 0000080818080000 
000000001C0C0000 1C04040000000000 000000C040C00000 0010F00000000000 000000000030E000 E0E0000000000000 0000083820000000 0000020602020000 
0000000038180000 00000E0202000000 1C14000000000000 C080808000000000 2020301000000000 0000000000E0E000 0000000C04060000 0040406040000000 
0000000038180000 E080800000000000 0C040C0000000000 0000020202060000 1030202000000000 0000000000E0E000 0000101C04000000 004040C040000000 
00000E0600000000 000000002020E000 000000C040C00000 3C04000000000000 C070000000000000 000000000E0E0000 0080E02000000000 0000101810100000 
00000E0600000000 0000404070000000 1C14000000000000 00000000021E0000 000000380C000000 0000000000E0E000 6020300000000000 80C0808000000000 
E060000000000000 000000002020E000 000000C040C00000 1810101000000000 04040C0800000000 000000001C1C0000 0080E02000000000 0000020602020000 
E060000000000000 1C10100000000000 0000001808180000 0000020202060000 000000C070000000 0000000000E0E000 0080E02000000000 00040C0404000000 
E060000000000000 1C10100000000000 0000001808180000 0000020202060000 008080C040000000 0000000000E0E000 0000602030000000 00040C0404000000 
000000001C180000 000000002020E000 0C040C0000000000 0000020202060000 0000301C00000000 7070000000000000 0000006040C00000 8080C08000000000 
0000001C18000000 00000E0202000000 1C14000000000000 C080808000000000 2060404000000000 0000000000E0E000 0000302060000000 00000000041E0000 
00000E0C00000000 00000002020E0000 1C14000000000000 0000F08000000000 000000000030E000 E0E0000000000000 0000006040C00000 000000103C000000 
00000E0C00000000 00000002020E0000 0030103000000000 3C04000000000000 008080C040000000 0000000000E0E000 C040600000000000 000000003C100000 
00001C1800000000 000000002020E000 000000C040C00000 3C04000000000000 C070000000000000 000000001C1C0000 0080E02000000000 0000020602020000 
0000000040C0C000 00000002020E0000 000000141C000000 808080C000000000 1010180800000000 6060600000000000 0C04060000000000 0000002020302000 
0000000040C0C000 008080E000000000 0050700000000000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 F020000000000000 
0000000040C0C000 00000E0202000000 1C14000000000000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002020302000 
0000000040C0C000 00000E0202000000 1C14000000000000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002020302000 
0000000040C0C000 7010100000000000 0060206000000000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 8080C08000000000 
0000000206060000 000000002020E000 000000C040C00000 3C04000000000000 C070000000000000 0000001818180000 0080E02000000000 00001E0400000000 
0000020606000000 00000008080E0000 000000C040C00000 0020202030000000 000000000030E000 C0C0C00000000000 00041C1000000000 3C10000000000000 
0000020606000000 00000008080E0000 0C040C0000000000 3010101000000000 4060202000000000 0000000000E0E000 0000004070100000 8080C08000000000 
