000000000060E000 E020200000000000 1C14000000000000 00001E0200000000 0000001C06000000 00C0C0C000000000 00000020E0800000 00000000081E0000 
000000000C1C0000 00008080E0000000 1C14000000000000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
000000000C1C0000 0000000E02020000 7050000000000000 808080C000000000 00000030E0000000 0000000000E0E000 0C04060000000000 0020780000000000 
000000000C1C0000 0000000E02020000 0000000060206000 F010000000000000 0000187000000000 00E0E00000000000 0C04060000000000 0000008080C08000 
000000000C1C0000 0000000E02020000 00C080C000000000 F010000000000000 00000030E0000000 0000000000E0E000 0C04060000000000 0020780000000000 
3070000000000000 000000008080E000 0000000602060000 C080808000000000 000000000C380000 0000383800000000 0C04060000000000 0000404060400000 
3070000000000000 0000382020000000 C080C00000000000 0C04040400000000 000000000030E000 000000C0C0C00000 00000018080C0000 0000020206020000 
0000000000C0E000 0000000808380000 7050000000000000 808080C000000000 00000030E0000000 0000000606060000 0C04060000000000 0020780000000000 
0000000000C0E000 0000000808380000 00C080C000000000 F010000000000000 00000030E0000000 0000000606060000 0C04060000000000 0020780000000000 
0000000000C0E000 002020E000000000 0000000602060000 3010101000000000 00000000E0300000 C0C0C00000000000 0C04060000000000 000008080C080000 
0000000000C0E000 1010700000000000 0000000602060000 000080F000000000 00000000E0300000 E0E0000000000000 0C04060000000000 000008080C080000 
0000000000C0E000 0040407000000000 0000000602060000 C080808000000000 00000000E0300000 3030300000000000 0C04060000000000 000008080C080000 
0000000000C0E000 8080E00000000000 0000000602060000 000010F000000000 00000000E0300000 7070000000000000 0C04060000000000 000008080C080000 
0000000000C0E000 0000003808080000 7050000000000000 808080C000000000 00000000E0300000 0000000606060000 0C04060000000000 0020780000000000 
0000000000C0E000 0000003808080000 00C080C000000000 F010000000000000 00000000E0300000 0000000606060000 0C04060000000000 0020780000000000 
0000000000C0E000 0070101000000000 0000000602060000 F080000000000000 00000000E0300000 0000E0E000000000 0C04060000000000 000008080C080000 
0000000000C0E000 7010100000000000 0C040C0000000000 00000000203C0000 000000380C000000 0000C0C0C0000000 80E0200000000000 0000020602020000 
0000000000C0E000 E020200000000000 0000000602060000 1010103000000000 00000000E0300000 00C0C0C000000000 0C04060000000000 000008080C080000 
0000000000C0E000 00000E0808000000 0030103000000000 3C04000000000000 0000000060380000 0000000606060000 C040600000000000 008080C080000000 
0000000000C0E000 00E0808000000000 0000000602060000 F010000000000000 00000000E0300000 0000707000000000 0C04060000000000 000008080C080000 
