00000000060E0000 8080E00000000000 0000000000A0E000 000000F080000000 0000180E00000000 7070000000000000 0C04060000000000 0000000078100000 
00000000060E0000 8080E00000000000 0C040C0000000000 000000808080C000 0000004060202000 7070000000000000 0000020E08000000 0000103010100000 
00000000060E0000 0070404000000000 0C040C0000000000 F080000000000000 000000000030E000 0000303030000000 0000020E08000000 00008080C0800000 
000000000C1C0000 000000002020E000 0000007050000000 0000C08080800000 04040C0800000000 E0E0000000000000 1810300000000000 0000020602020000 
000000000C1C0000 000000002020E000 1C14000000000000 0000060202020000 0000380C00000000 E0E0000000000000 0000407010000000 00008080C0800000 
000000000C1C0000 0000000E02020000 0000000000A0E000 00000010F0000000 0000386000000000 7070000000000000 0C04060000000000 8080C08000000000 
000000000C1C0000 0000000E02020000 0000000000A0E000 F010000000000000 0060380000000000 0000007070000000 0C04060000000000 0080C08080000000 
000000000C1C0000 0000000E02020000 00000000C080C000 808080C000000000 0000001030202000 7070000000000000 0C04060000000000 0000782000000000 
0000000018380000 000000008080E000 7050000000000000 808080C000000000 0000003860000000 0000000606060000 0C04060000000000 0020780000000000 
0000000018380000 000000008080E000 00C080C000000000 F010000000000000 0000003860000000 0000000606060000 0C04060000000000 0020780000000000 
0000003070000000 00000002020E0000 1C14000000000000 0000780800000000 000000000030E000 E0E0000000000000 000006040C000000 000080C080800000 
0030700000000000 008080E000000000 00000000C080C000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 F040000000000000 
000000181C000000 00000002020E0000 1C14000000000000 808080C000000000 000000000030E000 6060600000000000 00000020E0800000 00001E0400000000 
000000181C000000 00000002020E0000 1810180000000000 808080C000000000 000000000030E000 6060600000000000 00000020E0800000 0404060400000000 
000000181C000000 000000008080E000 0000000602060000 808080C000000000 0000000060380000 7070000000000000 0C04060000000000 0000782000000000 
000000181C000000 00000000E0808000 0000000602060000 808080C000000000 0000000000386000 7070000000000000 0C04060000000000 0000782000000000 
000000C0E0000000 8080E00000000000 0000000000A0E000 3C04000000000000 00000C3800000000 000000001C1C0000 4070100000000000 0000020602020000 
000000C0E0000000 1C04040000000000 0000000000A0E000 0010F00000000000 000008080C040000 E0E0000000000000 0000003010180000 0000020602020000 
