00000000060E0000 E080800000000000 1C14000000000000 0060404040000000 0000008080C04000 00000E0E00000000 0000301018000000 0000002020302000 
000000000C1C0000 8080E00000000000 0030103000000000 7840000000000000 04040C0800000000 000000C0C0C00000 0000000030206000 0000020602020000 
000000000C1C0000 0000704040000000 1C14000000000000 0000808080C00000 00000C3800000000 E0E0000000000000 0000000030206000 0000020602020000 
000000060E000000 E080800000000000 1C14000000000000 00000000101E0000 000040C080800000 0000000060606000 0060203000000000 00001E0800000000 
00000000181C0000 E080800000000000 0C040C0000000000 0000002020206000 0000301C00000000 000000C0C0C00000 1070400000000000 0000020206020000 
00000000181C0000 E080800000000000 1810180000000000 0404040C00000000 000040C080800000 0000000060606000 0060203000000000 0000020206020000 
0000303800000000 E080800000000000 0C040C0000000000 000000003C040000 0000000000386000 000000C0C0C00000 1070400000000000 0000020602020000 
0000000000E06000 00000002020E0000 1C14000000000000 808080C000000000 00000030E0000000 6060600000000000 000000041C100000 00001E0800000000 
0000000000E06000 00008080E0000000 1C14000000000000 0000060202020000 80C0404000000000 000000001C1C0000 6020300000000000 0000083C00000000 
0000000000E06000 8080E00000000000 0000000E0A000000 00000080F0000000 0000187000000000 7070000000000000 0C04060000000000 00000000041E0000 
0000000000E06000 0000000E02020000 7050000000000000 808080C000000000 00000030E0000000 000000001C1C0000 0C04060000000000 0020780000000000 
0000000000E06000 0000000E02020000 00C080C000000000 F010000000000000 00000030E0000000 000000001C1C0000 0C04060000000000 0020780000000000 
0000000000E06000 0070101000000000 0000000602060000 F080000000000000 0000202030100000 0000C0C0C0000000 0C04060000000000 000008080C080000 
0000000000E06000 00000E0808000000 0030103000000000 3C04000000000000 0000000070180000 0000000606060000 C040600000000000 008080C080000000 
0000000000E06000 0000E08080000000 0000000E0A000000 F080000000000000 0070180000000000 0000007070000000 0C04060000000000 00000000041E0000 
00000E0600000000 0000701010000000 1C14000000000000 00000000003C2000 0000002060404000 E0E0000000000000 000000080E020000 000080C080800000 
00001C0C00000000 0000E08080000000 1C14000000000000 0000020202060000 0000000000386000 E0E0000000000000 0000006040C00000 000000103C000000 
0000381800000000 1C04040000000000 0000000060206000 0000808080C00000 E030000000000000 000000001C1C0000 00C0406000000000 0000020602020000 
