00000000060E0000 8080E00000000000 0000000000E0A000 000000F080000000 0000180E00000000 7070000000000000 0C04060000000000 0000000078100000 
000000000C1C0000 0000000E02020000 0000000000E0A000 00000010F0000000 0000386000000000 7070000000000000 0C04060000000000 8080C08000000000 
000000000C1C0000 0000000E02020000 0000000000E0A000 F010000000000000 0060380000000000 0000007070000000 0C04060000000000 0080C08080000000 
000000181C000000 00000000E0808000 0000000602060000 F080000000000000 0070180000000000 0000E0E000000000 0C04060000000000 0000000000782000 
0000003038000000 00000E0202000000 1C14000000000000 0000F08000000000 00000040C0808000 E0E0000000000000 0000000C04060000 0000000000782000 
000000C0E0000000 8080E00000000000 0000000000E0A000 3C04000000000000 00000C3800000000 000000001C1C0000 4070100000000000 0000020602020000 
000000C0E0000000 1C04040000000000 0000000000E0A000 0010F00000000000 000008080C040000 E0E0000000000000 0000003010180000 0000020602020000 
0000C0E000000000 00000000E0808000 000000141C000000 0000020202060000 04040C0800000000 E0E0000000000000 1810300000000000 0000000000782000 
0000C0E000000000 00000000E0808000 1C14000000000000 0000060202020000 0000380C00000000 E0E0000000000000 000000101C040000 0000000000782000 
0000C0E000000000 00000000E0808000 1C14000000000000 0000060202020000 0000080C04040000 E0E0000000000000 0000301018000000 0000000000782000 
0060700000000000 E080800000000000 1C14000000000000 0000020202060000 0000004060202000 00000C0C0C000000 0000003010180000 0000008080C08000 
0060700000000000 E080800000000000 1C14000000000000 0000060202020000 0000080C04040000 0000007070000000 0000000008382000 0000008080C08000 
C0E0000000000000 0000080838000000 0000E0A000000000 3010101000000000 00000040C0808000 0000000606060000 0C04060000000000 0000000000782000 
C0E0000000000000 00008080E0000000 0000000000E0A000 3C04000000000000 00000C3800000000 000000001C1C0000 0010704000000000 0000020602020000 
000000000E060000 1C04040000000000 00000A0E00000000 0010F00000000000 0000004060202000 E0E0000000000000 0000003010180000 0000008080C08000 
0000000E06000000 8080E00000000000 0000000000E0A000 00000080F0000000 0000187000000000 7070000000000000 0C04060000000000 00000000081E0000 
