000000000060E000 E020200000000000 1C14000000000000 0000101010180000 000008080C040000 00C0C0C000000000 00000020E0800000 0000020602020000 
00000000060E0000 000000002020E000 00000A0E00000000 3C04000000000000 C070000000000000 000000C0C0C00000 0080E02000000000 0000101018100000 
00000000060E0000 000000008080E000 C080C00000000000 3C04000000000000 0070180000000000 0000000070700000 0000020E08000000 000020F000000000 
00000000060E0000 E080800000000000 1C14000000000000 00000000F0100000 0060380000000000 0000000000E0E000 0000020E08000000 000040F000000000 
0000000000C0E000 E080800000000000 1C14000000000000 0000407800000000 0060380000000000 000000001C1C0000 00000080E0200000 0000020602020000 
0000000000C0E000 E080800000000000 1C14000000000000 0000101010180000 000008080C040000 0060606000000000 00000080E0200000 0000020602020000 
00000000181C0000 E080800000000000 1C14000000000000 0000003020202000 0000380C00000000 00000000C0C0C000 006040C000000000 0000020206020000 
0000003038000000 E080800000000000 1C14000000000000 00000000003C2000 0000380C00000000 00000000C0C0C000 006040C000000000 0000020206020000 
0000181C00000000 0000E08080000000 1C14000000000000 0000020202060000 000000000030E000 E0E0000000000000 0000006040C00000 000000003C080000 
0030380000000000 000000E080800000 0000000C080C0000 3C04000000000000 000000000030E000 C0C0C00000000000 0000001070400000 0000020206020000 
0030380000000000 000000E080800000 0000000C080C0000 3C04000000000000 0000001010302000 C0C0C00000000000 000000006040C000 0000020206020000 
0060700000000000 E080800000000000 1C14000000000000 000000808080C000 0000004040602000 000000001C1C0000 0000083820000000 0000020602020000 
0060700000000000 E080800000000000 1C14000000000000 000000C080808000 000008080C040000 0000000060606000 0000003010180000 0000020602020000 
000000000E060000 0000101070000000 00000A0E00000000 3C04000000000000 0000000000386000 C0C0C00000000000 0030206000000000 0000008080C08000 
000000000E060000 8080E00000000000 00000A0E00000000 3C04000000000000 0000000000386000 0000007070000000 4070100000000000 0000008080C08000 
000000001C0C0000 0000704040000000 1C14000000000000 0000808080C00000 000000000030E000 E0E0000000000000 0000083820000000 0000020602020000 
0070300000000000 000000002020E000 C080C00000000000 3C04000000000000 000008080C040000 000000C0C0C00000 0000003010180000 0000020602020000 
E060000000000000 000000002020E000 1C14000000000000 0080F00000000000 000008080C040000 000000C0C0C00000 0000003010180000 0000020602020000 
E060000000000000 000000002020E000 1C14000000000000 0000101010180000 000008080C040000 000000C0C0C00000 0080E02000000000 0000020602020000 
E060000000000000 000000008080E000 1C14000000000000 0000780800000000 008080C040000000 000000001C1C0000 0000003020600000 0000020602020000 
000000001C180000 00008080E0000000 1C14000000000000 0000020202060000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
0000383000000000 E080800000000000 1C14000000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 006040C000000000 0000020206020000 
E0C0000000000000 000000008080E000 1C14000000000000 0000101010180000 000008080C040000 0000006060600000 0020E08000000000 0000020602020000 
0000000040C0C000 E080800000000000 1C14000000000000 0000003020202000 004040C080000000 000000001C1C0000 0020380800000000 0000020602020000 
0000001030300000 000000008080E000 00000A0E00000000 3C04000000000000 0000206040400000 000000000E0E0000 4070100000000000 8080C08000000000 
00000040C0C00000 000000002020E000 00000A0E00000000 3C04000000000000 0000203010100000 000000000E0E0000 4070100000000000 8080C08000000000 
00000040C0C00000 000000002020E000 1C14000000000000 0000F08000000000 000008080C040000 E0E0000000000000 0000003010180000 0000020602020000 
0000004060600000 000000008080E000 00000A0E00000000 3C04000000000000 0000203010100000 000000000E0E0000 4070100000000000 8080C08000000000 
0000004060600000 000000008080E000 1C14000000000000 0000F08000000000 000008080C040000 E0E0000000000000 0000003010180000 0000020602020000 
00000080C0C00000 000000002020E000 0000283800000000 3C04000000000000 8080C04000000000 000000001C1C0000 4070100000000000 0000020602020000 
0000181808000000 000000002020E000 00000000141C0000 3C04000000000000 C070000000000000 000000C0C0C00000 0080E02000000000 0000020602020000 
0000181808000000 000000008080E000 1C14000000000000 00000000043C0000 000080C040400000 E0E0000000000000 0000602030000000 0000020602020000 
00000000C0C08000 E080800000000000 1C14000000000000 000000003C040000 0000000000386000 0000383800000000 006040C000000000 0000020602020000 
