000000000060E000 8080E00000000000 0000000E0A000000 00000000F0800000 0000187000000000 7070000000000000 0C04060000000000 00000000041E0000 
00000000060E0000 E080800000000000 0C040C0000000000 00404040C0000000 1030202000000000 0000000000E0E000 0000020E08000000 0000101030100000 
00000000060E0000 E080800000000000 0C040C0000000000 00404040C0000000 0000202030100000 0000000000E0E000 0000020E08000000 1030101000000000 
000000000C1C0000 0000000E02020000 0000000000A0E000 F010000000000000 0000187000000000 00E0E00000000000 0C04060000000000 00000000F0400000 
000000000C1C0000 E080800000000000 0060406000000000 00000010F0000000 04040C0800000000 0000000000E0E000 1810300000000000 0000020602020000 
0000000030700000 000000008080E000 0000000602060000 3010101000000000 0020206040000000 C0C0C00000000000 0C04060000000000 000008080C080000 
0000000030700000 000000008080E000 0030203000000000 F080000000000000 0000180E00000000 000000000E0E0000 0C04060000000000 0040C04040000000 
0000000030700000 000000008080E000 0030203000000000 0000180808080000 0080C04040000000 0000000606060000 0C04060000000000 F040000000000000 
0000307000000000 0000080838000000 00000000C080C000 F080000000000000 0070C00000000000 0000000606060000 0C04060000000000 0000000000782000 
0000307000000000 000000008080E000 0000000602060000 F080000000000000 0070C00000000000 0000000070700000 0C04060000000000 000008080C080000 
0000307000000000 E080800000000000 0C040C0000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 1070400000000000 0000020206020000 
0060E00000000000 000000008080E000 0000007050000000 F080000000000000 0010180808000000 0000000606060000 0C04060000000000 0000000020780000 
3070000000000000 000000008080E000 C080C00000000000 0C04040400000000 0000386000000000 0000000070700000 00000018080C0000 0000020206020000 
3070000000000000 0000000E02020000 C080C00000000000 00000000003C2000 0000386000000000 00000000C0C0C000 0C04060000000000 000000103C000000 
3070000000000000 0000000038202000 C080C00000000000 00000000021E0000 0000386000000000 00000000C0C0C000 0C04060000000000 0000001E04000000 
3070000000000000 0000000038202000 C080C00000000000 0000001E02000000 0000386000000000 00000000C0C0C000 0C04060000000000 00000000041E0000 
0000000000C0E000 00000002020E0000 000000141C000000 3C04000000000000 00000000E0300000 C0C0C00000000000 0030206000000000 00001E0800000000 
0000000000C0E000 00002020E0000000 0000000602060000 0000101010300000 8080C04000000000 7070000000000000 0C04060000000000 000008080C080000 
0000000000C0E000 0000000E02020000 0000C040C0000000 F080000000000000 0070180000000000 000000001C1C0000 0C04060000000000 0000203020200000 
0000000000C0E000 00001C1010000000 0000000C080C0000 3C04000000000000 00000000E0300000 C0C0C00000000000 0030206000000000 0000020206020000 
00000000181C0000 E080800000000000 0C040C0000000000 0000006020202000 0000301C00000000 00000000C0C0C000 1070400000000000 0000020206020000 
000000000E060000 000000008080E000 0000007050000000 F010000000000000 0000180E00000000 00E0E00000000000 0C04060000000000 0000000020780000 
000000000E060000 000000008080E000 0C040C0000000000 0000021E00000000 1010302000000000 E0E0000000000000 0000C04060000000 0000000010780000 
000000000E060000 000000008080E000 0C040C0000000000 0000021E00000000 8080C04000000000 7070000000000000 0000302060000000 0000000010780000 
000000000E060000 000000008080E000 0000302030000000 0000000040780000 8080C04000000000 7070000000000000 0C04060000000000 0000081E00000000 
000000000E060000 000000008080E000 1810180000000000 0000203C00000000 0404060200000000 E0E0000000000000 0000C04060000000 0000000010780000 
000000000E060000 0000382020000000 00000000C080C000 0000001E10000000 8080C04000000000 7070000000000000 0C04060000000000 0000000000782000 
