000000000060E000 000002020E000000 0C040C0000000000 00000000101E0000 0000301C00000000 7070000000000000 00000020E0800000 8080C08000000000 
000000000060E000 7010100000000000 0C040C0000000000 0000C08080800000 0000003860000000 000000001C1C0000 80E0200000000000 0000020602020000 
000000000060E000 00E0808000000000 0C040C0000000000 F010000000000000 0000701800000000 000000001C1C0000 00000020E0800000 0000020602020000 
00000000060E0000 000000008080E000 0000E0A000000000 F080000000000000 0070180000000000 0000000070700000 0C04060000000000 0000001E08000000 
00000000060E0000 000000008080E000 0C040C0000000000 0000021E00000000 0000000018700000 7070000000000000 0000302060000000 8080C08000000000 
00000000060E0000 000000008080E000 0C040C0000000000 0000101010300000 0000202060400000 7070000000000000 0000020E08000000 8080C08000000000 
00000000060E0000 000000008080E000 0C040C0000000000 3010101000000000 4060202000000000 0000000070700000 0000020E08000000 8080C08000000000 
00000000060E0000 1C04040000000000 0000602060000000 0000808080C00000 000000000030E000 E0E0000000000000 0000020E08000000 0010181010000000 
00000000060E0000 7010100000000000 0C040C0000000000 0060202020000000 0000001010302000 00000000C0C0C000 0000020E08000000 8080C08000000000 
0000000018380000 000000008080E000 0C040C0000000000 0000020202060000 0000202060400000 7070000000000000 0000101C04000000 8080C08000000000 
0000000C1C000000 00000002020E0000 0000602060000000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 1010181000000000 
0000003070000000 1010700000000000 0000000602060000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 000008080C080000 
0000003070000000 000000008080E000 6020600000000000 0000000008780000 1010180800000000 0000000606060000 0C04060000000000 80C0808000000000 
0000003070000000 0000E08080000000 0000000E0A000000 F080000000000000 0070180000000000 0000000000E0E000 0C04060000000000 00000000041E0000 
0000183800000000 8080E00000000000 0000000060206000 00000000021E0000 000000061C000000 7070000000000000 0C04060000000000 0000008080C08000 
0000000000C0E000 00008080E0000000 1C14000000000000 0000020202060000 000000000C380000 E0E0000000000000 0000041C10000000 0000782000000000 
0000000000C0E000 00008080E0000000 1C14000000000000 0000020202060000 000004040C080000 E0E0000000000000 0000001810300000 0000782000000000 
0000000000C0E000 8080E00000000000 0030103000000000 7840000000000000 04040C0800000000 000000001C1C0000 00000080E0200000 0000020602020000 
0000000000C0E000 0000000E02020000 0000C080C0000000 F080000000000000 0070180000000000 000000001C1C0000 0C04060000000000 0000203020200000 
0000000000C0E000 0070101000000000 0000E0A000000000 F080000000000000 00000000E0300000 0000000606060000 0C04060000000000 0000080818080000 
0000000000C0E000 1C04040000000000 00000000141C0000 2020203000000000 0010180808000000 C0C0C00000000000 00000080E0200000 0000020602020000 
0000000000C0E000 1C10100000000000 00000000141C0000 2020203000000000 00040C0808000000 C0C0C00000000000 00000080E0200000 0000020602020000 
00000000181C0000 1010700000000000 0000000000A0E000 0C04040400000000 00008080C0400000 E0E0000000000000 0000083820000000 0000020206020000 
0000000060700000 000000008080E000 0000283800000000 3C04000000000000 00000000180E0000 0000060606000000 4070100000000000 8080C08000000000 
0000000060700000 000000008080E000 7050000000000000 0000180808080000 0020203010000000 0000000606060000 0C04060000000000 8080C08000000000 
0000003038000000 000000008080E000 6020600000000000 0000000040780000 1010180800000000 0000000606060000 0C04060000000000 80C0808000000000 
000000001C0C0000 0000000E02020000 0000602060000000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 1010181000000000 
E060000000000000 0000101070000000 1C14000000000000 0000020202060000 0000000000386000 00000C0C0C000000 0080E02000000000 0000008080C08000 
E060000000000000 00001C0404000000 1C14000000000000 0000020202060000 0000000070180000 0000000000E0E000 0000203808000000 0080C08080000000 
0000000000706000 00000000E0808000 0000283800000000 3C04000000000000 00000000180E0000 0000060606000000 4070100000000000 8080C08000000000 
0000000000706000 00000000E0808000 7050000000000000 0000180808080000 0020203010000000 0000000606060000 0C04060000000000 8080C08000000000 
000000001C180000 00002020E0000000 0000000602060000 3C04000000000000 00000E1800000000 0000000000E0E000 4070100000000000 8080C08000000000 
00000000E0C00000 0070101000000000 0000E0A000000000 F080000000000000 000000000030E000 0000000606060000 0C04060000000000 0000080818080000 
0000383000000000 0000000E02020000 0000000060206000 F080000000000000 0070C00000000000 000000001C1C0000 0C04060000000000 0000008080C08000 
E0C0000000000000 00000002020E0000 1C14000000000000 00000000F0100000 000000380C000000 0000000000E0E000 0020E08000000000 00001E0400000000 
E0C0000000000000 00000002020E0000 1810180000000000 00000000F0100000 000000380C000000 0000000000E0E000 0020E08000000000 0404060400000000 
E0C0000000000000 1C04040000000000 00000000141C0000 0000003020202000 0010180808000000 00000000C0C0C000 0020E08000000000 0000020602020000 
E0C0000000000000 1C10100000000000 00000000141C0000 0000003020202000 00040C0808000000 00000000C0C0C000 0020E08000000000 0000020602020000 
0000000040C0C000 0000E08080000000 0000001808180000 F080000000000000 0070180000000000 0000000606060000 0C04060000000000 0000002030202000 
0000000206060000 000000008080E000 0000E0A000000000 0000000040780000 0000000C38000000 E0E0000000000000 0C04060000000000 1010181000000000 
0000000206060000 00008080E0000000 0070500000000000 F080000000000000 0000203010100000 0000000000E0E000 0C04060000000000 0000080C08080000 
0000000206060000 0070101000000000 0000C080C0000000 F080000000000000 0000202030100000 0000000000E0E000 0C04060000000000 0000080C08080000 
0000000818180000 E080800000000000 000000A0E0000000 0000020202060000 1C30000000000000 0000000000E0E000 0040701000000000 00040C0404000000 
0000002060600000 000000008080E000 7050000000000000 0000080808180000 0020301010000000 0000000606060000 0C04060000000000 8080C08000000000 
2060600000000000 00000002020E0000 000000141C000000 C080808000000000 1010180800000000 00000000C0C0C000 0C04060000000000 0000002020302000 
2060600000000000 00000002020E0000 1C14000000000000 C080808000000000 00000030E0000000 0000000000E0E000 000000041C100000 00001E0800000000 
2060600000000000 00000E0202000000 1C14000000000000 C080808000000000 00000000180E0000 00000000C0C0C000 0000101C04000000 0000002020302000 
2060600000000000 00000E0202000000 1C14000000000000 C080808000000000 0000101018080000 00000000C0C0C000 0000000C04060000 0000002020302000 
0000000080C0C000 00000002020E0000 1C14000000000000 0000F08000000000 00000E1800000000 E0E0000000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000002020E0000 1C14000000000000 0000F08000000000 0000081810100000 E0E0000000000000 000006040C000000 0000002060202000 
0000000080C0C000 1C10100000000000 0000E0A000000000 0000020202060000 0000001870000000 E0E0000000000000 0000000008382000 00040C0404000000 
00000080C0C00000 000000002020E000 00000000141C0000 3C04000000000000 00301C0000000000 C0C0C00000000000 0000203808000000 0000020602020000 
80C0C00000000000 7010100000000000 0000000060206000 0000080808180000 0020203010000000 0000000606060000 0C04060000000000 0000008080C08000 
0000000060602000 00000002020E0000 1C14000000000000 000000808080C000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
