000000000060E000 000002020E000000 00C040C000000000 00000000101E0000 0000301C00000000 0C0C0C0000000000 00000020E0800000 F020000000000000 
000000000060E000 0808380000000000 00C040C000000000 00000000021E0000 0404060200000000 0000001C1C000000 00000020E0800000 F020000000000000 
00000000060E0000 000000008080E000 00C040C000000000 0000021E00000000 0000000018700000 0C0C0C0000000000 0000302060000000 F020000000000000 
00000000060E0000 000000008080E000 00C040C000000000 0000101010300000 0000202060400000 0C0C0C0000000000 0000020E08000000 F020000000000000 
00000000060E0000 1C04040000000000 E0A0000000000000 0000021E00000000 004040C080000000 0000000000E0E000 0008382000000000 0000000078100000 
000000000C1C0000 0000000E02020000 0000000060206000 F080000000000000 0008181010000000 0060606000000000 0C04060000000000 0000008080C08000 
0000000018380000 0008083800000000 0000000060406000 000000C080808000 00C0700000000000 0000000606060000 0C04060000000000 F020000000000000 
0000000018380000 000000008080E000 00C040C000000000 0000020202060000 0000202060400000 0C0C0C0000000000 0000101C04000000 F020000000000000 
0000000000C0E000 00000002020E0000 E0A0000000000000 1808080800000000 000000001C300000 000000E0E0000000 0040701000000000 0404060400000000 
000000000C0E0000 000000008080E000 00C040C000000000 0000203C00000000 0004060202000000 0000000070700000 0C08180000000000 F020000000000000 
000000000C0E0000 0000001C10100000 0000000060206000 F080000000000000 0004060202000000 0060606000000000 0C08180000000000 0000008080C08000 
0060700000000000 0008083800000000 0000000602060000 F080000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
0060700000000000 000000E080800000 0000000C080C0000 F080000000000000 000000000030E000 0C0C0C0000000000 0000001070400000 0000020206020000 
0060700000000000 000000E080800000 0000000C080C0000 F080000000000000 0000001010302000 0C0C0C0000000000 000000006040C000 0000020206020000 
C0E0000000000000 0000001C10100000 00000000C080C000 3C04000000000000 000070C000000000 000000000E0E0000 00080E0200000000 0000002020602000 
0000001C0C000000 00002020E0000000 00C040C000000000 00000000101E0000 0004060202000000 0000000000E0E000 0C08180000000000 F020000000000000 
1C0C000000000000 00000002020E0000 0000382800000000 000000808080C000 0000001010302000 E0E0000000000000 000006040C000000 0000404060400000 
1C0C000000000000 000004041C000000 00000000C080C000 0000020202060000 000070C000000000 E0E0000000000000 0000083820000000 0000000000782000 
1C0C000000000000 000000008080E000 E0A0000000000000 0000060202020000 0000380C00000000 000000001C1C0000 0000003020600000 004040C040000000 
0000000000706000 00000002020E0000 0028380000000000 F080000000000000 0040406020000000 0000001C1C000000 0C04060000000000 00000080C0808000 
0000000000706000 1C04040000000000 0000705000000000 0000020202060000 0008080C04000000 E0E0000000000000 0000002038080000 00000080C0808000 
000000001C180000 0008083800000000 0000000602060000 000000C080808000 00C0700000000000 0000000060606000 0C04060000000000 F020000000000000 
0000000E0C000000 00002020E0000000 00C040C000000000 00000000021E0000 0008181010000000 0000000000E0E000 0C04060000000000 F020000000000000 
000000E0C0000000 1C04040000000000 E0A0000000000000 000808080C000000 00000000301C0000 0000000000E0E000 0040701000000000 0000020602020000 
E0C0000000000000 000000008080E000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 000000C040600000 0020602020000000 
0000000020606000 E020200000000000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 00C0406000000000 00000080C0808000 
0000000040C0C000 00000002020E0000 0028380000000000 F080000000000000 004040C080000000 0000001C1C000000 0C04060000000000 0000002020302000 
0000000206060000 0000000070404000 1808180000000000 000000C080808000 0000603800000000 E0E0000000000000 0000000008382000 0404060400000000 
0000020606000000 000000008080E000 0000003828000000 00000000101E0000 00C0700000000000 0C0C0C0000000000 000000C040600000 F020000000000000 
0000020606000000 1C04040000000000 000000A0E0000000 00000000101E0000 80C0404000000000 0000000000E0E000 6020300000000000 0008081808000000 
0000020606000000 1C04040000000000 E0A0000000000000 00000000101E0000 004040C080000000 0000000000E0E000 0000302060000000 0008081808000000 
0008181800000000 00002020E0000000 00C040C000000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F020000000000000 
0000000080C0C000 1C04040000000000 E0A0000000000000 0000020202060000 0008080C04000000 0000303030000000 0000000008382000 004040C040000000 
0000000406060000 0808380000000000 0000001808180000 00000080F0000000 0404060200000000 0000000000E0E000 00C0406000000000 F020000000000000 
0000000406060000 0808380000000000 0000001808180000 F080000000000000 0404060200000000 0000000000E0E000 006040C000000000 00000020F0000000 
0000000406060000 0808380000000000 0000001808180000 F080000000000000 0404060200000000 00000000C0C0C000 006040C000000000 0000002030202000 
0000000406060000 0808380000000000 00000000C080C000 F080000000000000 0404060200000000 0000003838000000 006040C000000000 0000000000782000 
0000000406060000 0808380000000000 00000000C080C000 F080000000000000 0404060200000000 0000001818180000 006040C000000000 0000002020602000 
0000000406060000 0000404070000000 1808180000000000 000000808080C000 0404060200000000 E0E0000000000000 0000203808000000 0000000000782000 
00000080C0C00000 000000002020E000 0000507000000000 7808000000000000 04040C0800000000 000000001C1C0000 80E0200000000000 0000020602020000 
00000080C0C00000 000000002020E000 0000000E0A000000 F080000000000000 0008181010000000 0060606000000000 0C04060000000000 00000000041E0000 
00000080C0C00000 000000002020E000 0000001C14000000 F080000000000000 0004060202000000 0060606000000000 0C08180000000000 00000000081E0000 
0004060600000000 00002020E0000000 00C040C000000000 00000000101E0000 000000180E000000 0000000000E0E000 0C08180000000000 F020000000000000 
0060602000000000 000000002020E000 0000000E0A000000 F080000000000000 0008181010000000 000000C0C0C00000 0C04060000000000 00000000041E0000 
0060602000000000 000000002020E000 0000001C14000000 F080000000000000 0004060202000000 000000C0C0C00000 0C08180000000000 00000000081E0000 
0C0C040000000000 0000380808000000 00000000141C0000 F080000000000000 00000030E0000000 0000000000E0E000 006040C000000000 0000020602020000 
0C0C040000000000 0000382020000000 0000000C080C0000 F080000000000000 0000001010302000 00000000C0C0C000 006040C000000000 0000020206020000 
C0C0400000000000 000000002020E000 0000000E0A000000 3020202000000000 0008181010000000 000000C0C0C00000 0C04060000000000 00000000041E0000 
C0C0400000000000 000000002020E000 0000001C14000000 3C20000000000000 0004060202000000 000000C0C0C00000 0008382000000000 00000000081E0000 
C0C0400000000000 000000002020E000 0000001C14000000 3020202000000000 0004060202000000 000000C0C0C00000 0C08180000000000 00000000081E0000 
C0C0400000000000 00000002020E0000 3828000000000000 000000C080808000 0000203010100000 0000000060606000 000018080C000000 0404060400000000 
C0C0400000000000 00000002020E0000 3020300000000000 000000F080000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000000078100000 
C0C0400000000000 0008083800000000 3020300000000000 0000004078000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
C0C0400000000000 000000008080E000 3020300000000000 0000000040780000 000000E030000000 0000000606060000 0C04060000000000 0008081808000000 
00000000C0C08000 0000202038000000 00C040C000000000 0000020202060000 0000000000386000 0C0C0C0000000000 0000101C04000000 F020000000000000 
0060604000000000 00000002020E0000 000000A0E0000000 F080000000000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000101018100000 
0060604000000000 00000010101C0000 000000A0E0000000 F080000000000000 0004040C08000000 0000000000E0E000 0C08180000000000 0000020206020000 
0C0C080000000000 000000008080E000 0000003828000000 00000000101E0000 00C0700000000000 0000060606000000 000000C040600000 F020000000000000 
