000000000060E000 4040700000000000 3828000000000000 808080C000000000 04040C0800000000 000000001C1C0000 00000020E0800000 0000020602020000 
000000000060E000 0000000E02020000 0028380000000000 F080000000000000 0040406020000000 000000001C1C0000 0C04060000000000 00008080C0800000 
00000000060E0000 7040400000000000 0028380000000000 808080C000000000 0000000E18000000 00000000C0C0C000 0C04060000000000 0000002020302000 
000C1C0000000000 000000008080E000 0000000C080C0000 3C20000000000000 0000202030100000 C0C0C00000000000 000000C040600000 0000020206020000 
0060E00000000000 00000002020E0000 0000002838000000 F080000000000000 000000000030E000 000000C0C0C00000 0C08180000000000 0004060404000000 
0000000000C0E000 0000000E02020000 0028380000000000 00808080C0000000 0000406020200000 000000001C1C0000 0C04060000000000 F040000000000000 
00000000181C0000 000000002020E000 C080C00000000000 0404040C00000000 3860000000000000 000000C0C0C00000 0008382000000000 0000020206020000 
0000000E06000000 7040400000000000 0028380000000000 808080C000000000 00000000180E0000 00000000C0C0C000 0C04060000000000 0000002020302000 
1C0C000000000000 000004041C000000 0000382800000000 0000020202060000 0000000000386000 E0E0000000000000 0000C04060000000 0000008080C08000 
1C0C000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000006038000000 E0E0000000000000 0000000C04060000 0000000000782000 
1C0C000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 E0E0000000000000 0000000C04060000 0000F02000000000 
1C0C000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 C0C0C00000000000 0000000C04060000 2020302000000000 
1C0C000000000000 E080800000000000 00000000C080C000 0000060202020000 0000380C00000000 000000001C1C0000 006040C000000000 0000002020602000 
0000000000706000 00000002020E0000 3020300000000000 000000C080808000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000002078000000 
0000000040C0C000 04041C0000000000 3828000000000000 00000000003C2000 0000000C38000000 C0C0C00000000000 000020E080000000 0000020206020000 
0000000206060000 000000008080E000 3828000000000000 0000180808080000 0000202030100000 C0C0C00000000000 000000C040600000 0404060400000000 
0000000206060000 000000008080E000 3020300000000000 0000000040780000 000000E030000000 C0C0C00000000000 0C04060000000000 0008080C08000000 
0040C0C000000000 1C04040000000000 E0A0000000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 0008382000000000 0000020206020000 
0000000040606000 00000002020E0000 3828000000000000 000000C080808000 0000202030100000 C0C0C00000000000 000018080C000000 0404060400000000 
0004060600000000 000000008080E000 0000000050700000 0C08080800000000 00C0700000000000 000000000E0E0000 000080E020000000 F020000000000000 
0004060600000000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 000000000E0E0000 0020380800000000 3C08000000000000 
0000060602000000 000000008080E000 0000002838000000 3C20000000000000 000C380000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0000000030302000 00000002020E0000 3828000000000000 000000808080C000 0000206040400000 C0C0C00000000000 000018080C000000 0404060400000000 
0000000030302000 00000002020E0000 3828000000000000 808080C000000000 4040602000000000 00000000C0C0C000 000018080C000000 0404060400000000 
0000000030302000 1C04040000000000 0000000C080C0000 C080808000000000 2060404000000000 00000000C0C0C000 0008382000000000 0000020206020000 
0000000C0C080000 000000008080E000 0000000050700000 0000020202060000 00C0700000000000 0C0C0C0000000000 000080E020000000 F020000000000000 
0C0C080000000000 000000008080E000 0000000050700000 0000060202020000 00C0700000000000 0000000C0C0C0000 000080E020000000 F020000000000000 
0C0C080000000000 000000008080E000 0000000C040C0000 0000060202020000 0000000018700000 00C0C0C000000000 0000302060000000 F020000000000000 
