000000000060E000 000002020E000000 00C080C000000000 00000000101E0000 0000701800000000 0C0C0C0000000000 00000020E0800000 F020000000000000 
0000000030700000 000000008080E000 6020600000000000 1808080800000000 0404060200000000 000000000E0E0000 0000107040000000 80C0808000000000 
00000060E0000000 00000010101C0000 0028380000000000 7840000000000000 0404060200000000 0000000000E0E000 000000080E020000 8080C08000000000 
0000000000C0E000 0000007010100000 E0A0000000000000 1808080800000000 0404060200000000 000000000E0E0000 00000080E0200000 0040F00000000000 
00000000181C0000 000000008080E000 3828000000000000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020206020000 
00000000181C0000 00008080E0000000 0000507000000000 7808000000000000 04040C0800000000 0000000000E0E000 80E0200000000000 0000020206020000 
0000003038000000 000000008080E000 3020300000000000 0C08080800000000 0004060202000000 C0C0C00000000000 000000C040600000 00000000041E0000 
C0E0000000000000 3808080000000000 0000000060406000 000000C080808000 0404060200000000 000000000E0E0000 0000001810300000 0000F02000000000 
000000000E060000 000000002020E000 E0A0000000000000 1808080800000000 0404060200000000 000000C0C0C00000 0000003010180000 0040F00000000000 
000000000E060000 0000701010000000 00000000C080C000 1808080800000000 0404060200000000 E0E0000000000000 000080E020000000 0000000000782000 
000000000E060000 E080800000000000 00000000C080C000 1808080800000000 0404060200000000 0000303030000000 006040C000000000 0000000000782000 
1C0C000000000000 000000002020E000 E0A0000000000000 0000060202020000 000008080C040000 000000C0C0C00000 0000003010180000 0040F00000000000 
1C0C000000000000 0000701010000000 00000000C080C000 0000060202020000 000008080C040000 E0E0000000000000 000080E020000000 0000000000782000 
1C0C000000000000 E080800000000000 00000000C080C000 0000060202020000 000008080C040000 0000303030000000 006040C000000000 0000000000782000 
000000001C180000 04041C0000000000 3828000000000000 0000020202060000 0000003860000000 0000000000E0E000 C040600000000000 008080C080000000 
0000000070600000 000000008080E000 3828000000000000 00000000021E0000 0404060200000000 C0C0C00000000000 000018080C000000 000020F000000000 
0000000070600000 000000008080E000 0000060206000000 3C20000000000000 000030E000000000 C0C0C00000000000 000C081800000000 00000000081E0000 
0000003830000000 000000008080E000 0000060206000000 3C20000000000000 000C380000000000 C0C0C00000000000 000000C040600000 00000000081E0000 
0000383000000000 000000008080E000 3828000000000000 00000000021E0000 0404060200000000 C0C0C00000000000 000000C040600000 000000083C000000 
E0C0000000000000 000000008080E000 0000006040600000 1808080800000000 0404060200000000 000000000E0E0000 0020E08000000000 0000101030100000 
0000000020606000 00000010101C0000 1808180000000000 2020206000000000 0404060200000000 C0C0C00000000000 000000080E020000 00000080C0808000 
0000000206060000 0008083800000000 3020300000000000 0000004078000000 0000000000386000 C0C0C00000000000 0C04060000000000 0000008080C08000 
0000000206060000 000000008080E000 3020300000000000 0000000040780000 000000E030000000 C0C0C00000000000 0C04060000000000 0008081808000000 
0000103030000000 00000002020E0000 00A0E00000000000 000808080C000000 000000000030E000 000000C0C0C00000 0C04060000000000 F040000000000000 
