000000000060E000 E020200000000000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 00C0406000000000 00008080C0800000 
00000000060E0000 04041C0000000000 0060206000000000 7808000000000000 0000001010302000 00000000C0C0C000 0000020E08000000 8080C08000000000 
00000000060E0000 000000008080E000 0000000050700000 000080F000000000 00C0700000000000 0C0C0C0000000000 0000020E08000000 F020000000000000 
00000000060E0000 0008080E00000000 0000000000A0E000 F080000000000000 00008080C0400000 0060606000000000 0C04060000000000 0000101018100000 
0000000C1C000000 00000002020E0000 C080C00000000000 3C04000000000000 000000000030E000 000000C0C0C00000 0060203000000000 00081E0000000000 
000C1C0000000000 000000008080E000 0000000C080C0000 3C20000000000000 0000203010100000 C0C0C00000000000 000000C040600000 0000020206020000 
000C1C0000000000 008080E000000000 0000000C080C0000 3C20000000000000 0000001010302000 00000000C0C0C000 C040600000000000 0000020206020000 
000000000C0E0000 000000008080E000 0000000050700000 0000203C00000000 0004060202000000 00C0C0C000000000 0C08180000000000 F020000000000000 
00000000181C0000 0004041C00000000 0000000000A0E000 F080000000000000 00008080C0400000 0060606000000000 0C08180000000000 0000020206020000 
00000000181C0000 000000008080E000 1808180000000000 0404040C00000000 0000E03000000000 E0E0000000000000 000000C040600000 0000020206020000 
0000C0E000000000 04041C0000000000 0000000C080C0000 7808000000000000 0000001010302000 00000000C0C0C000 80E0200000000000 0000020206020000 
0000C0E000000000 1C04040000000000 00000000C080C000 0000020202060000 0008080C04000000 E0E0000000000000 0000301018000000 0000000000782000 
000C0E0000000000 0000000E02020000 00000000C080C000 3C20000000000000 000030E000000000 C0C0C00000000000 000000101C040000 0000000000782000 
C0E0000000000000 000000008080E000 0000181018000000 0000000040780000 0004060202000000 0000E0E000000000 0000000C04060000 3C08000000000000 
000000001C0C0000 0000000E02020000 C080C00000000000 3C04000000000000 000000000030E000 000000C0C0C00000 0060203000000000 00081E0000000000 
1C0C000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 E0E0000000000000 000000C040600000 00001E0400000000 
1C0C000000000000 000000008080E000 E0A0000000000000 00000000021E0000 000000301C000000 00000E0E00000000 000000C040600000 0040F00000000000 
1C0C000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000007018000000 E0E0000000000000 0000000C04060000 0000000000782000 
1C0C000000000000 00000E0808000000 E0A0000000000000 000000808080C000 0000004040602000 0000000606060000 0000003010180000 0040F00000000000 
1C0C000000000000 E080800000000000 0000000C080C0000 00003C2000000000 0000001010302000 00000000C0C0C000 006040C000000000 0000020206020000 
000000001C180000 000000008080E000 C080C00000000000 0000020202060000 3860000000000000 0000383800000000 000000C040600000 040C040400000000 
0000000040C0C000 000010101C000000 3828000000000000 00000000003C2000 04040C0800000000 C0C0C00000000000 000020E080000000 0000020602020000 
