000000000C1C0000 000000008080E000 3828000000000000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020602020000 
000000000C1C0000 00008080E0000000 0000507000000000 7808000000000000 04040C0800000000 0000000000E0E000 80E0200000000000 0000020602020000 
000000000C1C0000 0000000E02020000 00C080C000000000 0008780000000000 00000030E0000000 0000000000E0E000 0C04060000000000 F020000000000000 
0060E00000000000 00000002020E0000 0000003828000000 F080000000000000 000000000030E000 000000C0C0C00000 0C08180000000000 0004060404000000 
0000000000C0E000 0000000808380000 00C080C000000000 0008780000000000 00000030E0000000 0000000606060000 0C04060000000000 F020000000000000 
0000000000C0E000 0004041C00000000 00A0E00000000000 0000020202060000 000000000C380000 000000E0E0000000 0C08180000000000 F040000000000000 
0000000000C0E000 0008080E00000000 00A0E00000000000 000010F000000000 00000000E0300000 000000000E0E0000 0C04060000000000 F040000000000000 
0000000000C0E000 0000003808080000 00C080C000000000 0008780000000000 00000000E0300000 0000000606060000 0C04060000000000 F020000000000000 
0000000E06000000 7040400000000000 0028380000000000 808080C000000000 00000030E0000000 0000000000E0E000 0C04060000000000 00000000081E0000 
1C0C000000000000 000000E080800000 00000C080C000000 00000000003C2000 2020301000000000 C0C0C00000000000 000000006040C000 0000020602020000 
1C0C000000000000 E080800000000000 0000060206000000 0000003020202000 0000380C00000000 00000000C0C0C000 006040C000000000 00000000081E0000 
00000000E0C00000 0008080E00000000 00A0E00000000000 000010F000000000 000000000030E000 000000000E0E0000 0C04060000000000 F040000000000000 
00000000E0C00000 0000003808080000 00C080C000000000 0008780000000000 000000000030E000 0000000606060000 0C04060000000000 F020000000000000 
7060000000000000 000000008080E000 0000000028380000 0000020202060000 0000206040400000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
0000020606000000 000000008080E000 3828000000000000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 00000000081E0000 
0000020606000000 00000008080E0000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 00041C1000000000 3C08000000000000 
0000020606000000 00000008080E0000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 00041C1000000000 3C08000000000000 
0000020606000000 00008080E0000000 0000507000000000 7808000000000000 04040C0800000000 0000000000E0E000 80E0200000000000 00000000081E0000 
0000000080C0C000 04041C0000000000 3828000000000000 0000021E00000000 008080C040000000 000000000E0E0000 C040600000000000 0000002020302000 
00000080C0C00000 00000002020E0000 0028380000000000 3C04000000000000 000000000030E000 C0C0C00000000000 000006040C000000 0000007820000000 
0004060600000000 000000002020E000 00A0E00000000000 00000000021E0000 000000380C000000 000000C0C0C00000 0C08180000000000 F040000000000000 
0080C0C000000000 000000008080E000 0028380000000000 0000000008780000 0000003860000000 0000000606060000 0C04060000000000 F040000000000000 
4060600000000000 3808080000000000 000000000A0E0000 808080C000000000 0404060200000000 00000000C0C0C000 0000101C04000000 0000002020302000 
0000060602000000 000000008080E000 0000003828000000 3C20000000000000 000C380000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0060604000000000 3808080000000000 000000000A0E0000 C080808000000000 0404060200000000 00000000C0C0C000 0000101C04000000 0000002020302000 
00C0C08000000000 000000008080E000 0000000028380000 0000020202060000 0000206040400000 0C0C0C0000000000 0000101C04000000 F020000000000000 
