000000000060E000 0808380000000000 0000001C14000000 00000000021E0000 0404060200000000 00C0C0C000000000 00000020E0800000 F020000000000000 
000000000060E000 000000E080800000 00A0E00000000000 0000020202060000 0000000070180000 0C0C0C0000000000 0000101C04000000 F040000000000000 
00000000060E0000 000000008080E000 0000000050700000 0000021E00000000 00C0700000000000 0C0C0C0000000000 000080E020000000 F020000000000000 
00000000060E0000 0008080E00000000 0000000000A0E000 F080000000000000 00008080C0400000 0060606000000000 0C04060000000000 0000101030100000 
0000000000C0E000 00000002020E0000 00A0E00000000000 0000101010300000 0008080C04000000 000000E0E0000000 0C04060000000000 F040000000000000 
0000000000C0E000 0000101070000000 3828000000000000 00000000043C0000 04040C0800000000 C0C0C00000000000 000020E080000000 0000020602020000 
0000000000C0E000 04041C0000000000 3828000000000000 00000000043C0000 0000001870000000 C0C0C00000000000 000020E080000000 0000020602020000 
0000000000C0E000 00000010101C0000 3828000000000000 0404040C00000000 0000386000000000 C0C0C00000000000 00000080E0200000 0000020206020000 
0000000000C0E000 00000010101C0000 000C040C00000000 3C20000000000000 0000386000000000 C0C0C00000000000 00000080E0200000 0000020206020000 
0000000000C0E000 0000000E02020000 00A0E00000000000 00000000043C0000 0008181010000000 000000E0E0000000 0C04060000000000 F040000000000000 
000000C0E0000000 00000010101C0000 C080C00000000000 0404040C00000000 3860000000000000 0000000000E0E000 0008382000000000 0000020206020000 
000000C0E0000000 1C04040000000000 E0A0000000000000 0000020202060000 0008080C04000000 0000000000E0E000 0000003010180000 0040F00000000000 
C0E0000000000000 3808080000000000 0000000000A0E000 00000000021E0000 0404060200000000 0000E0E000000000 0000101C04000000 00000000F0400000 
C0E0000000000000 3808080000000000 0000E0A000000000 00000000021E0000 0404060200000000 0000000000E0E000 0000101C04000000 00000040F0000000 
0000703000000000 00000002020E0000 00C080C000000000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 F020000000000000 
1C0C000000000000 000000002020E000 E0A0000000000000 0000060202020000 0000080C04040000 000000C0C0C00000 0000003010180000 0040F00000000000 
1C0C000000000000 00008080E0000000 00000000141C0000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
1C0C000000000000 00008080E0000000 0000060206000000 00000000101E0000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
1C0C000000000000 00000E0202000000 E0A0000000000000 000000F080000000 0000000070180000 0000000000E0E000 0000000C04060000 0040F00000000000 
1C0C000000000000 00000E0202000000 00000000C080C000 0000F01000000000 000000E030000000 E0E0000000000000 0000000C04060000 0000000000782000 
1C0C000000000000 00000E0202000000 00000000C080C000 C080808000000000 2060404000000000 0000303030000000 0000000C04060000 0000000000782000 
1C0C000000000000 0000701010000000 00000000C080C000 0000060202020000 0000080C04040000 E0E0000000000000 000080E020000000 0000000000782000 
1C0C000000000000 E080800000000000 00000000C080C000 0000060202020000 0000080C04040000 0000303030000000 006040C000000000 0000000000782000 
0000383000000000 000000008080E000 3828000000000000 0404040C00000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020206020000 
0000383000000000 000000008080E000 000C040C00000000 3C20000000000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020206020000 
7060000000000000 8080E00000000000 00000000C080C000 0000020202060000 000000E030000000 0C0C0C0000000000 0000101C04000000 0000000000782000 
0000000040C0C000 04041C0000000000 3828000000000000 00000000003C2000 0000001C30000000 C0C0C00000000000 000020E080000000 0000020206020000 
0000020606000000 04041C0000000000 3828000000000000 00000000101E0000 0000003860000000 0000000000E0E000 C040600000000000 008080C080000000 
000040C0C0000000 E080800000000000 1808180000000000 0404040C00000000 00000000301C0000 0000000000E0E000 0060203000000000 0000020206020000 
0008181800000000 000000008080E000 00A0E00000000000 0000000040780000 000000E030000000 0000000606060000 0C04060000000000 F040000000000000 
0040C0C000000000 000000008080E000 0028380000000000 F080000000000000 0000003860000000 0000000606060000 0C04060000000000 0000000010780000 
0040C0C000000000 1C04040000000000 E0A0000000000000 00000000003C2000 0000001C30000000 00000000C0C0C000 0008382000000000 0000020206020000 
040C0C0000000000 3820200000000000 00000000C080C000 0000020202060000 000000E030000000 C0C0C00000000000 0000101C04000000 0000000000782000 
0000000406060000 000000002020E000 E0A0000000000000 1808080800000000 0404060200000000 000000C0C0C00000 0000003010180000 0040F00000000000 
0000000406060000 0000701010000000 00000000C080C000 1808080800000000 0404060200000000 E0E0000000000000 000080E020000000 0000000000782000 
0000000406060000 E080800000000000 00000000C080C000 1808080800000000 0404060200000000 0000303030000000 006040C000000000 0000000000782000 
80C0C00000000000 000000002020E000 0000001C14000000 00000000021E0000 0404060200000000 000000C0C0C00000 0008382000000000 7820000000000000 
000000C0C0400000 00000002020E0000 0000000000A0E000 3020202000000000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000101030100000 
000000C0C0400000 0004041C00000000 0000000000A0E000 3C20000000000000 00000000301C0000 C0C0C00000000000 0008382000000000 0000020206020000 
000000C0C0400000 0004041C00000000 0000000000A0E000 3020202000000000 00000000301C0000 C0C0C00000000000 0C08180000000000 0000020206020000 
00C0C04000000000 00000002020E0000 000000A0E0000000 0000301010100000 0008080C04000000 0000000000E0E000 0C04060000000000 F020000000000000 
0C0C040000000000 7040400000000000 00000000141C0000 808080C000000000 00000030E0000000 0000000000E0E000 0020380800000000 0000020602020000 
C0C0400000000000 00000002020E0000 3020300000000000 0C08080800000000 0000001010302000 00000000C0C0C000 000080E020000000 0004060404000000 
0000000030302000 00000002020E0000 00A0E00000000000 000010F000000000 0008080C04000000 00000000C0C0C000 0C04060000000000 F040000000000000 
0000C0C080000000 04041C0000000000 00000000141C0000 7808000000000000 0000003860000000 0000000000E0E000 80E0200000000000 0000020602020000 
0C0C080000000000 000000008080E000 0000141C00000000 3020202000000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020206020000 
0C0C080000000000 000000008080E000 3020300000000000 0000043C00000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020206020000 
