0000000000C0E000 0000000808380000 0000000604060000 00C0808080000000 0008181010000000 0000606060000000 0C04060000000000 F020000000000000 
000000000C0E0000 000000008080E000 0000000050700000 0000021E00000000 00C0700000000000 0C0C0C0000000000 000080E020000000 F020000000000000 
000000000C0E0000 0008080E00000000 0000000000A0E000 F080000000000000 00008080C0400000 0060606000000000 0C04060000000000 0000101030100000 
0000003038000000 000000008080E000 3020300000000000 0808080C00000000 0404060200000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0000003038000000 0008080E00000000 3020300000000000 000000808080C000 0000004040602000 C0C0C00000000000 0C04060000000000 00000000041E0000 
0000007030000000 1C04040000000000 0000000000A0E000 0008780000000000 00008080C0400000 E0E0000000000000 0000020E08000000 00000000041E0000 
1C0C000000000000 0000000070404000 0000000604060000 000000C080808000 00000E1800000000 E0E0000000000000 0000000008382000 0000F02000000000 
1C0C000000000000 0000000070404000 0000000604060000 000000C080808000 00000E1800000000 C0C0C00000000000 0000000008382000 2020302000000000 
1C0C000000000000 0000000070404000 0000000604060000 000000C080808000 0000E03000000000 E0E0000000000000 0000000008382000 00001E0800000000 
1C0C000000000000 00000E0808000000 0000000604060000 000000C080808000 0000000000386000 E0E0000000000000 0000001070400000 0000F02000000000 
1C0C000000000000 00000E0808000000 0000000604060000 000000C080808000 0000000000386000 C0C0C00000000000 0000001070400000 2020302000000000 
0000007060000000 0008080E00000000 3020300000000000 000000808080C000 000000001C060000 C0C0C00000000000 0C04060000000000 0000000000782000 
7060000000000000 8080E00000000000 0000000604060000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008180808000000 
E0C0000000000000 1C04040000000000 0028380000000000 00000080F0000000 0000C07000000000 0000000000E0E000 0000020E08000000 00000000041E0000 
0000000080C0C000 002020E000000000 0000000604060000 3C04000000000000 0000001870000000 C0C0C00000000000 0000000008382000 00081E0000000000 
0000000080C0C000 0020203800000000 0000000604060000 3C04000000000000 000000C070000000 C0C0C00000000000 0000000008382000 00081E0000000000 
0000001018180000 000000008080E000 0028380000000000 7840000000000000 0404060200000000 0000006060600000 0000000C04060000 8080C08000000000 
0000203030000000 04041C0000000000 3828000000000000 000000808080C000 0000004040602000 C0C0C00000000000 0000020E08000000 00000000041E0000 
0004060600000000 000000002020E000 00A0E00000000000 00000000101E0000 000000380C000000 000000C0C0C00000 0C08180000000000 F040000000000000 
0040606000000000 04041C0000000000 3828000000000000 C080808000000000 0000001030202000 00000000C0C0C000 0000020E08000000 00000000041E0000 
0000000060602000 0008080E00000000 3020300000000000 000000808080C000 0000007018000000 C0C0C00000000000 0C04060000000000 00000000041E0000 
000000C0C0400000 3808080000000000 0000000000A0E000 0020202030000000 0404060200000000 C0C0C00000000000 0000101C04000000 00000000081E0000 
6060200000000000 000000008080E000 1808180000000000 0000000008780000 0404060200000000 0000007070000000 0000000C04060000 8080C08000000000 
00000000C0C08000 E020200000000000 1808180000000000 0000003C04000000 0404060200000000 00C0C0C000000000 0000000030206000 00000000081E0000 
C0C0800000000000 000000008080E000 1808180000000000 2020203000000000 0404060200000000 0000000038380000 0000000C04060000 000040C040400000 
