000000000060E000 00000002020E0000 3020300000000000 000000F080000000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000000078100000 
000000000060E000 00008080E0000000 0000507000000000 7808000000000000 04040C0800000000 000000001C1C0000 80E0200000000000 0000020602020000 
000000000060E000 00008080E0000000 0000000E0A000000 F080000000000000 0008181010000000 0060606000000000 0C04060000000000 00000000041E0000 
000000000060E000 00008080E0000000 0000001C14000000 F080000000000000 0004060202000000 0060606000000000 0C08180000000000 00000000081E0000 
000000000060E000 0000000E02020000 00C080C000000000 0008780000000000 00000030E0000000 000000001C1C0000 0C04060000000000 F020000000000000 
00000000060E0000 0040407000000000 3020300000000000 C080808000000000 000000000030E000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
00000000060E0000 1C04040000000000 00000000C040C000 808080C000000000 0008181010000000 6060600000000000 0000020E08000000 0000002020302000 
00000000060E0000 7040400000000000 00000000C040C000 808080C000000000 0000001010302000 0C0C0C0000000000 0000020E08000000 0020302020000000 
00000000060E0000 7040400000000000 00000000C040C000 808080C000000000 0020301010000000 0C0C0C0000000000 0000020E08000000 0000002020302000 
1C0C000000000000 00000E0202000000 00000000C040C000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002020302000 
1C0C000000000000 00000E0202000000 00000000C040C000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002020302000 
0000000206060000 002020E000000000 00000000C040C000 3C04000000000000 0000001C30000000 C0C0C00000000000 0000000008382000 00081E0000000000 
0000000206060000 002020E000000000 00000000C040C000 3C04000000000000 0000001030202000 C0C0C00000000000 0000000C08180000 00081E0000000000 
0040C0C000000000 0008080E00000000 00000000C040C000 F080000000000000 0000001010302000 000000000E0E0000 0C04060000000000 0020302020000000 
0040C0C000000000 0008080E00000000 00000000C040C000 F080000000000000 0020301010000000 000000000E0E0000 0C04060000000000 0000002020302000 
0040C0C000000000 0000003808080000 0028380000000000 F080000000000000 000000000030E000 0000000606060000 0C04060000000000 00000000F0400000 
0040C0C000000000 1C04040000000000 E0A0000000000000 0000021E00000000 000000000030E000 000000000E0E0000 0008382000000000 00000000F0400000 
000000080C0C0000 1C04040000000000 00000000C040C000 0008780000000000 0000001010302000 E0E0000000000000 000080E020000000 0000020602020000 
0004060600000000 002020E000000000 00000000C040C000 00000000021E0000 0000001030202000 C0C0C00000000000 000018080C000000 3C08000000000000 
000000C0C0400000 000000002020E000 0000000E0A000000 3020202000000000 0008181010000000 C0C0C00000000000 0C04060000000000 00000000041E0000 
000000C0C0400000 000000002020E000 0000001C14000000 3C20000000000000 0004060202000000 C0C0C00000000000 0008382000000000 00000000081E0000 
000000C0C0400000 000000002020E000 0000001C14000000 3020202000000000 0004060202000000 C0C0C00000000000 0C08180000000000 00000000081E0000 
0000060602000000 0000000038202000 00000000C040C000 3C20000000000000 000030E000000000 C0C0C00000000000 000C081800000000 00000000041E0000 
0C0C040000000000 000000002020E000 00000A0E00000000 0000301010100000 00008080C0400000 000000000E0E0000 00C0406000000000 F020000000000000 
C0C0400000000000 0008080E00000000 3020300000000000 000080F000000000 000000000030E000 000000000E0E0000 0C04060000000000 00000000F0400000 
0000000030302000 0008080E00000000 00000000C040C000 000080F000000000 00C0700000000000 000000000E0E0000 0C04060000000000 F020000000000000 
0000000030302000 008080E000000000 00000000C040C000 0808080C00000000 0404060200000000 000000000E0E0000 0040701000000000 F020000000000000 
