00000000060E0000 000000008080E000 0000000070500000 000080F000000000 00C0700000000000 0C0C0C0000000000 0000020E08000000 F020000000000000 
0000000000C0E000 00000002020E0000 3020300000000000 000000F080000000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000000078100000 
0000000000C0E000 00008080E0000000 0000507000000000 7808000000000000 04040C0800000000 000000001C1C0000 80E0200000000000 0000020602020000 
0000000000C0E000 00008080E0000000 0000000E0A000000 F080000000000000 0008181010000000 0060606000000000 0C04060000000000 00000000041E0000 
0000000000C0E000 00008080E0000000 0000001C14000000 F080000000000000 0004060202000000 0060606000000000 0C08180000000000 00000000081E0000 
0000000000C0E000 0000000E02020000 00C080C000000000 0008780000000000 00000030E0000000 000000001C1C0000 0C04060000000000 F020000000000000 
000000000C0E0000 000000008080E000 0000000070500000 0000203C00000000 0004060202000000 00C0C0C000000000 0C08180000000000 F020000000000000 
000C0E0000000000 000000008080E000 0000000E0A000000 3C20000000000000 000030E000000000 C0C0C00000000000 0000001070400000 00000000041E0000 
C0E0000000000000 000000008080E000 0000001808180000 3C04000000000000 000080C040400000 0000000606060000 0000602030000000 00081E0000000000 
1C0C000000000000 00000002020E0000 0000000060406000 000000C080808000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
1C0C000000000000 00000002020E0000 0000000060406000 000000C080808000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
1C0C000000000000 00000002020E0000 0000000060406000 000000C080808000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
1C0C000000000000 00000002020E0000 0000000060406000 000000C080808000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
1C0C000000000000 00000002020E0000 0000000060406000 000000C080808000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
1C0C000000000000 000000008080E000 0000000E0A000000 00001E1000000000 000080C040400000 E0E0000000000000 0000602030000000 00000000041E0000 
1C0C000000000000 000000008080E000 0000382800000000 C080808000000000 2060404000000000 0000060606000000 0000001070400000 00000000081E0000 
0000000206060000 000000008080E000 3828000000000000 0000080808180000 000030E000000000 C0C0C00000000000 0000001070400000 0404060400000000 
0000000406060000 3820200000000000 0000000060406000 000000C080808000 0404060200000000 C0C0C00000000000 0000003010180000 0008180808000000 
80C0C00000000000 0000001C10100000 0000000060406000 000000C080808000 0404060200000000 000000000E0E0000 0008382000000000 7820000000000000 
000C0C0400000000 000000008080E000 0000000070500000 3C20000000000000 000030E000000000 C0C0C00000000000 00000018080C0000 0000020206020000 
C0C0400000000000 000000008080E000 0000302030000000 3C20000000000000 000080C040400000 0000060606000000 000C081800000000 00000000081E0000 
0000006060400000 000000008080E000 3828000000000000 C080808000000000 04040C0800000000 000000001C1C0000 0040701000000000 0000020602020000 
