0000000000C0E000 0000007010100000 0028380000000000 3C04000000000000 0000040C08080000 C0C0C00000000000 00000080E0200000 0000020206020000 
0000000038180000 0004041C00000000 0000000000A0E000 F080000000000000 00008080C0400000 0060606000000000 0C08180000000000 0000020206020000 
0000000038180000 000000008080E000 1808180000000000 0404040C00000000 0000E03000000000 E0E0000000000000 000000C040600000 0000020206020000 
0000007030000000 1C04040000000000 0000000000A0E000 0008780000000000 00008080C0400000 E0E0000000000000 0000000C08180000 0000020206020000 
1C0C000000000000 000000002020E000 E0A0000000000000 00003C0400000000 0040C08080000000 0000001818180000 0000006040C00000 0000020206020000 
1C0C000000000000 0000003808080000 E0A0000000000000 00003C0400000000 0040C08080000000 0000000000E0E000 0000004070100000 0000020206020000 
000000001C180000 000000008080E000 3828000000000000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020602020000 
000000001C180000 00008080E0000000 0000507000000000 7808000000000000 04040C0800000000 0000000000E0E000 80E0200000000000 0000020602020000 
000000001C180000 0000000E02020000 00C080C000000000 0008780000000000 00000030E0000000 0000000000E0E000 0C04060000000000 F020000000000000 
0000007060000000 0008080E00000000 3020300000000000 000000001E020000 0000000000386000 C0C0C00000000000 0C04060000000000 0000008080C08000 
E0C0000000000000 1C04040000000000 0028380000000000 00000080F0000000 0000C07000000000 0000000000E0E000 0000000C08180000 0000020206020000 
0000000040C0C000 3808080000000000 000000E0A0000000 0404040C00000000 0020301010000000 C0C0C00000000000 0000000008382000 0000020206020000 
0000000040C0C000 3820200000000000 000000E0A0000000 0404040C00000000 0008181010000000 C0C0C00000000000 0000000008382000 0000020206020000 
0040C0C000000000 0008080E00000000 000000000E0A0000 F080000000000000 0000001010302000 00000000C0C0C000 0C04060000000000 0020302020000000 
0040C0C000000000 0008080E00000000 000000000E0A0000 F080000000000000 0020301010000000 00000000C0C0C000 0C04060000000000 0000002020302000 
0000000080C0C000 0008083800000000 3020300000000000 0C04040400000000 000000C070000000 C0C0C00000000000 0000000008382000 0000020206020000 
0000000080C0C000 04041C0000000000 3828000000000000 0000203C00000000 000000C070000000 C0C0C00000000000 0000000008382000 0000020206020000 
0000001018180000 000000002020E000 C080C00000000000 0404040C00000000 3860000000000000 000000C0C0C00000 0008382000000000 0000020206020000 
0000203030000000 04041C0000000000 3828000000000000 000000808080C000 0000004040602000 C0C0C00000000000 0000000C08180000 0000020206020000 
0040606000000000 04041C0000000000 3828000000000000 C080808000000000 0000001C30000000 00000000C0C0C000 0000000008382000 0000020206020000 
0040606000000000 04041C0000000000 3828000000000000 C080808000000000 0000001030202000 00000000C0C0C000 0000000C08180000 0000020206020000 
80C0C00000000000 0000001C10100000 000000000E0A0000 000000C080808000 0404060200000000 0000000060606000 0008382000000000 7820000000000000 
0000000606020000 0008083800000000 3020300000000000 0000004078000000 0000000000386000 C0C0C00000000000 0C04060000000000 0000008080C08000 
0000000606020000 000000008080E000 3020300000000000 0000000040780000 000000E030000000 C0C0C00000000000 0C04060000000000 0008081808000000 
0000003030100000 000000008080E000 0028380000000000 3C04000000000000 0000040C08080000 C0C0C00000000000 000000C040600000 0000020206020000 
0000000030302000 0008080E00000000 000000000E0A0000 000080F000000000 00C0700000000000 00000000C0C0C000 0C04060000000000 F020000000000000 
0000000030302000 008080E000000000 000000000E0A0000 0808080C00000000 0404060200000000 00000000C0C0C000 0040701000000000 F020000000000000 
00000000C0C08000 0008080E00000000 3020300000000000 000000001E020000 0000000000386000 C0C0C00000000000 0C04060000000000 000000F020000000 
C0C0800000000000 000000002020E000 000000000E0A0000 0808080C00000000 0404060200000000 000000C0C0C00000 3020600000000000 0000103010100000 
