00000000060E0000 0000007010100000 0000000060206000 0000808080C00000 00C0700000000000 0C0C0C0000000000 0000020E08000000 F020000000000000 
000000000C1C0000 0000000E02020000 00A0E00000000000 0000002020206000 0008181010000000 000000C0C0C00000 0C04060000000000 F040000000000000 
0000003070000000 3820200000000000 000000C080C00000 0000020202060000 0000000000386000 C0C0C00000000000 000018080C000000 040C040400000000 
0060E00000000000 000000E080800000 0000000E0A000000 F080000000000000 0008181010000000 0000000060606000 0C04060000000000 00000000041E0000 
0060E00000000000 000000E080800000 0000001C14000000 F080000000000000 0004060202000000 0000000060606000 0C08180000000000 00000000081E0000 
000000000C0E0000 0000001C10100000 00A0E00000000000 0000002020206000 0004060202000000 000000C0C0C00000 0C08180000000000 F040000000000000 
00000000181C0000 E080800000000000 1808180000000000 0404040C00000000 000040C080800000 0000000060606000 0060203000000000 0000020206020000 
0000000000E06000 00000002020E0000 3020300000000000 000000F080000000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000000078100000 
0000000000E06000 00008080E0000000 0000507000000000 7808000000000000 04040C0800000000 000000001C1C0000 80E0200000000000 0000020602020000 
0000000000E06000 00008080E0000000 0000000E0A000000 F080000000000000 0008181010000000 0060606000000000 0C04060000000000 00000000041E0000 
0000000000E06000 00008080E0000000 0000001C14000000 F080000000000000 0004060202000000 0060606000000000 0C08180000000000 00000000081E0000 
0000000000E06000 0000000E02020000 00C080C000000000 0008780000000000 00000030E0000000 000000001C1C0000 0C04060000000000 F020000000000000 
0000001C0C000000 000000E080800000 00A0E00000000000 00000000101E0000 0004060202000000 0000000060606000 0C08180000000000 F040000000000000 
1C0C000000000000 00000002020E0000 0000382800000000 0000C08080800000 0000001010302000 E0E0000000000000 000006040C000000 0000004060404000 
1C0C000000000000 00000002020E0000 E0A0000000000000 0000002020206000 00000E1800000000 000000C0C0C00000 000000041C100000 0040F00000000000 
1C0C000000000000 00000002020E0000 E0A0000000000000 0000002020206000 0000081810100000 000000C0C0C00000 000006040C000000 0040F00000000000 
1C0C000000000000 000004041C000000 E0A0000000000000 0000020202060000 0000000000386000 000000C0C0C00000 0000083820000000 0040F00000000000 
1C0C000000000000 00000E0202000000 0000705000000000 0000808080C00000 0000000000386000 E0E0000000000000 0000000C04060000 0000002078000000 
1C0C000000000000 00000E0202000000 000000C080C00000 0000F01000000000 0000000000386000 E0E0000000000000 0000000C04060000 0000002078000000 
1C0C000000000000 0000007040400000 0000060206000000 0000C08080800000 0000380C00000000 E0E0000000000000 0000000030206000 00000000081E0000 
1C0C000000000000 000000E080800000 E0A0000000000000 0000020202060000 0000000000386000 00000C0C0C000000 0000001070400000 0040F00000000000 
1C0C000000000000 000000E080800000 0000000060406000 00000000043C0000 2020301000000000 C0C0C00000000000 00000C0818000000 0000020602020000 
1C0C000000000000 0000E08080000000 00001C1400000000 0000020202060000 0000000000386000 E0E0000000000000 0000006040C00000 000000083C000000 
1C0C000000000000 0000E08080000000 0000000602060000 00001E1000000000 0000000000386000 E0E0000000000000 0000006040C00000 000000083C000000 
1C0C000000000000 E080800000000000 0000000A0E000000 00000000101E0000 000040C080800000 0000000060606000 0060203000000000 00001E0400000000 
0000000000706000 00000002020E0000 0028380000000000 F080000000000000 0040406020000000 0000001C1C000000 0C04060000000000 00008080C0800000 
0000000000706000 0000701010000000 00C080C000000000 0808080C00000000 0404060200000000 000000000E0E0000 00000020E0800000 F020000000000000 
0000000000706000 1C04040000000000 0000705000000000 0000020202060000 0008080C04000000 E0E0000000000000 0000002038080000 00008080C0800000 
0000000000706000 1C04040000000000 0000000C080C0000 808080C000000000 0008181010000000 6060600000000000 00000020E0800000 0000020206020000 
0000000000706000 7040400000000000 0000000C080C0000 808080C000000000 0020301010000000 0C0C0C0000000000 00000020E0800000 0000020206020000 
0000000E0C000000 000000E080800000 00A0E00000000000 00000000021E0000 0008181010000000 0000000060606000 0C04060000000000 F040000000000000 
7060000000000000 8080E00000000000 0000000E0A000000 0000002020206000 0008181010000000 000000C0C0C00000 0C04060000000000 00000000041E0000 
7060000000000000 8080E00000000000 0000001C14000000 0000002020206000 0004060202000000 000000C0C0C00000 0C08180000000000 00000000081E0000 
7060000000000000 8080E00000000000 000000C080C00000 0000020202060000 0000000000386000 0C0C0C0000000000 0000101C04000000 0000002078000000 
