000000000060E000 00000002020E0000 1808180000000000 0000C08080800000 000000380C000000 E0E0000000000000 0000004070100000 0404060400000000 
00000000060E0000 E080800000000000 1808180000000000 00000000F0100000 0404060200000000 0000000000E0E000 006040C000000000 0000003C08000000 
000C1C0000000000 000000E080800000 0000000C080C0000 3C20000000000000 000000000030E000 C0C0C00000000000 0000001070400000 0000020206020000 
000C1C0000000000 000000E080800000 0000000C080C0000 3C20000000000000 0000001010302000 C0C0C00000000000 000000006040C000 0000020206020000 
0000000000C0E000 00000002020E0000 3828000000000000 000000F010000000 00000000E0300000 C0C0C00000000000 000018080C000000 0404060400000000 
000000000C0E0000 000000008080E000 0000000050700000 0000003C20000000 0004060202000000 00C0C0C000000000 0C08180000000000 F020000000000000 
00000000181C0000 E080800000000000 1808180000000000 0404040C00000000 00000030E0000000 0000000000E0E000 006040C000000000 0000020206020000 
000C0E0000000000 00000002020E0000 000000C080C00000 3C20000000000000 000000000030E000 C0C0C00000000000 0000101C04000000 0000002078000000 
000000000E060000 0008080E00000000 0000507000000000 00C0808080000000 0000000070180000 0000000000E0E000 0C04060000000000 F020000000000000 
0000000E06000000 00008080E0000000 0060406000000000 F080000000000000 0008181010000000 0000000000E0E000 0C04060000000000 00000000081E0000 
0000001C0C000000 E080800000000000 1808180000000000 00000000021E0000 0404060200000000 0000000000E0E000 006040C000000000 00000020F0000000 
0000001C0C000000 E080800000000000 1808180000000000 00000000021E0000 0404060200000000 00000000C0C0C000 006040C000000000 0000002030202000 
1C0C000000000000 00000008080E0000 E0A0000000000000 0000808080C00000 000000000030E000 0000060606000000 0000181030000000 0040406040000000 
1C0C000000000000 E080800000000000 0000000A0E000000 00000000101E0000 00000030E0000000 0000000000E0E000 006040C000000000 00001E0400000000 
1C0C000000000000 E080800000000000 0000000C080C0000 00000000F0100000 00001C3000000000 0000000000E0E000 006040C000000000 0000020206020000 
E060000000000000 000000002020E000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 0000006040C00000 0080C08080000000 
00000000E0C00000 00000002020E0000 3828000000000000 000000F010000000 000000000030E000 C0C0C00000000000 000018080C000000 0404060400000000 
0000001C18000000 00008080E0000000 0060406000000000 F080000000000000 0004060202000000 0000000000E0E000 0C08180000000000 00000000041E0000 
0000000206060000 000000E080800000 3828000000000000 0000180808080000 000000000030E000 C0C0C00000000000 0000001070400000 0404060400000000 
0000000206060000 000000E080800000 3828000000000000 0000180808080000 0000001010302000 C0C0C00000000000 000000006040C000 0404060400000000 
0000000080C0C000 E080800000000000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 006040C000000000 0000002060202000 
0000000406060000 0000080838000000 3828000000000000 000000808080C000 0404060200000000 C0C0C00000000000 0000107040000000 0000000000782000 
0000003030100000 00000002020E0000 3828000000000000 000000808080C000 0000004040602000 C0C0C00000000000 000018080C000000 0404060400000000 
0C0C040000000000 0000101070000000 00000A0E00000000 0000808080C00000 000000000030E000 000000000E0E0000 00C0406000000000 F020000000000000 
C0C0400000000000 000000002020E000 3828000000000000 0000808080C00000 04040C0800000000 000000001C1C0000 0000107040000000 0000020602020000 
C0C0400000000000 00000002020E0000 3828000000000000 0000808080C00000 000000000030E000 0000007070000000 000018080C000000 0404060400000000 
C0C0400000000000 000010101C000000 3828000000000000 00000000003C2000 04040C0800000000 00000000C0C0C000 000080E020000000 0000020602020000 
0000006060400000 00000002020E0000 3828000000000000 000000808080C000 0000001010302000 C0C0C00000000000 000018080C000000 0404060400000000 
