00000000060E0000 0008080E00000000 000000C080C00000 3020202000000000 000000000030E000 C0C0C00000000000 0C04060000000000 0000001078000000 
000000000C1C0000 008080E000000000 3828000000000000 00000010F0000000 04040C0800000000 0000000000E0E000 C040600000000000 0000020602020000 
0060E00000000000 0008083800000000 0000000602060000 F080000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
0060E00000000000 000000E080800000 0000000C080C0000 F080000000000000 000000000030E000 0C0C0C0000000000 0000001070400000 0000020206020000 
0060E00000000000 000000E080800000 0000000C080C0000 F080000000000000 0000001010302000 0C0C0C0000000000 000000006040C000 0000020206020000 
0000000000C0E000 0008080E00000000 00A0E00000000000 000000F010000000 00000000E0300000 000000000E0E0000 0C04060000000000 F040000000000000 
0000000000C0E000 0000007010100000 00A0E00000000000 0808080C00000000 0404060200000000 000000000E0E0000 00000080E0200000 F040000000000000 
000000C0E0000000 0008083800000000 00A0E00000000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F040000000000000 
000000C0E0000000 0008080E00000000 00A0E00000000000 00000000021E0000 000000301C000000 0000000000E0E000 0C04060000000000 F040000000000000 
000C0E0000000000 000000008080E000 000000000A0E0000 3C20000000000000 0000202030100000 C0C0C00000000000 000000C040600000 0000001E04000000 
000C0E0000000000 000000008080E000 0000003828000000 3C20000000000000 008080C040000000 0000000606060000 C040600000000000 0000000010780000 
000C0E0000000000 008080E000000000 0000000E0A000000 3C20000000000000 0000001030202000 00000000C0C0C000 C040600000000000 00000000041E0000 
00C0E00000000000 0008083800000000 000000C080C00000 0000000078080000 000000000030E000 0000000606060000 0C04060000000000 F020000000000000 
000000000E060000 000000002020E000 00A0E00000000000 0808080C00000000 0404060200000000 000000C0C0C00000 0000003010180000 F040000000000000 
000000000E060000 002020E000000000 00000000C080C000 3C04000000000000 0000001C30000000 C0C0C00000000000 00080E0200000000 0000000000782000 
000000000E060000 0008080E00000000 0000005070000000 3020202000000000 0000000000386000 C0C0C00000000000 0C04060000000000 0000008080C08000 
000000000E060000 0008080E00000000 00A0E00000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 F040000000000000 
0000000038180000 0008083800000000 00A0E00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 F040000000000000 
0000007030000000 1C04040000000000 6020600000000000 0000020202060000 0008080C04000000 00000000C0C0C000 0000000008382000 80C0808000000000 
000000E060000000 000000008080E000 00A0E00000000000 0000000008780000 0008081810000000 0000000606060000 0C04060000000000 F040000000000000 
1C0C000000000000 00000002020E0000 0000000060206000 2020206000000000 00000E1800000000 C0C0C00000000000 000000041C100000 0000008080C08000 
1C0C000000000000 00000002020E0000 0000000060206000 2020206000000000 0000081810100000 C0C0C00000000000 000006040C000000 0000008080C08000 
1C0C000000000000 00000002020E0000 6020600000000000 0000006020202000 00000E1800000000 00000000C0C0C000 000000041C100000 80C0808000000000 
