000000000060E000 0000001C10100000 0028380000000000 7840000000000000 0404060200000000 000000000E0E0000 00000020E0800000 8080C08000000000 
00000000060E0000 1C04040000000000 E0A0000000000000 0000021E00000000 0040C08080000000 0000000000E0E000 0008382000000000 0000000078100000 
000000000C1C0000 0000000E02020000 0000000060206000 3020202000000000 0008181010000000 C0C0C00000000000 0C04060000000000 0000008080C08000 
000000000C1C0000 0000000E02020000 0000602060000000 00C0808080000000 0008181010000000 0000000000E0E000 0C04060000000000 F020000000000000 
0060E00000000000 00000002020E0000 000000A0E0000000 F080000000000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000101018100000 
0060E00000000000 00000010101C0000 000000A0E0000000 F080000000000000 0004040C08000000 0000000000E0E000 0C08180000000000 0000020206020000 
0000000000C0E000 0000000808380000 0000602060000000 00C0808080000000 0008181010000000 0000000606060000 0C04060000000000 F020000000000000 
0000000000C0E000 000002020E000000 C080C00000000000 00000000101E0000 3860000000000000 0000383800000000 00000080E0200000 040C040400000000 
000000000C0E0000 0000001C10100000 0000000060206000 3C20000000000000 0004060202000000 C0C0C00000000000 0008382000000000 0000008080C08000 
000000000C0E0000 0000001C10100000 0000000060206000 3020202000000000 0004060202000000 C0C0C00000000000 0C08180000000000 0000008080C08000 
000000000C0E0000 0000001C10100000 0000602060000000 00C0808080000000 0004060202000000 0000000000E0E000 0C08180000000000 F020000000000000 
C0E0000000000000 00000002020E0000 0000C080C0000000 3C04000000000000 0000061C00000000 0000000000E0E000 0008382000000000 000000003C100000 
1C0C000000000000 00000002020E0000 00000000C080C000 0000F08000000000 00000E1800000000 E0E0000000000000 000000041C100000 0000002020602000 
1C0C000000000000 00000002020E0000 00000000C080C000 0000F08000000000 0000081810100000 E0E0000000000000 000006040C000000 0000002020602000 
0000000000706000 3808080000000000 000000000A0E0000 0020202030000000 0404060200000000 C0C0C00000000000 0000101C04000000 00000080C0808000 
E0C0000000000000 00000002020E0000 1808180000000000 00000000F0100000 000000380C000000 0000000000E0E000 0020E08000000000 0404060400000000 
0000000020606000 0008083800000000 3020300000000000 00000000021E0000 000000061C000000 C0C0C00000000000 0C04060000000000 00000080C0808000 
0000000020606000 0008080E00000000 3020300000000000 00000000021E0000 000000301C000000 C0C0C00000000000 0C04060000000000 00000080C0808000 
0000000040C0C000 00000002020E0000 0028380000000000 F080000000000000 0040C08080000000 0000001C1C000000 0C04060000000000 0000002020302000 
0000002060600000 000000008080E000 3828000000000000 C080808000000000 04040C0800000000 000000001C1C0000 0040701000000000 0000020602020000 
0000020606000000 1C04040000000000 E0A0000000000000 00000000101E0000 0040C08080000000 0000000000E0E000 0000302060000000 0008081808000000 
0000103030000000 1C04040000000000 6020600000000000 0000020202060000 0008080C04000000 00000000C0C0C000 0000000008382000 80C0808000000000 
00000080C0C00000 000000002020E000 0000000E0A000000 3020202000000000 0008181010000000 C0C0C00000000000 0C04060000000000 00000000041E0000 
00000080C0C00000 000000002020E000 0000001C14000000 3C20000000000000 0004060202000000 C0C0C00000000000 0008382000000000 00000000081E0000 
00000080C0C00000 000000002020E000 0000001C14000000 3020202000000000 0004060202000000 C0C0C00000000000 0C08180000000000 00000000081E0000 
80C0C00000000000 00000002020E0000 000000A0E0000000 0000301010100000 040C080800000000 0000000000E0E000 000006040C000000 7820000000000000 
80C0C00000000000 00000004041C0000 000000A0E0000000 0000060202020000 040C080800000000 0000000000E0E000 0000301018000000 7820000000000000 
0000000060602000 00000002020E0000 3828000000000000 000000808080C000 0000203010100000 C0C0C00000000000 000018080C000000 0404060400000000 
0060602000000000 00008080E0000000 0000000E0A000000 F080000000000000 0008181010000000 0000000000E0E000 0C04060000000000 00000000041E0000 
0060602000000000 00008080E0000000 0000001C14000000 F080000000000000 0004060202000000 0000000000E0E000 0C08180000000000 00000000081E0000 
0060602000000000 0008080E00000000 0000000000A0E000 F080000000000000 00008080C0400000 000000000E0E0000 0C04060000000000 0000101030100000 
C0C0400000000000 00008080E0000000 0000000E0A000000 3020202000000000 0008181010000000 0000000000E0E000 0C04060000000000 00000000041E0000 
C0C0400000000000 00008080E0000000 0000001C14000000 3C20000000000000 0004060202000000 0000000000E0E000 0008382000000000 00000000081E0000 
C0C0400000000000 00008080E0000000 0000001C14000000 3020202000000000 0004060202000000 0000000000E0E000 0C08180000000000 00000000081E0000 
C0C0400000000000 0008080E00000000 0000000000A0E000 3020202000000000 00008080C0400000 000000000E0E0000 0C04060000000000 0000101030100000 
C0C0400000000000 0000001C10100000 0000000000A0E000 3C04000000000000 00008080C0400000 000000000E0E0000 00080E0200000000 0020302020000000 
