000000000060E000 0008083800000000 0050700000000000 F080000000000000 0000000070180000 0000000606060000 0C04060000000000 000080C080800000 
000000000060E000 000000E080800000 0018081800000000 0080F00000000000 0000000070180000 0000000606060000 0C04060000000000 F040000000000000 
000000000060E000 000000E080800000 0018081800000000 F080000000000000 0000000070180000 0000000606060000 0C04060000000000 0040F00000000000 
00000000060E0000 000000008080E000 00141C0000000000 0000021E00000000 0000202030100000 C0C0C00000000000 000000C040600000 3C08000000000000 
00000060E0000000 00000002020E0000 7050000000000000 0000301010100000 0008080C04000000 0000000000E0E000 0C04060000000000 8080C08000000000 
0000307000000000 00000002020E0000 7050000000000000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 8080C08000000000 
0000000000C0E000 0000007010100000 0000000C040C0000 0000060202020000 000C380000000000 C0C0C00000000000 00000080E0200000 3C10000000000000 
0000000000C0E000 E080800000000000 1C14000000000000 0000060202020000 0008080C04000000 000000E0E0000000 0040701000000000 00000000103C0000 
0000000030380000 000000008080E000 7050000000000000 0000020202060000 0000206040400000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
0000006070000000 8080E00000000000 7050000000000000 0000020202060000 0000000000386000 0C0C0C0000000000 0000101C04000000 0000008080C08000 
000000C0E0000000 8080E00000000000 00000000141C0000 7840000000000000 00000C3800000000 0000000000E0E000 041C100000000000 0000020602020000 
000000C0E0000000 8080E00000000000 00000000141C0000 7840000000000000 04040C0800000000 0000000000E0E000 0018103000000000 0000020602020000 
3818000000000000 000000008080E000 00000000141C0000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020602020000 
1C18000000000000 E080800000000000 0000001810180000 0000020202060000 004040C080000000 0000000000E0E000 0000302060000000 00040C0404000000 
E0C0000000000000 000000002020E000 1C14000000000000 00000000101E0000 0000001C06000000 000000C0C0C00000 00080E0200000000 0000F02000000000 
E0C0000000000000 000000008080E000 0000007050000000 0000F08000000000 1018080800000000 0000000606060000 0C04060000000000 0000000020780000 
E0C0000000000000 00000E0202000000 00000000C080C000 0000F01000000000 000000E030000000 1C1C000000000000 0000000C04060000 0000000000782000 
E0C0000000000000 0000701010000000 00000000C080C000 0000060202020000 0000080C04040000 1C1C000000000000 000080E020000000 0000000000782000 
0000002060600000 000000008080E000 0000001810180000 0000784000000000 7018000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0818180000000000 000000002020E000 0000001C14000000 00000000021E0000 0404060200000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000000406060000 8080E00000000000 00000E0A00000000 7840000000000000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000000406060000 8080E00000000000 7050000000000000 000000C080808000 0404060200000000 0000000060606000 0000003010180000 0808180800000000 
00080C0C00000000 E080800000000000 1C14000000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0040701000000000 0000020206020000 
0040606000000000 E080800000000000 0000000060206000 0000101010180000 1018080800000000 0000000606060000 0C04060000000000 0000008080C08000 
1018180000000000 000000008080E000 6040600000000000 808080C000000000 0000003860000000 0000000606060000 0C04060000000000 0000000010780000 
80C0C00000000000 000000002020E000 0000001C14000000 00000000021E0000 0404060200000000 000000C0C0C00000 0008382000000000 7810000000000000 
0000003030100000 000000008080E000 0000000C040C0000 0000060202020000 000C380000000000 C0C0C00000000000 000000C040600000 3C10000000000000 
00000C0C04000000 E080800000000000 00000000C080C000 0000020202060000 000000E030000000 1C1C000000000000 0040701000000000 0000000000782000 
C0C0400000000000 00000002020E0000 3010300000000000 0C08080800000000 0000001010302000 00000000C0C0C000 000080E020000000 0004060404000000 
0000000030302000 00000002020E0000 7050000000000000 808080C000000000 0000603800000000 00000000C0C0C000 0C08180000000000 0004060404000000 
0000000030302000 00000002020E0000 00C080C000000000 F010000000000000 0000603800000000 00000000C0C0C000 0C08180000000000 0004060404000000 
0C0C080000000000 000000008080E000 3010300000000000 0000043C00000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020206020000 
C0C0800000000000 00000002020E0000 3010300000000000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 000040F000000000 
