000000000060E000 0808380000000000 0000001C14000000 F010000000000000 0404060200000000 00C0C0C000000000 00000020E0800000 00000000081E0000 
00000060E0000000 0000701010000000 0000000604060000 0000080808180000 7018000000000000 0000000000E0E000 0C04060000000000 80C0808000000000 
0000183800000000 000000008080E000 0000000604060000 0000604040400000 7018000000000000 0000000038380000 0C04060000000000 80C0808000000000 
000000000C0E0000 000000008080E000 00141C0000000000 0000021E00000000 0000202030100000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000003038000000 0808380000000000 00000000C080C000 F010000000000000 0404060200000000 00C0C0C000000000 0000000C04060000 0000000000782000 
0000003038000000 000000008080E000 3010300000000000 0808080C00000000 0404060200000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0000003038000000 0008080E00000000 3010300000000000 000000808080C000 0000004040602000 C0C0C00000000000 0C04060000000000 00000000041E0000 
0000607000000000 000000008080E000 0000000604060000 0000180808080000 7018000000000000 0000000070700000 0C04060000000000 80C0808000000000 
000C0E0000000000 008080E000000000 0000000604060000 00000000F0100000 0000101808080000 0000000000E0E000 C040600000000000 3C10000000000000 
0000000038180000 000000008080E000 0000000604060000 0000404040600000 7018000000000000 0000383800000000 0C04060000000000 80C0808000000000 
00000E0600000000 E080800000000000 0000002838000000 000000808080C000 0000004040602000 1C1C000000000000 0040701000000000 00000000041E0000 
0000000070600000 000000008080E000 0000000604060000 0000080808180000 7018000000000000 0000707000000000 0C04060000000000 80C0808000000000 
0000000070600000 000000008080E000 6040600000000000 808080C000000000 00001C3000000000 1C1C000000000000 0000020E08000000 00000000041E0000 
0000007060000000 0008080E00000000 3010300000000000 000000808080C000 000000001C060000 C0C0C00000000000 0C04060000000000 0000000000782000 
E0C0000000000000 1010700000000000 00000000C080C000 0000021E00000000 000000001C060000 0C0C0C0000000000 000080E020000000 0000000000782000 
E0C0000000000000 0000000070404000 0000000604060000 000000C080808000 00000E1800000000 1C1C000000000000 0000000008382000 0000F02000000000 
E0C0000000000000 0000000070404000 0000000604060000 000000C080808000 0000E03000000000 1C1C000000000000 0000000008382000 00001E0800000000 
E0C0000000000000 00000E0808000000 0000000604060000 000000C080808000 0000000000386000 1C1C000000000000 0000001070400000 0000F02000000000 
0000002060600000 000000008080E000 0000000604060000 0000784000000000 7018000000000000 0000001818180000 0C04060000000000 80C0808000000000 
0000103030000000 8080E00000000000 7050000000000000 000000808080C000 0000004040602000 0C0C0C0000000000 0000020E08000000 00000000041E0000 
0000001018180000 0808380000000000 7050000000000000 0000006020202000 0404060200000000 00000000C0C0C000 0000000C04060000 8080C08000000000 
0000001018180000 0808380000000000 00000000C080C000 F010000000000000 0404060200000000 00C0C0C000000000 0000000C04060000 0000002020602000 
0000001018180000 000000008080E000 0000000604060000 0000780800000000 7018000000000000 0000006060600000 0C04060000000000 80C0808000000000 
0004060600000000 8080E00000000000 7050000000000000 000000808080C000 0000004040602000 0000003838000000 0C08180000000000 00000000041E0000 
0004060600000000 0000000038202000 7050000000000000 808080C000000000 0000603800000000 00000000C0C0C000 0C08180000000000 00000000041E0000 
0004060600000000 0000000038202000 00C080C000000000 F010000000000000 0000603800000000 00000000C0C0C000 0C08180000000000 00000000041E0000 
80C0C00000000000 000000008080E000 0000000604060000 0000180808080000 7018000000000000 0000000070700000 0C04060000000000 000020F000000000 
80C0C00000000000 0000380808000000 0000000604060000 000000808080C000 7018000000000000 0000007070000000 0C04060000000000 0000000000782000 
0000000060602000 0008080E00000000 3010300000000000 000000808080C000 0000007018000000 C0C0C00000000000 0C04060000000000 00000000041E0000 
0000606020000000 000000008080E000 0000000604060000 0000000040780000 7018000000000000 0000181818000000 0C04060000000000 80C0808000000000 
0C0C040000000000 8080E00000000000 7050000000000000 00000080F0000000 0000187000000000 0000000000E0E000 0000020E08000000 00000000041E0000 
0000000030302000 0000003808080000 0000000604060000 0000784000000000 7018000000000000 00000000C0C0C000 0C04060000000000 80C0808000000000 
0000003030200000 000000008080E000 0050700000000000 F080000000000000 000080C040400000 0C0C0C0000000000 0000020E08000000 00000000041E0000 
0000060604000000 000000008080E000 0000003828000000 00000000101E0000 000C380000000000 C0C0C00000000000 000000C040600000 3C10000000000000 
0000060604000000 1C10100000000000 6040600000000000 808080C000000000 00000000180E0000 00000000C0C0C000 000C081800000000 0000002020302000 
0000060604000000 E080800000000000 1C14000000000000 00000000101E0000 004040C080000000 0000000000E0E000 0000302060000000 0008081808000000 
0000181810000000 000000008080E000 0000000604060000 0000000008780000 7018000000000000 0000606060000000 0C04060000000000 80C0808000000000 
0000303020000000 0008080E00000000 00000000C080C000 F010000000000000 000000001C060000 00C0C0C000000000 0C04060000000000 0000000000782000 
