000000000060E000 00000002020E0000 3010300000000000 000000F080000000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000000078100000 
000000000060E000 00000002020E0000 6040600000000000 808080C000000000 00000030E0000000 1C1C000000000000 000000041C100000 00001E0800000000 
000000000060E000 0000101070000000 0000000E0A000000 3C04000000000000 00180E0000000000 C0C0C00000000000 000020E080000000 00000000041E0000 
000000000060E000 00002020E0000000 0000000E0A000000 F010000000000000 0008181010000000 00C0C0C000000000 0C04060000000000 00000000041E0000 
000000000060E000 00002020E0000000 0000001C14000000 F010000000000000 0004060202000000 00C0C0C000000000 0C08180000000000 00000000081E0000 
000000000060E000 8080E00000000000 7050000000000000 000000F080000000 0000000070180000 0000000606060000 0C04060000000000 0008180808000000 
000000000060E000 E080800000000000 1C14000000000000 00000000101E0000 004040C080000000 0000060606000000 0000302060000000 0008081808000000 
00000000060E0000 0040407000000000 3010300000000000 C080808000000000 000000000030E000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
00000000060E0000 8080E00000000000 7050000000000000 000010F000000000 000000000030E000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
0000183800000000 00000002020E0000 6040600000000000 808080C000000000 000000000030E000 1C1C000000000000 000006040C000000 00000000F0400000 
00000E0600000000 008080E000000000 0018101800000000 3C04000000000000 000000000030E000 000000000E0E0000 C040600000000000 00000000F0400000 
0000703000000000 0008080E00000000 7050000000000000 808080C000000000 000000000030E000 000000000E0E0000 0C04060000000000 00000000F0400000 
0000703000000000 0008080E00000000 00C080C000000000 F010000000000000 000000000030E000 000000000E0E0000 0C04060000000000 00000000F0400000 
0000000206060000 8080E00000000000 00000000C040C000 7840000000000000 000000E030000000 0018181800000000 0000000008382000 0404060400000000 
0000000406060000 7040400000000000 00000000C040C000 808080C000000000 0404060200000000 0000303030000000 0000000008382000 0818080800000000 
1018180000000000 0000003808080000 6040600000000000 808080C000000000 000000000030E000 0000000606060000 0C04060000000000 00000000F0400000 
0000000606020000 0000080838000000 00000000C040C000 00000000003C2000 7018000000000000 0000707000000000 0C04060000000000 80C0808000000000 
0000303010000000 E080800000000000 00000C080C000000 00000000003C2000 004040C080000000 1C1C000000000000 000000006040C000 0000020602020000 
0018180800000000 008080E000000000 00000000C040C000 3C04000000000000 0000001030202000 0000060606000000 C040600000000000 00000000081E0000 
0C0C040000000000 008080E000000000 00000A0E00000000 F010000000000000 000000000030E000 000000000E0E0000 0040701000000000 00000000F0400000 
0C0C040000000000 008080E000000000 00000A0E00000000 3010101000000000 000000000030E000 000000000E0E0000 C040600000000000 00000000F0400000 
C0C0400000000000 00000002020E0000 0000A0E000000000 3C04000000000000 000000000030E000 0018181800000000 000006040C000000 00000000F0400000 
C0C0400000000000 0008080E00000000 0000A0E000000000 3010101000000000 000000000030E000 000000000E0E0000 0C04060000000000 00000000F0400000 
C0C0400000000000 0008080E00000000 3010300000000000 000080F000000000 000000000030E000 000000000E0E0000 0C04060000000000 00000000F0400000 
C0C0400000000000 0010101C00000000 0000A0E000000000 3C04000000000000 000000000030E000 000000000E0E0000 00080E0200000000 00000000F0400000 
0000000030302000 0000003808080000 00000000C040C000 0000784000000000 7018000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000060604000000 008080E000000000 000000000A0E0000 3C04000000000000 000000000030E000 0018181800000000 C040600000000000 00000000F0400000 
0000060604000000 0000000038202000 00000000C040C000 00000000021E0000 000030E000000000 C0C0C00000000000 000C081800000000 3C10000000000000 
00000C0C08000000 E080800000000000 00000000C040C000 00000000003C2000 000000E030000000 1C1C000000000000 0040701000000000 0000020206020000 
